Player,Team,Position,GW,FPts,started,Opponent,Home,FP/G,ROS Rank,RkOv,G,KP,AT,SOT,TkW,DIS,YC,RC,ACNC,Int,CLR,CoS,BS,AER,PKM,PKD,OG,GAO,CS,Team_long,Ros %,GP,Min
Mohamed Salah,LIV,F,1,26.5,,CHE,False,26.5,3,8,0,10,12,2,1,-0.0,0,0,1,0,0.0,0,0,0.5,0,0,0,0,0,Liverpool,100%,1,88
Bernardo Silva,MCI,M,1,26.5,,BUR,False,26.5,90,129,9,8,6,2,0,-0.5,0,0,1,0,0.0,1,0,0.0,0,0,0,0,0,Manchester City,98%,1,88
Dejan Kulusevski,TOT,M,1,25.5,,BRF,False,25.5,28,19,9,10,0,4,0,-0.0,0,0,2,0,0.0,0,0,0.5,0,0,0,0,0,Tottenham,100%,1,90
Jeremy Doku,MCI,F,1,24.5,,,,24.5,57,80,9,6,0,4,2,-0.0,0,0,0,0,0.0,3,0,0.5,0,0,0,0,0,,82%,1,88
Erling Haaland,MCI,F,1,23.5,,BUR,False,23.5,1,2,9,2,0,12,0,-0.0,0,0,0,0,0.0,0,0,0.5,0,0,0,0,0,Manchester City,100%,1,88
Callum Hudson-Odoi,NOT,F,1,22.0,,,,22.0,107,181,9,6,0,4,1,-0.0,0,0,0,0,0.0,2,0,0.0,0,0,0,0,0,,43%,1,70
Julian Alvarez,MCI,F,1,21.0,,BUR,False,21.0,13,6,0,8,12,0,0,-0.0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,Manchester City,100%,1,90
Andrew Robertson,LIV,D,1,21.0,,CHE,False,21.0,48,30,10,4,0,2,2,-0.5,0,0,2,2,0.5,0,0,1.0,0,0,0,-2,0,Liverpool,100%,1,90
Leandro Trossard,ARS,M,1,21.0,,NOT,True,21.0,91,153,9,4,0,2,2,-0.0,0,0,0,2,0.0,1,0,0.0,0,0,0,0,1,Arsenal,90%,1,65
Pedro Neto,WOL,F,1,20.5,,MUN,False,20.5,20,7,0,8,6,0,1,-0.5,0,0,0,1,0.0,4,1,0.0,0,0,0,0,0,Wolves,96%,1,90
Douglas Luiz,AVL,M,1,19.5,,NEW,False,19.5,75,48,9,2,0,2,4,-0.5,0,0,1,1,0.0,1,0,0.0,0,0,0,0,0,Aston Villa,97%,1,90
