Player,Team,Position,GW,FPts,started,Opponent,Home,FP/G,ROS Rank,RkOv,G,KP,AT,SOT,TkW,DIS,YC,RC,ACNC,Int,CLR,CoS,BS,AER,PKM,PKD,OG,GAO,CS,Team_long,Ros %,GP,Min,FPts/Start
Mohamed Salah,LIV,F,1,26.5,1.0,CHE,False,26.5,3,8,0,5,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,Liverpool,100%,1,88,17.8
Bernardo Silva,MCI,M,1,26.5,1.0,BUR,False,26.5,90,129,1,4,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,Manchester City,98%,1,88,6.2
Dejan Kulusevski,TOT,M,1,25.5,1.0,BRF,False,25.5,28,19,1,5,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,Tottenham,100%,1,90,12.3
Jeremy Doku,MCI,F,1,24.5,,,,24.5,57,80,1,3,0,2,2,0,0,0,0,0,0,3,0,1,0,0,0,1,0,,82%,1,88,inf
Erling Haaland,MCI,F,1,23.5,1.0,BUR,False,23.5,1,2,1,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Manchester City,100%,1,88,20.9
Callum Hudson-Odoi,NOT,F,1,22.0,,,,22.0,107,181,1,3,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,,43%,1,70,inf
Julian Alvarez,MCI,F,1,21.0,1.0,BUR,False,21.0,13,6,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Manchester City,100%,1,90,17.6
Andrew Robertson,LIV,D,1,21.0,1.0,CHE,False,21.0,48,30,1,2,0,1,2,1,0,0,2,2,2,0,0,1,0,0,0,1,0,Liverpool,100%,1,90,10.9
Leandro Trossard,ARS,M,1,21.0,0.0,NOT,True,21.0,91,153,1,2,0,1,2,0,0,0,0,2,1,1,0,0,0,0,0,0,1,Arsenal,90%,1,65,inf
Pedro Neto,WOL,F,1,20.5,1.0,MUN,False,20.5,20,7,0,4,1,0,1,1,0,0,0,1,0,4,1,0,0,0,0,3,0,Wolves,96%,1,90,18.0
Douglas Luiz,AVL,M,1,19.5,1.0,NEW,False,19.5,75,48,1,1,0,1,4,1,0,0,1,1,1,1,0,0,0,0,0,1,0,Aston Villa,97%,1,90,8.7
James Ward-Prowse,WHU,M,1,19.5,,,,19.5,17,13,1,2,0,2,0,1,0,0,0,2,2,0,1,0,0,0,0,3,0,,85%,1,90,inf
Kieran Trippier,NEW,D,1,19.0,1.0,AVL,True,19.0,7,5,0,2,0,0,1,1,0,0,1,1,2,1,0,5,0,0,0,0,1,Newcastle Utd,100%,1,90,15.8
Joao Pedro,BHA,F,1,19.0,1.0,LUT,True,19.0,51,43,1,3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,Brighton,95%,1,25,8.9
Gustavo Hamer,SHU,M,1,18.5,,,,18.5,81,60,1,3,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,,55%,1,80,inf
Lucas Digne,AVL,D,1,18.0,1.0,NEW,False,18.0,118,35,0,2,1,0,1,3,0,0,4,1,2,0,0,4,0,0,0,1,0,Aston Villa,90%,1,90,11.4
Richarlison,TOT,F,1,18.0,1.0,BRF,False,18.0,80,93,1,1,1,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,Tottenham,86%,1,9,5.0
Odsonne Edouard,CRY,F,1,18.0,1.0,SHU,False,18.0,97,25,1,2,0,1,2,2,0,0,0,1,1,0,0,2,0,0,0,1,0,Crystal Palace,80%,1,88,12.8
