,team,player,fpts,g,kp,at,sot,tkw,dis,yc,rc,acnc,int,clr,cos,bs,aer,pkm,pkd,og,gao,pts,dpt,off,pkg,ghost points,negative fpts,home
0,ARS,19,8.44,0.14,0.65,0.14,0.35,0.58,0.72,0.07,0.02,0.23,0.53,0.91,0.6,0.35,0.72,0.0,0.07,0.0,0.0,0.19,1.05,0.14,0.07,4.49,-0.66,0
1,AVL,20,4.75,0.08,0.79,0.07,0.37,0.62,0.56,0.11,0.0,0.2,0.58,0.9,0.56,0.17,0.41,0.0,0.0,0.01,1.41,0.15,1.1,0.06,0.0,3.12,-1.82,0
2,BHA,21,5.86,0.18,0.78,0.18,0.42,0.87,0.58,0.27,0.0,0.09,0.62,1.07,0.64,0.36,0.38,0.0,0.0,0.02,1.78,0.36,1.71,0.31,0.0,3.08,-2.36,0
3,BOU,21,3.9,0.07,0.59,0.07,0.31,0.64,0.97,0.12,0.0,0.21,0.53,1.6,0.83,0.38,0.74,0.0,0.0,0.02,1.9,0.14,1.34,0.09,0.0,2.84,-2.36,0
4,BRF,20,6.16,0.09,0.72,0.07,0.31,0.79,0.45,0.22,0.0,0.24,0.76,1.67,0.48,0.17,1.14,0.0,0.02,0.0,0.69,0.14,1.53,0.1,0.02,4.44,-1.33,0
5,BUR,19,3.9,0.07,0.44,0.07,0.21,0.51,0.51,0.16,0.02,0.0,0.42,2.0,0.56,0.42,1.07,0.0,0.0,0.0,0.93,0.14,1.35,0.19,0.0,2.83,-1.49,0
6,CHE,20,6.28,0.11,0.58,0.11,0.35,0.73,0.6,0.27,0.0,0.18,0.45,1.11,0.75,0.29,0.76,0.02,0.04,0.0,0.73,0.16,1.71,0.18,0.02,3.63,-1.54,0
7,CRY,17,8.43,0.08,0.9,0.08,0.38,0.85,1.19,0.1,0.0,0.21,0.81,2.06,1.1,0.48,1.4,0.0,0.0,0.0,0.83,0.15,1.21,0.08,0.0,5.97,-1.47,0
8,EVE,19,5.82,0.13,0.82,0.11,0.37,1.03,0.74,0.18,0.0,0.16,0.53,1.16,0.61,0.21,1.45,0.0,0.0,0.0,1.84,0.24,1.5,0.11,0.0,3.93,-2.21,0
9,FUL,22,4.15,0.07,0.42,0.05,0.25,0.62,0.69,0.2,0.02,0.11,0.47,1.65,0.33,0.2,0.91,0.0,0.0,0.0,1.27,0.09,1.4,0.11,0.0,2.15,-1.89,0
10,LIV,19,5.11,0.11,0.71,0.12,0.26,0.78,0.65,0.19,0.04,0.17,0.61,1.56,0.57,0.33,0.54,0.0,0.01,0.01,0.93,0.19,1.72,0.1,0.01,3.34,-1.88,0
11,LUT,19,3.58,0.05,0.46,0.03,0.14,0.83,0.54,0.12,0.0,0.15,0.59,1.46,0.29,0.36,1.2,0.0,0.0,0.0,1.53,0.07,1.17,0.12,0.02,2.9,-1.56,0
12,MCI,23,7.51,0.13,1.25,0.12,0.61,0.67,0.57,0.12,0.0,0.28,0.36,0.55,0.58,0.13,0.61,0.01,0.0,0.01,0.75,0.24,0.96,0.04,0.0,5.07,-1.28,0
13,MUN,23,5.15,0.05,0.93,0.05,0.29,0.66,0.39,0.17,0.0,0.1,0.56,1.68,0.39,0.34,0.78,0.0,0.0,0.02,1.22,0.1,1.17,0.2,0.0,3.71,-1.63,0
14,NEW,19,6.55,0.19,0.71,0.16,0.36,0.57,0.6,0.21,0.0,0.22,0.34,0.81,0.59,0.26,0.64,0.0,0.0,0.0,1.03,0.33,1.55,0.1,0.0,3.31,-1.54,0
15,NOT,24,4.46,0.05,0.45,0.05,0.23,0.74,0.57,0.23,0.01,0.05,0.65,1.57,0.47,0.35,1.0,0.0,0.0,0.0,0.93,0.09,1.59,0.15,0.0,2.96,-1.76,0
16,SHU,23,3.4,0.04,0.45,0.04,0.21,0.84,0.75,0.18,0.02,0.14,0.7,1.73,0.41,0.43,1.34,0.0,0.0,0.0,1.61,0.05,1.38,0.16,0.0,2.68,-2.43,0
17,TOT,20,7.75,0.16,0.81,0.16,0.43,0.95,0.74,0.23,0.01,0.14,0.7,1.45,0.81,0.26,0.73,0.0,0.0,0.01,0.86,0.32,1.62,0.11,0.0,4.48,-1.78,0
18,WHU,17,6.87,0.15,0.62,0.11,0.33,1.15,0.53,0.18,0.0,0.11,0.78,2.36,0.76,0.45,1.27,0.0,0.0,0.0,1.15,0.25,1.47,0.2,0.0,4.82,-1.65,0
19,WOL,19,5.64,0.07,0.67,0.07,0.26,0.75,0.82,0.21,0.02,0.35,0.61,1.4,0.77,0.37,0.98,0.0,0.0,0.0,0.86,0.12,1.67,0.12,0.0,4.11,-1.69,0
