Player,Team,Position,LiveRkOv,Opponent,FPTS,FP/G,ros,GP,MIN,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,GW,ROS %,GS,PTS,DPT,OFF,PKG,Ghost Points,Negative Fpts,GPR
Bukayo Saka,ARS,M,1.0,NOT 1<br/>@ARS 2 F,23.5,23.5,,1,90,1,3,0,2,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,100%,1,1,2,0,0,15.0,-0.5,0.36
Gabriel Martinelli,ARS,M,120.0,NOT 1<br/>@ARS 2 F,14.5,14.5,,1,85,0,3,1,0,1,4,0,0,1,0,0,2,0,1,0,0,0,1,0,1,100%,1,1,2,0,0,10.5,-2.0,0.28
Eddie Nketiah,ARS,F,55.0,NOT 1<br/>@ARS 2 F,12.5,12.5,,1,72,1,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,84%,1,1,0,1,0,4.0,-0.5,0.68
Declan Rice,ARS,M,67.0,NOT 1<br/>@ARS 2 F,11.5,11.5,,1,90,0,0,0,3,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,98%,1,0,2,0,0,11.5,0.0,0.0
Thomas Partey,ARS,M,182.0,NOT 1<br/>@ARS 2 F,8.5,8.5,,1,90,0,2,0,0,1,1,0,0,0,2,0,1,1,0,0,0,0,1,0,1,33%,1,0,0,0,0,9.0,-0.5,-0.06
William Saliba,ARS,D,98.0,NOT 1<br/>@ARS 2 F,8.25,8.25,,1,90,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,98%,1,1,1,0,0,1.25,-2.0,0.85
Kai Havertz,ARS,F,165.0,NOT 1<br/>@ARS 2 F,7.0,7.0,,1,90,0,2,0,0,1,1,0,0,0,1,1,0,0,3,0,0,0,1,0,1,82%,1,0,2,0,0,7.5,-0.5,-0.07
Leandro Trossard,ARS,M,153.0,NOT 1<br/>@ARS 2 F,4.0,4.0,,1,16,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,90%,0,0,0,0,0,4.0,0.0,0.0
Takehiro Tomiyasu,ARS,D,316.0,NOT 1<br/>@ARS 2 F,3.75,3.75,,1,39,0,0,0,1,0,0,0,0,0,1,3,0,0,2,0,0,0,1,0,1,5%,0,0,0,0,0,3.75,-2.0,0.0
Martin Odegaard,ARS,M,18.0,NOT 1<br/>@ARS 2 F,2.5,2.5,,1,90,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,100%,1,0,0,0,0,3.0,-0.5,-0.2
Gabriel Magalhaes,ARS,D,148.0,NOT 1<br/>@ARS 2 F,0.25,0.25,,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,87%,0,0,1,0,0,0.25,0.0,0.0
Jurrien Timber,ARS,D,395.0,NOT 1<br/>@ARS 2 F,0.25,0.25,,1,49,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,25%,1,0,5,1,0,2.25,-2.0,-8.0
Ben White,ARS,D,27.0,NOT 1<br/>@ARS 2 F,-1.0,-1.0,,1,90,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,1,98%,1,0,3,0,0,1.0,-4.0,2.0
Martin Odegaard,ARS,M,18.0,ARS 1<br/>@CRY 0 F,17.5,17.5,,1,88,1,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,100%,1,1,0,1,1,8.0,-0.5,0.54
William Saliba,ARS,D,98.0,ARS 1<br/>@CRY 0 F,13.0,13.0,,1,90,0,0,0,0,0,0,0,0,0,2,8,0,1,2,0,0,0,0,1,2,98%,1,0,1,0,0,7.0,0.0,0.46
Eddie Nketiah,ARS,F,55.0,ARS 1<br/>@CRY 0 F,12.5,12.5,,1,78,0,2,1,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,1,2,84%,1,0,2,0,0,8.0,-1.5,0.36
Thomas Partey,ARS,M,182.0,ARS 1<br/>@CRY 0 F,12.0,12.0,,1,90,0,1,0,1,3,1,0,0,2,1,1,1,0,1,0,0,0,0,1,2,33%,1,0,0,0,0,11.5,-0.5,0.04
Ben White,ARS,D,27.0,ARS 1<br/>@CRY 0 F,11.0,11.0,,1,90,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,1,2,98%,1,0,0,0,0,5.0,0.0,0.55
Bukayo Saka,ARS,M,1.0,ARS 1<br/>@CRY 0 F,7.0,7.0,,1,88,0,2,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,2,100%,1,0,0,0,0,6.5,-0.5,0.07
Declan Rice,ARS,M,67.0,ARS 1<br/>@CRY 0 F,6.5,6.5,,1,90,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,1,2,98%,1,0,0,0,0,5.5,0.0,0.15
Gabriel Martinelli,ARS,M,120.0,ARS 1<br/>@CRY 0 F,4.5,4.5,,1,69,0,0,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,0,1,2,100%,1,0,1,0,0,4.0,-0.5,0.11
Gabriel Magalhaes,ARS,D,148.0,ARS 1<br/>@CRY 0 F,3.25,3.25,,1,19,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,87%,0,0,1,0,0,3.25,0.0,0.0
Kai Havertz,ARS,F,165.0,ARS 1<br/>@CRY 0 F,3.0,3.0,,1,90,0,1,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,1,2,82%,1,0,6,0,0,5.0,-2.0,-0.67
Jorginho,ARS,M,347.0,ARS 1<br/>@CRY 0 F,1.0,1.0,,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4%,0,0,0,0,0,1.0,0.0,0.0
Takehiro Tomiyasu,ARS,D,316.0,ARS 1<br/>@CRY 0 F,0.5,0.5,,1,66,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,2,5%,1,0,8,0,0,2.0,-7.5,-3.0
Oleksandr Zinchenko,ARS,D,158.0,ARS 1<br/>@CRY 0 F,0.0,0.0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,95%,0,0,0,1,0,0.0,0.0,
Jakub Kiwior,ARS,D,361.0,ARS 1<br/>@CRY 0 F,0.0,0.0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2%,0,0,0,0,0,0.0,0.0,
Bukayo Saka,ARS,M,1.0,FUL 2<br/>@ARS 2 F,28.0,28.0,,1,90,1,4,0,2,0,0,0,0,1,0,0,6,0,0,0,0,0,2,0,3,100%,1,1,0,0,1,19.0,0.0,0.32
Fabio Vieira,ARS,M,137.0,FUL 2<br/>@ARS 2 F,18.5,18.5,,1,33,0,1,2,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,3,41%,0,1,1,1,0,7.0,-0.5,0.62
Eddie Nketiah,ARS,F,55.0,FUL 2<br/>@ARS 2 F,12.0,12.0,,1,45,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,84%,0,1,1,0,0,3.0,0.0,0.75
Leandro Trossard,ARS,M,153.0,FUL 2<br/>@ARS 2 F,7.5,7.5,,1,45,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,3,90%,1,0,0,0,0,8.0,-0.5,-0.07
Gabriel Martinelli,ARS,M,120.0,FUL 2<br/>@ARS 2 F,7.0,7.0,,1,90,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,100%,1,0,0,0,0,7.0,0.0,0.0
Martin Odegaard,ARS,M,18.0,FUL 2<br/>@ARS 2 F,6.5,6.5,,1,83,0,0,0,2,1,3,0,0,0,0,0,3,0,0,0,0,0,1,0,3,100%,1,0,2,0,0,8.0,-1.5,-0.23
Thomas Partey,ARS,M,182.0,FUL 2<br/>@ARS 2 F,6.0,6.0,,1,55,0,0,0,0,1,1,0,0,0,1,1,4,0,1,0,0,0,1,0,3,33%,1,0,0,0,0,6.5,-0.5,-0.08
Declan Rice,ARS,M,67.0,FUL 2<br/>@ARS 2 F,5.5,5.5,,1,88,0,0,0,0,4,1,0,0,0,2,2,0,0,0,0,0,0,2,0,3,98%,1,0,0,0,0,6.0,-0.5,-0.09
Kai Havertz,ARS,F,165.0,FUL 2<br/>@ARS 2 F,4.5,4.5,,1,55,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,82%,1,0,1,2,0,4.5,0.0,0.0
Ben White,ARS,D,27.0,FUL 2<br/>@ARS 2 F,3.75,3.75,,1,90,0,2,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,2,0,3,98%,1,0,0,0,0,3.75,-4.0,0.0
Oleksandr Zinchenko,ARS,D,158.0,FUL 2<br/>@ARS 2 F,3.0,3.0,,1,33,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,95%,0,0,0,0,0,3.0,-2.0,0.0
Gabriel Jesus,ARS,F,128.0,FUL 2<br/>@ARS 2 F,2.5,2.5,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,100%,0,0,0,1,0,2.5,0.0,0.0
Jakub Kiwior,ARS,D,361.0,FUL 2<br/>@ARS 2 F,2.5,2.5,,1,90,0,0,0,1,2,0,0,0,0,0,2,0,1,1,0,0,0,2,0,3,2%,1,0,1,0,0,2.5,-4.0,0.0
William Saliba,ARS,D,98.0,FUL 2<br/>@ARS 2 F,1.75,1.75,,1,90,0,1,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,2,0,3,98%,1,0,0,0,0,2.25,-4.5,-0.29
Jorginho,ARS,M,347.0,FUL 2<br/>@ARS 2 F,1.0,1.0,,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,4%,0,0,0,0,0,1.0,0.0,0.0
Bukayo Saka,ARS,M,1.0,MUN 1<br/>@ARS 3 F,19.0,19.0,,1,90,0,5,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,100%,1,1,4,1,0,15.0,-2.0,0.21
Declan Rice,ARS,M,67.0,MUN 1<br/>@ARS 3 F,14.5,14.5,,1,90,1,0,0,1,0,0,0,0,0,2,1,0,0,3,0,0,0,1,0,4,98%,1,1,0,0,0,5.5,0.0,0.62
Martin Odegaard,ARS,M,18.0,MUN 1<br/>@ARS 3 F,14.0,14.0,,1,88,1,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,4,100%,1,1,1,0,0,6.0,-1.0,0.57
Gabriel Martinelli,ARS,M,120.0,MUN 1<br/>@ARS 3 F,14.0,14.0,,1,88,0,1,1,0,0,2,0,0,2,0,0,5,0,0,0,0,0,1,0,4,100%,1,1,0,1,0,9.0,-1.0,0.36
Gabriel Jesus,ARS,F,128.0,MUN 1<br/>@ARS 3 F,14.0,14.0,,1,13,1,1,0,1,0,1,1,0,0,0,0,3,0,1,0,0,0,0,0,4,100%,0,1,5,0,0,7.5,-2.5,0.46
Eddie Nketiah,ARS,F,55.0,MUN 1<br/>@ARS 3 F,8.5,8.5,,1,75,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,4,84%,1,0,0,0,0,8.5,0.0,0.0
Fabio Vieira,ARS,M,137.0,MUN 1<br/>@ARS 3 F,8.0,8.0,,1,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,41%,0,1,0,0,0,2.0,0.0,0.75
Ben White,ARS,D,27.0,MUN 1<br/>@ARS 3 F,7.5,7.5,,1,90,0,2,0,0,1,0,0,0,0,0,2,0,3,1,0,0,0,1,0,4,98%,1,0,0,0,0,7.5,-2.0,0.0
Gabriel Magalhaes,ARS,D,148.0,MUN 1<br/>@ARS 3 F,6.25,6.25,,1,90,0,0,0,0,2,0,0,0,0,2,1,0,2,2,0,0,0,1,0,4,87%,1,0,1,0,0,6.25,-2.0,0.0
William Saliba,ARS,D,98.0,MUN 1<br/>@ARS 3 F,5.5,5.5,,1,90,0,0,0,0,0,0,0,0,0,2,2,1,1,3,0,0,0,1,0,4,98%,1,0,0,0,0,5.5,-2.0,0.0
Kai Havertz,ARS,F,165.0,MUN 1<br/>@ARS 3 F,4.0,4.0,,1,76,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4,82%,1,0,2,0,0,4.0,0.0,0.0
Oleksandr Zinchenko,ARS,D,158.0,MUN 1<br/>@ARS 3 F,1.0,1.0,,1,75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,95%,1,0,0,0,0,1.0,-2.0,0.0
Takehiro Tomiyasu,ARS,D,316.0,MUN 1<br/>@ARS 3 F,1.0,1.0,,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5%,0,0,0,0,0,1.0,0.0,0.0
Reiss Nelson,ARS,F,325.0,MUN 1<br/>@ARS 3 F,1.0,1.0,,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4%,0,0,1,0,0,1.0,0.0,0.0
Jorginho,ARS,M,347.0,MUN 1<br/>@ARS 3 F,0.5,0.5,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4%,0,0,0,0,0,0.5,0.0,0.0
Leandro Trossard,ARS,M,153.0,ARS 1<br/>@EVE 0 F,21.0,21.0,,1,65,1,2,0,1,2,0,0,0,0,2,1,1,0,0,0,0,0,0,1,5,90%,0,1,0,2,0,11.0,0.0,0.48
Ben White,ARS,D,27.0,ARS 1<br/>@EVE 0 F,15.25,15.25,,1,90,0,1,0,1,1,0,0,0,2,0,1,1,0,1,0,0,0,0,1,5,98%,1,0,0,0,0,9.25,0.0,0.39
Bukayo Saka,ARS,M,1.0,ARS 1<br/>@EVE 0 F,12.0,12.0,,1,90,0,1,1,0,1,2,0,0,1,0,2,2,0,0,0,0,0,0,1,5,100%,1,1,3,0,0,6.0,-1.0,0.5
Gabriel Magalhaes,ARS,D,148.0,ARS 1<br/>@EVE 0 F,11.5,11.5,,1,90,0,0,0,0,0,0,1,0,0,0,2,0,2,5,0,0,0,0,1,5,87%,1,0,4,0,0,7.5,-2.0,0.35
Martin Odegaard,ARS,M,18.0,ARS 1<br/>@EVE 0 F,10.5,10.5,,1,90,0,3,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,5,100%,1,0,0,0,0,11.0,-1.5,-0.05
William Saliba,ARS,D,98.0,ARS 1<br/>@EVE 0 F,9.5,9.5,,1,90,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,5,98%,1,0,0,0,0,3.5,0.0,0.63
Oleksandr Zinchenko,ARS,D,158.0,ARS 1<br/>@EVE 0 F,9.5,9.5,,1,79,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,95%,1,0,0,0,0,4.0,-0.5,0.58
Declan Rice,ARS,M,67.0,ARS 1<br/>@EVE 0 F,9.0,9.0,,1,90,0,1,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,1,5,98%,1,0,1,0,0,8.0,0.0,0.11
Fabio Vieira,ARS,M,137.0,ARS 1<br/>@EVE 0 F,6.0,6.0,,1,79,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,1,5,41%,1,0,1,0,0,5.0,0.0,0.17
Takehiro Tomiyasu,ARS,D,316.0,ARS 1<br/>@EVE 0 F,1.25,1.25,,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,5%,0,0,1,0,0,1.25,0.0,0.0
Kai Havertz,ARS,F,165.0,ARS 1<br/>@EVE 0 F,0.5,0.5,,1,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,82%,0,0,0,0,0,1.0,-0.5,-1.0
Gabriel Jesus,ARS,F,128.0,ARS 1<br/>@EVE 0 F,0.0,0.0,,1,23,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,5,100%,0,0,2,0,0,1.5,-1.5,-inf
Gabriel Martinelli,ARS,M,120.0,ARS 1<br/>@EVE 0 F,-0.5,-0.5,,1,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,100%,1,0,0,0,0,0.0,-0.5,1.0
Eddie Nketiah,ARS,F,55.0,ARS 1<br/>@EVE 0 F,-0.5,-0.5,,1,65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,84%,1,0,1,2,0,0.0,-0.5,1.0
Bukayo Saka,ARS,M,1.0,TOT 2<br/>@ARS 2 F,33.0,33.0,,1,88,1,4,1,2,3,3,0,0,1,1,0,2,0,1,0,0,0,2,0,6,100%,1,1,1,0,1,19.5,-1.5,0.41
Ben White,ARS,D,27.0,TOT 2<br/>@ARS 2 F,9.5,9.5,,1,90,0,0,1,1,0,1,0,0,1,2,4,0,1,0,0,0,0,2,0,6,98%,1,0,1,0,0,3.0,-4.5,0.68
Gabriel Jesus,ARS,F,128.0,TOT 2<br/>@ARS 2 F,6.0,6.0,,1,76,0,0,0,1,2,5,0,0,0,1,1,3,0,1,0,0,0,2,0,6,100%,1,0,3,1,0,8.5,-2.5,-0.42
Martin Odegaard,ARS,M,18.0,TOT 2<br/>@ARS 2 F,4.5,4.5,,1,90,0,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,6,100%,1,0,5,0,0,8.0,-3.5,-0.78
Gabriel Magalhaes,ARS,D,148.0,TOT 2<br/>@ARS 2 F,3.25,3.25,,1,90,0,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0,0,2,0,6,87%,1,0,1,0,0,3.25,-4.0,0.0
Eddie Nketiah,ARS,F,55.0,TOT 2<br/>@ARS 2 F,3.0,3.0,,1,90,0,0,0,1,2,1,1,0,0,1,0,0,0,1,0,0,0,2,0,6,84%,1,0,4,1,0,5.5,-2.5,-0.83
Reiss Nelson,ARS,F,325.0,TOT 2<br/>@ARS 2 F,2.5,2.5,,1,12,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,4%,0,0,0,0,0,3.0,-0.5,-0.2
Kai Havertz,ARS,F,165.0,TOT 2<br/>@ARS 2 F,2.0,2.0,,1,45,0,0,0,0,1,0,1,0,0,1,1,1,0,2,0,0,0,1,0,6,82%,0,0,4,0,0,4.0,-2.0,-1.0
Emile Smith Rowe,ARS,M,327.0,TOT 2<br/>@ARS 2 F,2.0,2.0,,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,9%,0,0,0,0,0,2.0,0.0,0.0
Declan Rice,ARS,M,67.0,TOT 2<br/>@ARS 2 F,1.0,1.0,,1,45,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,1,0,6,98%,1,0,0,0,0,1.5,-0.5,-0.5
Jorginho,ARS,M,347.0,TOT 2<br/>@ARS 2 F,1.0,1.0,,1,45,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,6,4%,0,0,0,0,0,2.0,-1.0,-1.0
William Saliba,ARS,D,98.0,TOT 2<br/>@ARS 2 F,0.25,0.25,,1,90,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,2,0,6,98%,1,0,0,0,0,0.25,-4.0,0.0
Oleksandr Zinchenko,ARS,D,158.0,TOT 2<br/>@ARS 2 F,0.25,0.25,,1,90,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,0,6,95%,1,0,0,0,0,0.25,-4.0,0.0
