,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (sum),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (max),gp (max)
0,AM,63,7.76,0.17,1.24,0.17,0.58,0.54,1.12,0.19,0.01,0.28,0.33,0.43,0.88,0.11,0.5,0.0,0.02,0.0,0.98,18,0.3,1.33,0.15,0.02,5.1,-0.99,True,1
10,RW,67,7.61,0.2,1.02,0.12,0.56,0.64,0.99,0.11,0.0,0.27,0.38,0.31,1.02,0.01,0.38,0.01,0.01,0.0,0.83,32,0.3,1.09,0.23,0.04,4.93,-0.77,True,1
4,FW,84,6.74,0.27,0.68,0.12,0.69,0.24,1.08,0.11,0.01,0.04,0.14,0.41,0.7,0.1,1.03,0.0,0.02,0.0,0.97,50,0.35,1.14,0.38,0.02,3.65,-0.84,True,1
7,LW,71,6.68,0.13,0.93,0.14,0.44,0.45,0.92,0.12,0.0,0.16,0.32,0.32,1.27,0.03,0.49,0.0,0.02,0.0,0.78,27,0.23,1.09,0.2,0.0,4.55,-0.7,True,1
9,RM,63,6.45,0.12,0.96,0.17,0.32,0.69,0.85,0.17,0.01,0.33,0.42,0.53,0.62,0.12,0.43,0.0,0.03,0.0,0.84,23,0.23,1.3,0.1,0.02,4.11,-0.96,True,1
3,DM,58,6.21,0.07,0.81,0.09,0.33,1.07,0.61,0.21,0.01,0.11,0.76,1.1,0.68,0.36,0.8,0.0,0.0,0.0,1.01,29,0.14,1.79,0.04,0.01,4.86,-0.81,True,1
8,RB,45,5.51,0.01,0.82,0.14,0.11,1.18,0.39,0.22,0.01,0.44,0.73,1.74,0.62,0.34,0.66,0.0,0.01,0.01,1.16,34,0.13,1.57,0.06,0.0,3.31,-2.94,True,1
6,LM,67,5.21,0.04,0.87,0.12,0.31,0.69,0.8,0.12,0.02,0.23,0.43,0.59,0.72,0.12,0.52,0.0,0.01,0.0,0.84,21,0.12,1.23,0.16,0.01,4.04,-0.84,True,1
5,LB,53,5.14,0.03,0.76,0.1,0.15,0.99,0.48,0.19,0.01,0.37,0.82,1.8,0.48,0.27,0.87,0.0,0.01,0.02,1.15,34,0.11,1.55,0.07,0.0,3.02,-3.02,True,1
1,CB,92,4.69,0.04,0.29,0.03,0.14,0.76,0.16,0.14,0.01,0.04,0.93,3.37,0.23,0.78,1.82,0.0,0.0,0.01,1.34,70,0.07,1.14,0.04,0.0,3.05,-3.18,True,1
11,WB,32,4.67,0.07,0.82,0.09,0.22,0.71,0.51,0.2,0.0,0.47,0.47,1.31,0.51,0.18,0.78,0.0,0.0,0.0,1.2,4,0.15,1.38,0.16,0.0,2.93,-2.44,True,1
2,CM,87,4.29,0.04,0.62,0.02,0.2,1.03,0.62,0.2,0.01,0.12,0.74,0.71,0.4,0.25,0.67,0.0,0.0,0.0,1.23,33,0.05,1.68,0.03,0.0,3.7,-0.82,True,1
