,team,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
12,MCI,15,190.75,3.8,27.33,2.73,14.53,15.13,13.47,2.33,0.0,4.93,9.07,12.0,11.87,2.6,15.33,0.27,0.2,0.27,11.73,8.13,6.33,18.67,1.07,0.2,142.22,-24.47,0.0,27.0,25.17
17,TOT,13,166.25,3.31,17.54,3.62,7.92,19.38,17.08,3.38,0.0,2.31,14.62,31.15,17.08,5.54,13.23,0.0,0.0,0.31,16.85,5.85,6.69,27.92,1.69,0.0,127.71,-31.77,0.0,23.0,26.98
7,CRY,13,142.73,1.54,15.85,1.38,6.62,17.23,19.38,3.23,0.0,3.54,15.38,42.62,18.77,7.38,25.85,0.0,0.0,0.0,23.38,7.54,2.62,27.38,1.54,0.0,134.27,-35.85,0.0,22.0,22.58
1,AVL,11,122.64,2.18,20.0,1.82,9.09,15.09,11.45,3.09,0.0,5.64,15.27,23.27,14.18,4.0,10.73,0.0,0.0,0.36,34.55,3.64,4.0,26.91,1.64,0.0,125.45,-45.0,0.0,22.0,19.91
4,BRF,14,115.96,1.86,10.93,1.07,4.86,13.07,6.93,3.36,0.0,3.29,13.0,33.5,9.57,3.71,20.57,0.0,0.29,0.0,9.71,5.86,2.64,22.93,1.71,0.29,98.0,-21.04,0.0,19.0,17.57
18,WHU,16,108.53,2.62,11.12,2.0,5.38,16.0,9.88,2.5,0.0,2.12,11.38,36.62,13.12,6.38,21.88,0.0,0.0,0.12,25.5,1.25,4.5,24.12,2.75,0.0,104.09,-32.56,0.0,22.0,23.4
0,ARS,16,106.53,1.75,10.5,1.75,3.62,8.5,9.0,1.12,0.25,3.75,8.25,11.62,8.5,4.0,11.0,0.0,0.75,0.0,5.75,7.5,2.5,14.5,1.62,0.75,72.78,-12.5,0.0,18.0,25.28
14,NEW,15,99.68,2.8,10.47,2.33,5.8,9.87,11.07,3.73,0.0,3.53,7.07,16.27,9.73,4.33,10.4,0.0,0.2,0.0,17.87,2.67,4.67,27.0,1.33,0.2,79.95,-29.0,0.0,19.0,23.96
19,WOL,18,87.39,0.67,11.89,1.44,3.78,11.33,11.11,4.0,0.0,4.67,10.11,20.67,11.0,4.44,17.89,0.0,0.0,0.0,12.56,2.44,1.89,23.44,1.78,0.0,92.39,-25.78,0.0,22.0,18.66
6,CHE,16,86.69,1.25,8.0,2.0,4.38,9.88,8.25,3.12,0.0,1.75,6.62,15.25,10.38,4.0,10.0,0.25,0.62,0.0,9.38,4.75,2.38,21.88,2.5,0.38,70.06,-20.62,0.0,18.0,24.08
8,EVE,16,85.25,1.19,9.5,1.19,4.19,14.81,8.0,1.75,0.0,2.25,10.75,22.0,7.88,3.88,20.62,0.0,0.0,0.0,18.19,2.12,2.38,16.31,1.56,0.0,85.25,-24.0,0.0,19.0,24.4
10,LIV,17,81.97,1.18,11.65,1.65,3.18,11.88,8.59,2.47,0.0,3.06,9.88,26.71,8.71,5.06,9.65,0.0,0.24,0.24,14.0,0.35,2.59,19.41,1.53,0.24,83.09,-22.88,0.0,22.0,22.44
13,MUN,21,65.74,0.86,9.24,0.76,3.62,6.76,4.95,1.71,0.0,1.71,5.9,17.81,4.29,3.62,10.57,0.0,0.0,0.19,9.33,2.86,1.62,12.29,1.9,0.0,58.98,-14.1,0.0,18.0,20.83
9,FUL,16,63.05,0.94,6.56,0.25,3.38,12.88,11.62,2.69,0.25,2.19,12.19,26.25,5.38,4.31,12.62,0.0,0.0,0.0,21.19,4.5,0.94,21.81,1.75,0.0,71.05,-31.94,0.0,23.0,12.71
15,NOT,20,59.01,0.4,5.65,0.6,2.55,11.7,7.2,2.85,0.2,0.6,9.85,24.85,6.9,5.4,15.0,0.0,0.0,0.0,17.45,3.6,0.8,21.45,1.85,0.0,67.71,-26.1,0.0,23.0,16.71
11,LUT,18,52.03,0.89,6.72,0.44,2.39,11.89,8.78,1.67,0.0,3.11,8.72,21.61,5.06,5.44,18.89,0.0,0.0,0.17,25.33,0.0,1.33,18.0,2.0,0.22,68.69,-27.78,0.0,23.0,14.37
2,BHA,21,47.74,1.14,5.9,1.43,2.86,6.76,4.76,2.29,0.0,0.86,6.57,11.62,6.1,2.86,4.86,0.0,0.0,0.0,14.38,0.38,2.48,13.43,2.0,0.0,46.5,-18.57,0.0,18.0,12.23
5,BUR,16,43.67,0.69,6.0,0.94,2.62,6.56,9.06,2.81,0.5,0.19,7.56,30.62,6.19,6.31,15.69,0.0,0.0,0.0,17.25,0.75,1.62,23.25,1.75,0.0,61.39,-30.16,0.0,19.0,5.19
3,BOU,16,38.5,0.75,6.38,0.88,2.75,9.0,11.62,1.38,0.0,2.75,7.62,23.38,8.88,5.62,10.0,0.0,0.0,0.25,30.62,0.0,1.62,15.0,1.5,0.0,63.94,-37.81,0.0,18.0,11.92
16,SHU,18,38.17,0.44,5.22,0.44,2.22,11.5,9.33,2.33,0.22,1.78,8.22,22.72,4.94,5.11,17.28,0.0,0.0,0.0,23.11,0.67,0.67,18.11,2.17,0.0,62.61,-33.33,0.0,19.0,8.92
