,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
9,MCI,FW,2,17.83,0.93,1.13,0.4,2.07,0.13,0.67,0.07,0.0,0.0,0.07,0.8,0.4,0.07,1.13,0.07,0.07,0.0,1.13,0.27,1.27,0.87,0.07,0.2,7.77,-0.73,0.4,1,52.27
8,LIV,RW,1,17.82,0.79,2.29,0.43,1.43,0.5,1.79,0.0,0.0,0.29,0.07,0.0,0.71,0.07,0.29,0.07,0.07,0.0,0.86,0.36,1.21,0.14,0.29,0.21,9.36,-1.18,0.5,1,53.25
2,ARS,RW,2,16.19,0.31,2.44,0.5,0.88,1.38,1.88,0.12,0.0,0.56,0.44,0.44,1.69,0.12,0.88,0.0,0.0,0.0,0.94,0.38,0.69,1.62,0.19,0.12,11.25,-1.19,0.5,1,50.46
4,CHE,LW,2,13.77,0.36,1.36,0.55,0.64,0.45,0.91,0.36,0.0,0.09,0.73,0.27,2.45,0.0,0.09,0.0,0.18,0.0,1.55,0.27,0.55,2.82,0.18,0.0,8.14,-1.18,0.45454545454545453,1,29.18
16,TOT,LW,5,13.32,0.14,2.14,0.5,0.93,0.64,0.93,0.07,0.0,0.21,0.71,0.79,1.57,0.07,0.29,0.0,0.07,0.0,1.0,0.43,0.64,1.0,0.21,0.07,9.64,-0.61,0.5,1,30.23
15,TOT,FW,2,12.91,0.69,1.25,0.12,1.44,0.31,1.0,0.06,0.0,0.06,0.12,0.19,0.81,0.06,0.31,0.0,0.0,0.06,1.31,0.25,0.81,0.56,0.56,0.0,6.91,-0.94,0.5,1,39.11
10,MCI,LW,3,11.89,0.14,1.86,0.21,0.57,0.93,1.14,0.14,0.0,0.29,0.21,0.29,3.43,0.07,0.36,0.0,0.0,0.0,0.86,0.21,0.36,1.07,0.36,0.0,9.96,-0.86,0.42857142857142855,1,40.32
11,MCI,RW,4,11.79,0.29,1.86,0.07,0.86,0.93,1.0,0.07,0.0,0.5,0.86,0.64,1.43,0.0,0.14,0.0,0.0,0.0,1.07,0.29,0.36,0.71,0.14,0.0,9.21,-0.64,0.42857142857142855,1,32.95
0,ARS,FW,3,10.7,0.4,1.0,0.27,0.93,0.47,1.27,0.13,0.0,0.0,0.33,0.33,0.87,0.0,1.2,0.0,0.13,0.0,0.73,0.53,0.53,1.47,0.67,0.0,6.4,-0.9,0.4666666666666667,1,24.77
17,TOT,RW,2,10.53,0.25,2.0,0.06,0.69,0.69,1.81,0.19,0.0,0.5,0.56,0.12,1.56,0.06,0.25,0.0,0.0,0.0,1.06,0.38,0.31,2.19,0.5,0.0,8.88,-1.28,0.5,1,33.25
6,LIV,FW,4,10.47,0.24,1.18,0.41,1.06,0.47,1.0,0.18,0.0,0.0,0.24,0.47,0.82,0.18,1.12,0.0,0.0,0.0,0.88,0.29,0.47,1.53,0.65,0.0,6.74,-0.85,0.4117647058823529,1,29.8
1,ARS,LW,3,10.43,0.13,1.6,0.2,0.73,0.73,1.87,0.07,0.0,0.8,0.47,0.2,1.73,0.0,0.73,0.0,0.0,0.0,0.93,0.4,0.27,1.13,0.53,0.0,8.77,-1.07,0.4666666666666667,1,27.35
5,CHE,RW,3,9.12,0.25,1.33,0.25,0.67,0.5,1.5,0.33,0.0,0.25,0.58,0.42,1.25,0.08,0.08,0.0,0.0,0.0,1.42,0.17,0.42,2.0,0.33,0.25,6.71,-1.42,0.4166666666666667,1,31.42
3,CHE,FW,3,9.03,0.47,0.8,0.07,1.2,0.4,1.93,0.53,0.0,0.0,0.2,0.53,1.47,0.07,0.67,0.0,0.0,0.0,1.33,0.27,0.53,2.47,0.8,0.07,6.47,-2.03,0.5333333333333333,1,29.0
7,LIV,LW,2,9.0,0.29,1.14,0.07,0.71,0.64,1.29,0.07,0.0,0.07,0.21,0.14,1.64,0.0,1.0,0.0,0.0,0.0,0.79,0.36,0.29,1.5,0.64,0.0,6.79,-0.79,0.5,1,21.04
13,MUN,LW,2,9.0,0.14,1.43,0.21,0.57,0.36,1.36,0.21,0.0,0.07,0.29,0.57,1.93,0.07,0.93,0.0,0.07,0.0,1.21,0.29,0.29,1.21,0.07,0.0,7.32,-1.11,0.5,1,24.69
14,MUN,RW,4,8.21,0.14,1.14,0.0,0.86,0.79,0.57,0.14,0.0,0.36,0.86,0.5,1.0,0.07,0.43,0.0,0.07,0.0,1.07,0.29,0.14,1.14,0.29,0.07,7.43,-0.57,0.5,1,21.58
12,MUN,FW,3,5.29,0.06,0.94,0.06,0.76,0.06,1.59,0.0,0.0,0.06,0.0,0.71,1.18,0.0,0.76,0.0,0.06,0.0,1.06,0.29,0.06,0.41,0.47,0.0,5.21,-0.79,0.5882352941176471,1,15.73
