,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
14,vs BOU,WB,2,26.12,0.5,2.5,2.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.5,2.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,2.5,1.0,0.0,0.0,11.12,-1.5,1.0,1,45.88
21,vs BUR,WB,4,17.19,0.5,2.5,0.25,0.75,1.25,0.25,0.0,0.0,0.75,0.75,1.25,0.75,0.0,2.0,0.0,0.0,0.0,1.25,0.0,0.75,1.5,0.0,0.0,12.06,-1.62,0.5,1,34.5
44,vs LUT,WB,1,16.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,1.0,1,32.25
62,vs SHU,RB,11,13.68,0.09,1.91,0.45,0.18,0.73,0.64,0.0,0.0,1.18,0.45,0.73,1.09,0.36,1.0,0.0,0.0,0.0,0.82,0.36,0.55,0.55,0.0,0.0,9.18,-1.77,0.45,1,30.62
12,vs BOU,LB,9,11.28,0.11,1.11,0.22,0.44,1.0,0.22,0.22,0.0,0.22,0.89,1.56,0.67,0.33,1.44,0.0,0.0,0.0,0.78,0.44,0.33,2.0,0.11,0.0,8.06,-2.11,0.44,1,22.93
42,vs LUT,LB,11,11.0,0.0,1.64,0.09,0.27,1.45,0.18,0.36,0.0,0.91,0.64,2.18,0.45,0.36,1.73,0.0,0.0,0.0,0.73,0.45,0.09,2.09,0.09,0.0,9.91,-2.27,0.64,1,19.78
40,vs LIV,WB,4,10.56,0.0,1.25,0.5,0.5,0.75,1.0,0.0,0.0,1.25,0.0,2.0,1.75,0.25,1.25,0.0,0.0,0.0,1.0,0.0,0.5,0.25,0.25,0.0,9.06,-2.0,1.0,1,15.38
41,vs LUT,CB,24,10.33,0.12,0.25,0.0,0.25,0.83,0.21,0.08,0.0,0.04,0.88,4.21,0.25,0.83,3.71,0.0,0.0,0.0,0.75,0.38,0.12,1.12,0.0,0.0,8.44,-1.6,0.58,1,23.98
19,vs BUR,LB,10,10.18,0.2,0.5,0.1,0.2,1.6,0.4,0.2,0.0,0.3,0.6,1.9,0.4,0.3,1.8,0.0,0.0,0.0,0.6,0.5,0.3,1.4,0.0,0.0,6.78,-1.8,0.5,1,27.09
27,vs CRY,LB,10,9.8,0.1,0.8,0.2,0.2,1.5,1.3,0.3,0.1,0.8,1.2,1.7,0.7,0.5,1.5,0.0,0.0,0.0,0.9,0.4,0.2,3.4,0.0,0.0,8.55,-3.55,0.5,1,25.71
20,vs BUR,RB,10,9.7,0.0,1.2,0.2,0.0,1.4,0.0,0.4,0.0,0.5,0.8,1.6,0.4,0.0,1.4,0.0,0.0,0.0,0.6,0.5,0.2,1.9,0.1,0.0,7.3,-2.0,0.5,1,27.32
43,vs LUT,RB,12,9.6,0.0,1.33,0.25,0.0,1.17,0.25,0.17,0.0,0.58,0.75,1.75,0.33,0.42,0.58,0.0,0.0,0.0,0.58,0.5,0.25,1.08,0.0,0.0,6.9,-1.62,0.58,1,17.12
32,vs EVE,WB,4,9.19,0.0,2.0,0.25,0.25,1.25,1.0,0.25,0.0,0.5,1.5,3.75,1.25,0.5,1.25,0.0,0.0,0.0,1.5,0.0,0.25,2.25,0.25,0.0,11.19,-3.5,0.5,1,18.12
61,vs SHU,LB,11,9.14,0.09,0.82,0.09,0.18,1.55,0.82,0.0,0.0,0.27,1.0,2.18,0.82,0.0,1.55,0.0,0.0,0.09,0.73,0.36,0.18,0.82,0.09,0.0,7.73,-2.32,0.45,1,19.88
13,vs BOU,RB,10,8.52,0.1,0.8,0.0,0.3,1.9,0.8,0.2,0.0,0.1,0.9,2.1,0.9,0.2,1.0,0.0,0.0,0.0,0.9,0.4,0.1,1.4,0.0,0.0,7.72,-2.6,0.4,1,19.04
18,vs BUR,CB,26,8.36,0.08,0.19,0.08,0.19,0.81,0.12,0.15,0.0,0.0,0.85,3.35,0.31,0.38,2.77,0.0,0.0,0.0,0.81,0.38,0.15,1.15,0.04,0.0,6.72,-1.98,0.5,1,17.09
25,vs CHE,WB,4,8.31,0.0,0.0,0.0,0.0,0.5,0.75,0.25,0.0,0.25,0.25,2.75,0.0,0.75,0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.25,0.25,0.0,3.19,-0.88,0.0,1,12.19
11,vs BOU,CB,26,8.25,0.08,0.38,0.04,0.19,0.85,0.23,0.19,0.0,0.04,1.12,3.92,0.15,0.88,2.23,0.0,0.0,0.0,0.88,0.35,0.12,1.19,0.04,0.0,7.4,-2.27,0.42,1,20.92
