,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (sum),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (max),gp (max)
2,ARS,RW,1,138.5,4.0,19.0,3.0,9.0,11.0,8.0,1.0,0.0,4.0,2.0,4.0,13.0,0.0,3.0,0.0,0.0,0.0,6.0,3,6.0,12.0,1.0,2.0,81.5,-6.0,4,7
33,MCI,FW,1,136.0,8.0,10.0,1.0,18.0,0.0,5.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,9.0,1.0,0.0,0.0,6.0,3,9.0,5.0,1.0,1.0,58.0,-6.5,3,8
51,WHU,RW,1,109.0,5.0,5.0,1.0,11.0,10.0,10.0,1.0,0.0,0.0,5.0,4.0,10.0,0.0,14.0,0.0,0.0,0.0,12.0,1,6.0,7.0,7.0,0.0,57.0,-7.0,4,8
19,CRY,LW,1,104.0,1.0,18.0,1.0,8.0,4.0,16.0,1.0,0.0,7.0,2.0,1.0,27.0,1.0,6.0,0.0,0.0,0.0,7.0,3,1.0,10.0,1.0,0.0,86.0,-10.0,3,7
48,TOT,RW,1,95.0,2.0,21.0,0.0,6.0,5.0,15.0,1.0,0.0,5.0,6.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0,7.0,3,2.0,12.0,3.0,0.0,74.0,-9.5,3,8
27,LIV,FW,3,82.33,3.33,8.0,2.33,7.33,3.67,7.0,0.67,0.0,0.67,1.0,1.67,5.33,0.67,3.67,0.33,0.33,0.0,5.33,2,5.33,7.67,0.67,0.67,38.33,-6.17,3,8
3,AVL,FW,2,81.75,3.0,8.5,3.5,6.5,1.5,6.0,1.0,0.0,0.0,0.0,3.0,2.5,0.5,4.5,0.0,1.0,0.0,6.0,2,5.0,6.5,1.0,0.0,33.75,-5.0,3,8
39,NEW,FW,2,75.75,5.0,2.0,0.0,11.0,0.0,7.0,0.5,0.0,0.0,0.0,1.0,8.5,0.0,1.5,0.0,0.0,0.0,5.5,4,5.0,7.0,1.5,1.0,30.75,-4.5,3,7
8,BOU,FW,1,70.0,3.0,9.0,1.0,8.0,1.0,21.0,1.0,0.0,1.0,2.0,8.0,7.0,1.0,7.0,0.0,0.0,0.0,18.0,1,4.0,12.0,2.0,0.0,37.0,-12.5,4,8
20,CRY,RW,1,59.0,0.0,8.0,2.0,5.0,8.0,24.0,2.0,0.0,2.0,5.0,1.0,15.0,0.0,14.0,0.0,0.0,0.0,4.0,4,2.0,19.0,2.0,0.0,47.0,-16.0,4,8
30,LUT,FW,2,56.0,2.0,5.5,0.5,3.5,1.5,9.0,0.5,0.0,0.0,1.5,8.5,6.5,0.0,26.0,0.0,0.0,0.0,10.5,0,2.5,11.0,3.5,1.0,35.0,-5.5,4,8
35,MCI,RW,2,55.5,0.5,10.5,2.0,2.0,3.5,5.0,0.0,0.0,1.0,1.0,2.5,9.0,0.0,1.0,0.0,0.0,0.0,3.0,3,2.0,3.0,0.0,0.0,37.5,-2.5,3,8
