Player,Team,Position,GS:GP,FPTS,FPts/90,Ghost Points,Ghosts/90,GPR,Negative Fpts,Ros Rank,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,MIN,FPTS/GS,Attacking Stats,Defensive Stats,Duel Stats,Liability Stats
Erling Haaland,MCI,F,1.00,185.0,17.86,81.5,7.87,0.44,-7.5,1,11,11,11,11,2,24,0,7,0,0,0,1,5,4,0,13,1,0,0,7,4,932,16.82,158,10,17,15
Mohamed Salah,LIV,F,1.00,184.5,17.44,104.0,9.83,0.56,-15.5,5,11,11,8,25,4,15,6,19,1,0,3,1,0,9,1,4,1,1,0,9,3,952,16.77,111,11,13,30
James Maddison,TOT,M,1.00,181.0,18.49,124.5,12.72,0.69,-11.5,2,11,11,3,31,6,15,6,15,2,0,5,5,3,16,0,1,0,0,0,8,5,881,16.45,66,19,17,25
Kieran Trippier,NEW,D,1.00,175.5,16.68,134.0,12.74,0.76,-30.5,6,11,11,0,32,6,0,9,5,3,0,20,7,12,8,6,17,0,0,0,11,5,947,15.95,58,39,25,19
Ollie Watkins,AVL,F,1.00,173.0,16.46,85.0,8.09,0.49,-5.0,8,11,11,5,19,8,15,2,10,0,0,0,0,6,6,2,6,0,2,0,16,2,946,15.73,67,12,12,26
Bukayo Saka,ARS,M,0.91,170.5,17.78,110.0,11.47,0.65,-9.5,3,10,10,4,24,5,9,15,15,1,0,6,3,4,16,1,6,0,0,0,9,4,863,17.05,60,27,22,25
Bryan Mbeumo,BRF,F,1.00,160.5,14.59,97.0,8.82,0.6,-8.5,15,11,11,6,16,3,14,7,13,1,0,9,4,4,9,0,16,0,0,0,14,3,990,14.59,78,18,25,28
Son Heung-Min,TOT,F,1.00,160.0,16.26,85.5,8.69,0.53,-3.5,7,11,11,8,18,1,16,3,7,0,0,1,3,3,10,0,1,0,0,0,12,4,886,14.55,100,13,11,19
Bruno Fernandes,MUN,M,1.00,157.5,14.32,127.5,11.59,0.81,-12.0,4,11,11,3,30,2,15,12,8,4,0,5,7,13,9,1,7,0,0,0,16,3,990,14.32,61,36,16,28
Pedro Neto,WOL,F,0.91,154.0,15.65,107.5,10.92,0.7,-10.5,33,10,10,1,25,8,6,2,9,3,0,16,3,2,23,1,1,0,0,0,17,1,886,15.4,56,9,24,29
Julian Alvarez,MCI,F,1.00,154.0,15.31,95.5,9.49,0.62,-7.5,9,11,11,4,25,5,13,4,7,2,0,5,1,3,7,0,1,0,1,0,6,5,905,14.0,64,13,8,15
Jarrod Bowen,WHU,M,1.00,150.0,13.66,91.0,8.29,0.61,-11.0,10,11,11,7,8,1,14,10,18,1,0,0,9,5,18,2,16,0,0,0,20,1,988,13.64,72,27,34,39
Joachim Andersen,CRY,D,1.00,144.0,13.09,117.5,10.68,0.82,-30.5,54,11,11,2,10,1,5,10,1,2,0,5,11,66,7,9,29,0,0,0,13,5,990,13.09,25,101,36,16
Phil Foden,MCI,M,0.82,135.0,14.67,93.5,10.16,0.69,-7.5,13,9,11,3,23,3,7,8,11,1,0,2,5,5,17,0,3,0,0,0,7,4,828,15.0,44,22,20,19
Dominik Szoboszlai,LIV,M,1.00,133.0,12.41,103.5,9.65,0.78,-7.5,14,11,11,1,26,4,5,10,11,1,0,5,7,9,13,1,3,0,2,0,9,4,965,12.09,41,31,16,21
Moussa Diaby,AVL,F,1.00,131.5,13.42,80.5,8.21,0.61,-6.0,23,11,11,3,21,5,10,1,12,0,0,5,2,1,10,0,1,0,0,0,15,2,882,11.95,50,6,11,27
