,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
55,vsLUT,AM,4,20.14,0.76,1.95,0.71,1.29,1.76,2.95,0.0,0.0,0.0,0.24,0.52,0.71,0.0,0.48,0.0,0.29,0.0,0.29,0.71,1.24,1.71,0.29,0.29,10.0,-1.48,0.52,1.0,46.0
19,vsBOU,RM,6,18.73,0.52,1.86,0.69,0.69,0.83,1.14,0.17,0.0,0.83,0.62,0.48,1.03,0.0,2.03,0.0,0.34,0.0,0.97,0.34,0.86,0.69,0.0,0.17,10.85,-1.26,0.52,1.0,30.33
80,vsSHU,AM,5,18.46,0.0,5.27,0.19,1.35,0.77,0.85,0.19,0.0,1.27,0.38,0.77,1.42,0.19,0.85,0.0,0.0,0.0,0.58,0.42,0.19,0.81,0.0,0.0,17.69,-0.81,0.38,1.0,51.75
95,vsWOL,AM,4,16.28,0.28,2.11,0.83,1.11,0.56,0.83,0.72,0.0,0.0,1.0,1.11,2.22,0.28,0.28,0.0,0.0,0.0,1.56,0.0,1.11,3.5,0.28,0.0,10.64,-1.86,0.44,1.0,28.58
45,vsFUL,AM,6,16.23,0.5,1.69,0.54,0.92,1.15,1.42,0.0,0.0,0.5,0.0,0.0,1.0,0.19,0.5,0.0,0.19,0.0,0.35,0.5,0.65,1.54,0.0,0.0,8.71,-0.71,0.88,1.0,33.63
69,vsMUN,RM,5,15.1,0.2,2.2,0.4,1.0,1.4,1.0,0.2,0.0,1.0,0.2,0.4,2.0,0.2,0.8,0.0,0.0,0.0,1.0,0.2,0.2,1.0,0.0,0.0,11.6,-0.9,0.6,1.0,26.5
92,vsWHU,DM,6,14.78,0.31,2.88,0.16,1.09,0.34,0.72,0.16,0.0,0.81,0.53,0.53,1.19,0.53,0.72,0.0,0.0,0.0,1.47,0.0,0.47,0.94,0.0,0.0,11.7,-0.67,0.69,1.0,34.75
28,vsBUR,LM,4,12.7,0.0,2.8,0.4,1.0,1.0,1.0,0.4,0.0,0.8,0.4,0.6,1.0,0.0,0.8,0.0,0.0,0.0,0.2,0.8,0.4,2.2,0.0,0.0,11.2,-1.3,0.4,1.0,28.83
83,vsSHU,LM,6,12.47,0.19,1.37,0.52,0.7,1.26,2.11,0.0,0.0,0.19,1.11,0.19,0.96,0.7,1.15,0.0,0.0,0.0,0.96,0.33,0.7,0.52,0.19,0.0,9.23,-1.87,0.52,1.0,20.72
85,vsTOT,AM,4,12.35,0.0,3.88,0.18,0.59,0.65,0.71,0.29,0.0,0.29,1.18,0.29,0.47,0.0,1.41,0.0,0.0,0.0,1.82,0.0,0.18,2.41,0.29,0.0,12.24,-0.94,0.53,1.0,26.58
32,vsCHE,DM,7,12.29,0.0,1.85,0.39,0.15,1.7,0.3,0.24,0.0,0.0,2.27,2.27,0.85,0.61,1.06,0.0,0.0,0.0,0.39,0.61,0.39,2.48,0.0,0.0,9.95,-0.64,0.7,1.0,22.8
79,vsNOT,RM,5,12.26,0.2,1.68,0.52,0.36,1.04,1.4,0.0,0.0,0.32,0.76,1.64,1.28,0.0,0.4,0.0,0.0,0.0,0.84,0.36,0.72,0.0,0.0,0.0,7.68,-0.7,0.6,1.0,30.34
48,vsFUL,LM,4,12.12,0.0,2.52,0.0,1.05,1.19,0.76,0.0,0.0,0.76,1.0,1.19,1.57,0.24,0.24,0.0,0.0,0.0,0.52,0.48,0.0,0.71,1.05,0.0,12.02,-0.38,0.52,1.0,15.25
84,vsSHU,RM,6,12.01,0.19,1.52,0.67,0.19,0.74,0.33,0.19,0.0,0.37,0.48,1.22,0.22,0.0,1.56,0.0,0.0,0.0,0.96,0.33,0.67,0.93,0.0,0.0,6.69,-0.91,0.52,1.0,22.84
0,vsARS,AM,5,11.7,0.0,2.4,0.6,0.2,0.8,1.0,0.0,0.0,0.2,0.8,0.6,1.2,0.0,0.8,0.0,0.0,0.0,2.2,0.0,0.6,1.0,0.2,0.0,8.6,-0.5,0.6,1.0,39.88
67,vsMUN,DM,8,11.59,0.29,0.91,0.24,0.91,1.53,1.03,0.18,0.0,0.12,0.44,1.12,1.09,0.29,0.85,0.0,0.12,0.0,0.38,0.62,0.41,1.24,0.0,0.0,7.78,-0.87,0.47,1.0,25.29
17,vsBOU,DM,8,11.55,0.0,1.62,0.5,0.5,2.67,0.5,0.38,0.0,0.0,0.6,2.21,0.71,0.24,1.74,0.0,0.0,0.0,0.52,0.36,0.38,2.81,0.0,0.0,9.32,-1.01,0.24,1.0,23.5
44,vsEVE,RM,5,11.15,0.19,2.35,0.19,0.58,0.58,1.35,0.0,0.0,0.77,0.23,0.42,0.58,0.23,0.19,0.0,0.0,0.0,0.58,0.81,0.38,0.38,0.0,0.0,8.33,-0.67,0.38,1.0,38.12
24,vsBRF,RM,5,11.11,0.13,2.0,0.35,0.13,2.0,1.13,0.43,0.0,0.43,0.22,1.0,0.57,1.09,1.0,0.0,0.0,0.0,1.26,0.22,0.35,2.22,0.0,0.0,9.07,-1.43,0.65,1.0,20.17
35,vsCRY,AM,3,11.11,0.0,2.36,0.64,0.36,0.71,0.93,0.0,0.0,1.0,0.0,1.0,0.29,0.0,0.0,0.0,0.0,0.0,0.71,0.29,0.36,0.64,1.0,0.0,7.43,-0.46,0.71,1.0,43.04
