,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
6,LUT,WB,3,8.3,0.0,2.0,0.18,0.09,1.27,0.36,0.36,0.0,1.0,1.0,2.27,0.73,0.18,1.09,0.0,0.0,0.0,1.55,0.0,0.18,2.18,0.09,0.0,9.48,-2.36,0.36,1,18.0
5,LUT,RB,3,7.0,0.0,1.4,0.0,0.0,0.6,0.6,0.0,0.0,1.2,0.8,2.6,1.2,0.4,1.8,0.0,0.0,0.0,1.2,0.0,0.0,1.4,0.0,0.0,9.3,-2.3,0.4,1,16.5
4,LUT,LB,3,6.04,0.0,1.0,0.0,0.33,1.33,0.0,0.17,0.0,1.0,0.5,1.5,0.67,0.0,0.83,0.0,0.0,0.0,1.83,0.0,0.0,1.17,0.0,0.0,6.71,-0.67,0.33,1,26.1
3,LUT,CB,6,3.89,0.06,0.21,0.06,0.12,1.21,0.18,0.15,0.0,0.0,1.3,3.94,0.27,0.76,1.79,0.0,0.0,0.03,1.79,0.0,0.12,1.09,0.03,0.0,6.98,-4.12,0.42,1,11.51
10,SHU,WB,5,2.87,0.0,0.33,0.13,0.13,0.73,1.13,0.2,0.0,0.53,0.67,2.53,0.67,0.47,0.8,0.0,0.0,0.0,1.53,0.07,0.0,1.67,0.2,0.0,5.3,-3.77,0.4,1,0.95
0,BUR,CB,4,2.19,0.0,0.32,0.04,0.12,0.76,0.24,0.16,0.0,0.08,1.28,4.12,0.16,0.88,2.08,0.0,0.0,0.0,2.4,0.0,0.04,1.24,0.0,0.0,7.15,-5.24,0.52,1,4.26
7,SHU,CB,6,1.34,0.0,0.15,0.06,0.06,1.12,0.29,0.32,0.0,0.03,1.29,4.18,0.21,0.91,1.71,0.0,0.03,0.0,2.53,0.0,0.03,1.94,0.06,0.0,6.78,-5.85,0.5,1,2.72
1,BUR,LB,3,0.86,0.09,0.45,0.0,0.09,0.55,0.36,0.27,0.0,0.27,0.73,2.0,0.36,0.64,1.45,0.0,0.0,0.0,2.45,0.0,0.09,1.91,0.0,0.0,5.59,-5.64,0.45,1,3.88
2,BUR,RB,3,-1.27,0.0,0.33,0.08,0.0,0.75,0.75,0.17,0.08,0.08,0.67,2.42,0.08,0.42,0.67,0.0,0.0,0.0,2.25,0.0,0.08,1.58,0.0,0.0,3.94,-5.79,0.5,1,-3.82
9,SHU,RB,1,-1.38,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,2.5,0.0,0.5,2.5,0.0,0.0,0.0,2.5,0.0,0.0,4.5,0.0,0.0,4.62,-6.0,0.5,1,4.75
8,SHU,LB,1,-6.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,2.0,2.67,1.0,0.0,0.67,0.0,0.0,0.0,5.0,0.0,0.0,2.67,0.0,0.0,4.67,-10.67,0.67,1,-4.33
