,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
31,SHU,RM,2,9.25,0.25,1.25,0.25,0.25,1.5,1.5,0.0,0.0,0.0,0.25,1.0,1.0,0.0,1.25,0.0,0.0,0.0,1.5,0.25,0.25,0.75,0.0,0.0,6.5,-1.25,0.75,1,23.83
20,LUT,RW,2,9.0,0.0,1.0,0.5,1.0,0.5,1.5,0.0,0.0,0.5,1.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.5,0.5,0.0,0.0,6.75,-0.75,1.0,1,20.25
0,BUR,AM,2,8.17,0.33,0.33,0.0,1.0,0.33,0.67,0.0,0.0,0.0,1.0,0.0,0.67,0.67,0.33,0.0,0.0,0.0,1.67,0.0,0.33,1.67,0.0,0.0,5.5,-0.33,0.0,1,17.67
6,BUR,LM,4,8.08,0.17,1.0,0.17,0.33,1.0,0.58,0.08,0.0,0.08,0.5,1.08,1.25,0.08,0.58,0.0,0.08,0.0,2.0,0.17,0.25,1.17,0.5,0.0,6.04,-0.46,0.67,1,17.95
4,BUR,FW,3,8.02,0.26,0.65,0.17,0.91,0.61,1.13,0.04,0.04,0.0,0.13,0.74,0.83,0.22,1.35,0.0,0.0,0.0,1.78,0.17,0.43,1.43,0.43,0.04,5.59,-0.96,0.57,1,24.29
21,LUT,WB,4,7.93,0.0,1.71,0.24,0.12,1.35,0.41,0.29,0.0,0.76,1.0,2.53,0.88,0.29,0.94,0.0,0.0,0.0,1.88,0.0,0.24,2.18,0.06,0.0,9.13,-2.68,0.47,1,18.92
9,BUR,RM,5,7.92,0.08,1.92,0.08,0.33,0.5,1.0,0.08,0.0,0.5,0.67,0.67,0.42,0.0,1.33,0.0,0.0,0.0,1.33,0.17,0.17,1.0,0.08,0.0,7.25,-0.67,0.5,1,19.15
16,LUT,LM,4,7.25,0.0,1.5,0.0,0.25,0.75,1.0,0.0,0.0,1.25,0.5,0.75,1.5,0.0,0.5,0.0,0.0,0.0,1.25,0.0,0.0,0.5,0.0,0.0,7.75,-0.5,0.75,1,13.75
14,LUT,FW,3,7.09,0.22,0.7,0.09,0.48,0.3,1.35,0.04,0.0,0.04,0.22,1.13,0.74,0.09,3.26,0.0,0.0,0.0,1.61,0.09,0.3,1.52,0.52,0.09,5.37,-0.76,0.43,1,17.5
18,LUT,RB,3,7.0,0.0,1.4,0.0,0.0,0.6,0.6,0.0,0.0,1.2,0.8,2.6,1.2,0.4,1.8,0.0,0.0,0.0,1.2,0.0,0.0,1.4,0.0,0.0,9.3,-2.3,0.4,1,16.5
17,LUT,LW,2,6.75,0.0,2.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,1.0,0.0,1.5,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,1.0,0.5,0.0,7.5,-0.75,1.0,1,17.0
19,LUT,RM,4,6.62,0.25,0.5,0.25,0.25,1.0,1.0,0.25,0.0,0.0,0.5,1.5,0.75,0.0,0.75,0.0,0.0,0.0,1.5,0.0,0.25,2.0,0.25,0.0,4.12,-1.5,0.75,1,20.88
15,LUT,LB,3,6.45,0.0,0.8,0.0,0.4,1.4,0.0,0.0,0.0,1.2,0.6,1.8,0.6,0.0,1.0,0.0,0.0,0.0,1.6,0.0,0.0,0.6,0.0,0.0,6.85,-0.4,0.4,1,27.5
7,BUR,LW,6,6.08,0.17,1.0,0.0,0.67,0.5,2.17,0.17,0.0,0.0,0.0,0.83,2.0,0.0,0.33,0.0,0.0,0.0,1.33,0.17,0.17,1.83,0.33,0.0,6.0,-1.42,0.33,1,12.5
28,SHU,LM,4,6.0,0.0,1.25,0.0,0.25,1.5,0.5,0.0,0.0,0.0,0.5,2.25,0.75,0.25,1.0,0.0,0.0,0.0,1.5,0.25,0.0,1.25,0.5,0.0,6.75,-0.75,0.75,1,12.0
2,BUR,CM,3,5.95,0.1,0.62,0.05,0.24,1.1,0.52,0.29,0.0,0.1,1.05,1.19,0.29,0.48,1.67,0.0,0.0,0.0,1.9,0.1,0.14,2.19,0.0,0.0,5.55,-0.83,0.62,1,19.31
24,SHU,CM,6,5.94,0.06,0.69,0.03,0.33,1.42,0.67,0.22,0.0,0.22,0.92,2.0,0.39,0.31,1.25,0.0,0.0,0.0,2.17,0.11,0.08,1.64,0.03,0.03,6.0,-0.83,0.53,1,17.05
26,SHU,FW,6,5.02,0.14,0.68,0.09,0.5,0.32,1.68,0.23,0.05,0.05,0.18,0.5,0.73,0.14,2.18,0.0,0.0,0.0,2.05,0.0,0.18,1.77,0.55,0.05,4.86,-1.61,0.55,1,13.86
11,LUT,AM,4,4.97,0.0,0.53,0.13,0.27,0.93,1.33,0.2,0.0,0.27,0.4,0.8,1.2,0.07,1.27,0.0,0.0,0.0,1.47,0.2,0.13,1.27,0.27,0.0,5.1,-1.07,0.53,1,19.12
