,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
41,MCI,WB,2,25.62,0.5,2.5,2.0,0.5,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,2.5,1.0,0.0,0.0,7.75,-0.62,1.0,1.0,43.38,104.5,44.5,-6.0,-2.0,-13.5,3.5
34,MCI,FW,1,17.8,1.16,1.19,0.16,2.33,0.0,0.0,0.0,0.0,0.09,0.56,0.0,0.09,0.0,0.0,0.65,0.44,1.33,0.56,0.09,0.16,7.29,-1.1,0.37,1.0,35.03,800.0,341.5,-33.5,-34.75,-28.0,-13.75
29,LIV,RW,1,17.67,0.94,2.3,0.36,1.67,0.61,0.0,0.0,0.3,0.0,0.0,0.12,0.12,0.12,0.0,0.79,0.33,1.3,0.24,0.42,0.36,8.34,-1.67,0.58,1.0,39.42,637.0,330.0,-44.0,-53.75,-54.75,-11.0
53,TOT,AM,1,16.87,0.31,3.13,0.59,1.54,0.62,0.21,0.0,0.49,0.31,0.28,0.0,0.0,0.0,0.0,0.72,0.49,0.82,1.41,0.08,0.0,10.92,-1.43,0.41,1.0,39.58,704.0,484.0,-45.0,-46.0,-58.25,-10.75
8,ARS,RW,2,15.02,0.39,2.27,0.46,0.88,1.68,0.2,0.0,0.54,0.39,0.49,0.05,0.0,0.0,0.0,0.83,0.46,0.68,2.22,0.1,0.2,9.86,-1.96,0.56,1.0,38.66,678.0,453.5,-48.5,-62.0,-49.25,-31.75
30,MCI,AM,2,14.65,0.52,2.32,0.52,1.39,0.39,0.26,0.0,0.42,0.19,0.13,0.0,0.0,0.13,0.0,0.71,0.29,0.77,1.68,0.0,0.0,7.41,-1.02,0.52,1.0,38.1,506.0,290.0,-24.0,-51.75,-60.25,-7.5
16,CHE,LW,2,13.24,0.38,1.1,0.67,0.67,0.76,0.19,0.0,0.0,0.48,0.19,0.0,0.0,0.19,0.0,0.57,0.57,0.48,1.52,0.1,0.0,6.12,-1.55,0.52,1.0,23.62,303.5,152.0,-16.5,-25.5,-23.5,-16.0
33,MCI,DM,5,12.09,0.26,1.18,0.35,0.87,1.42,0.26,0.0,0.18,0.37,0.89,0.06,0.0,0.05,0.0,0.58,0.42,0.56,2.0,0.19,0.0,7.98,-1.11,0.45,1.0,16.08,719.0,477.0,-60.0,30.75,17.5,-8.75
57,TOT,FW,2,11.73,0.76,1.15,0.1,1.54,0.1,0.1,0.0,0.1,0.05,0.1,0.1,0.0,0.0,0.0,0.95,0.29,0.85,0.83,0.51,0.0,5.55,-1.31,0.44,1.0,33.03,544.0,275.0,-34.0,-63.0,-47.25,-19.75
36,MCI,LM,2,11.5,0.0,4.0,0.67,0.67,1.0,0.33,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,2.33,0.0,0.0,8.17,-1.67,0.0,1.0,1.92,172.0,136.0,-16.0,-34.0,-38.0,-4.0
28,LIV,RM,2,11.23,0.12,2.79,0.42,0.39,0.85,0.12,0.0,0.3,0.82,0.73,0.0,0.0,0.24,0.0,0.79,0.33,0.3,1.52,0.24,0.0,8.43,-1.59,0.58,1.0,24.11,452.5,343.0,-21.5,-81.75,-64.75,-31.0
18,CHE,RM,1,11.12,0.0,1.0,0.5,0.0,2.5,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,3.0,0.0,0.0,8.62,-1.5,0.0,1.0,27.38,84.0,60.0,-4.0,5.0,9.0,-8.0
42,MUN,AM,3,11.01,0.18,2.88,0.24,0.88,1.0,0.35,0.0,0.35,0.24,1.18,0.12,0.0,0.0,0.0,1.53,0.18,0.41,2.29,0.35,0.12,9.25,-1.65,0.47,1.0,28.22,422.0,353.0,-39.0,-47.5,-38.5,-17.0
23,LIV,FW,4,10.82,0.33,1.36,0.51,1.04,0.31,0.18,0.0,0.0,0.27,0.49,0.09,0.0,0.0,0.0,0.84,0.24,0.6,1.73,0.09,0.0,5.89,-1.65,0.42,1.0,23.43,542.5,311.5,-42.0,-55.75,-46.5,-32.25
37,MCI,LW,3,10.78,0.11,2.26,0.34,0.54,0.89,0.11,0.0,0.34,0.31,0.34,0.11,0.0,0.0,0.0,0.8,0.2,0.46,0.91,0.23,0.0,8.38,-1.23,0.46,1.0,20.26,463.0,372.5,-24.5,-85.75,-79.25,-18.5
6,ARS,RB,2,10.65,0.1,1.02,0.1,0.46,1.41,0.1,0.0,0.63,0.98,1.51,0.73,0.0,0.0,0.0,0.73,0.46,0.1,0.88,0.1,0.0,7.91,-0.72,0.56,1.0,26.98,457.5,358.5,-63.0,-20.75,-34.25,33.5
60,TOT,RB,2,10.13,0.1,1.02,0.2,0.15,2.24,0.1,0.0,0.39,0.59,2.37,0.54,0.0,0.0,0.0,1.05,0.39,0.2,1.29,0.0,0.0,7.67,-1.25,0.44,1.0,21.91,418.25,324.25,-98.0,-3.0,-9.75,46.75
5,ARS,LW,3,10.03,0.11,1.7,0.32,0.68,1.0,0.0,0.0,0.51,0.76,0.22,0.0,0.0,0.0,0.0,0.92,0.41,0.32,0.86,0.49,0.0,7.88,-1.39,0.51,1.0,17.96,429.0,351.5,-41.5,-57.75,-60.0,-9.75
7,ARS,RM,2,10.01,0.29,1.54,0.2,0.98,0.63,0.15,0.0,0.39,0.44,0.1,0.0,0.0,0.1,0.0,0.73,0.46,0.39,1.02,0.1,0.2,6.94,-1.32,0.56,1.0,26.23,434.0,310.5,-48.5,-23.5,-26.0,-5.5
14,CHE,LB,2,9.57,0.0,0.41,0.15,0.41,1.59,0.15,0.0,0.0,0.52,2.15,0.74,0.0,0.0,0.0,0.7,0.44,0.15,1.33,0.15,0.0,7.04,-0.87,0.56,1.0,26.02,241.5,189.5,-48.0,17.0,0.5,24.5
40,MCI,RW,4,9.55,0.2,2.29,0.11,0.51,0.89,0.09,0.0,0.57,0.63,0.57,0.0,0.0,0.0,0.0,0.69,0.43,0.31,1.03,0.11,0.0,7.56,-0.92,0.46,1.0,17.12,390.0,318.0,-26.0,-55.75,-53.5,-6.25
59,TOT,LW,4,9.37,0.0,2.37,0.46,0.69,0.66,0.11,0.0,0.11,0.89,0.86,0.09,0.0,0.0,0.0,0.8,0.43,0.46,1.2,0.11,0.0,7.59,-1.42,0.46,1.0,16.74,404.0,338.0,-30.0,-76.0,-72.25,-19.75
19,CHE,RW,3,9.27,0.24,1.44,0.4,0.56,0.4,0.32,0.0,0.32,0.64,0.28,0.0,0.0,0.0,0.0,0.68,0.32,0.48,1.84,0.48,0.24,5.95,-1.8,0.44,1.0,26.1,254.0,171.0,-35.0,-22.25,-22.25,-10.0
9,CHE,AM,5,9.26,0.2,1.8,0.24,0.49,0.95,0.1,0.0,0.66,0.37,0.29,0.1,0.0,0.1,0.0,1.07,0.29,0.34,1.02,0.29,0.0,7.25,-1.65,0.76,1.0,22.67,412.0,331.0,-59.0,-32.25,-33.75,-8.5
24,LIV,LB,3,9.01,0.1,2.12,0.0,0.2,1.32,0.1,0.0,0.76,0.78,2.0,0.29,0.0,0.0,0.0,0.88,0.32,0.1,1.29,0.2,0.0,7.51,-0.89,0.46,1.0,18.92,417.0,383.5,-84.5,-47.5,-75.5,48.0
15,CHE,LM,1,9.0,0.0,0.5,0.0,1.0,2.0,0.5,0.0,0.0,1.5,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,2.0,0.0,0.0,10.38,-1.88,0.0,1.0,19.62,54.0,66.0,-16.0,18.0,17.0,1.0
50,MUN,RB,2,8.94,0.1,1.27,0.1,0.2,1.44,0.29,0.0,1.05,1.2,2.17,0.39,0.0,0.0,0.0,1.39,0.24,0.2,1.85,0.0,0.0,8.27,-1.09,0.56,1.0,18.14,381.25,402.25,-149.0,-14.75,-63.0,104.25
21,LIV,CB,5,8.84,0.0,0.41,0.1,0.05,0.65,0.1,0.0,0.0,1.43,4.95,0.91,0.0,0.0,0.05,0.83,0.27,0.1,0.96,0.05,0.0,7.85,-1.02,0.46,1.0,15.27,739.5,730.5,-179.0,-15.0,-86.75,95.75
