,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
30,vsBournemouth Player Stats,WB,2,25.62,0.5,2.5,2.0,0.5,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,2.5,1.0,0.0,0.0,7.75,-0.62,1.0,1.0,43.38,52.25,22.25,-3.0,-1.0,-6.75,1.75
120,vsSHU,RB,9,14.96,0.12,2.24,0.59,0.18,0.82,0.0,0.0,1.29,0.59,0.82,0.35,0.0,0.0,0.0,0.71,0.41,0.71,0.71,0.0,0.0,8.25,-0.71,0.41,1.0,28.78,281.5,176.5,-27.0,-27.25,-36.25,15.0
26,vsBUR,WB,4,14.38,0.5,2.5,0.25,0.75,1.25,0.0,0.0,0.75,0.75,1.25,0.0,0.0,0.0,0.0,1.25,0.0,0.75,1.5,0.0,0.0,9.0,-0.88,0.5,1.0,16.94,137.5,96.5,-13.0,-22.5,-24.5,6.0
41,vsBurnley Player Stats,WB,4,14.38,0.5,2.5,0.25,0.75,1.25,0.0,0.0,0.75,0.75,1.25,0.0,0.0,0.0,0.0,1.25,0.0,0.75,1.5,0.0,0.0,9.0,-0.88,0.5,1.0,16.94,68.75,48.25,-6.5,-11.25,-12.25,3.0
123,vsSheffield Utd Player Stats,RB,11,11.86,0.09,1.82,0.45,0.18,0.73,0.0,0.0,1.0,0.45,0.82,0.36,0.0,0.0,0.0,1.0,0.36,0.55,0.64,0.0,0.0,7.14,-0.73,0.45,1.0,25.0,142.75,98.25,-24.5,-12.25,-19.75,16.5
87,vsLuton Town Player Stats,WB,1,11.75,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,-1.25,1.0,1.0,27.75,16.0,10.0,0.0,-4.25,-3.0,-1.25
79,vsLUT,WB,1,11.75,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,-1.25,1.0,1.0,27.75,32.0,20.0,0.0,-8.5,-6.0,-2.5
19,vsBOU,RB,9,11.12,0.12,0.71,0.0,0.35,2.24,0.24,0.0,0.12,1.06,2.12,0.24,0.0,0.0,0.0,0.71,0.47,0.12,1.65,0.0,0.0,8.54,-0.96,0.47,1.0,16.63,176.0,144.0,-36.0,13.0,1.25,19.75
85,vsLuton Town Player Stats,LB,9,11.08,0.0,1.89,0.11,0.33,1.33,0.33,0.0,1.0,0.67,2.44,0.44,0.0,0.0,0.0,0.78,0.44,0.11,1.89,0.0,0.0,9.33,-1.25,0.67,1.0,13.86,108.5,98.5,-21.0,-8.75,-14.5,9.75
28,vsBournemouth Player Stats,LB,8,11.0,0.12,1.0,0.25,0.5,0.88,0.12,0.0,0.12,0.88,1.62,0.25,0.0,0.0,0.0,0.75,0.5,0.38,1.62,0.12,0.0,6.75,-1.12,0.5,1.0,20.41,93.25,60.25,-15.0,-5.25,-6.25,6.0
18,vsBOU,LB,10,10.97,0.12,1.06,0.24,0.47,1.0,0.12,0.0,0.18,0.88,1.76,0.29,0.0,0.0,0.0,0.76,0.47,0.35,1.65,0.12,0.0,7.01,-1.1,0.47,1.0,18.82,198.0,133.5,-31.5,-11.5,-14.25,12.75
29,vsBournemouth Player Stats,RB,9,10.56,0.11,0.78,0.0,0.33,2.11,0.22,0.0,0.11,1.0,2.11,0.22,0.0,0.0,0.0,0.78,0.44,0.11,1.56,0.0,0.0,8.31,-0.97,0.44,1.0,15.72,88.25,74.75,-20.5,6.75,0.0,11.75
77,vsLUT,LB,9,10.48,0.0,1.69,0.12,0.38,1.25,0.44,0.0,0.94,0.75,2.69,0.5,0.0,0.0,0.0,0.88,0.38,0.12,2.25,0.0,0.0,9.25,-1.39,0.69,1.0,14.33,180.75,173.75,-43.0,-13.0,-25.75,20.75
25,vsBUR,RB,8,10.28,0.0,1.47,0.21,0.0,1.11,0.42,0.0,0.53,0.68,1.11,0.0,0.0,0.0,0.0,0.47,0.63,0.21,2.21,0.11,0.0,6.37,-1.14,0.37,1.0,16.16,199.25,133.25,-34.0,-4.0,-12.25,12.25
83,vsLiverpool Player Stats,WB,4,10.25,0.0,1.25,0.5,0.5,0.75,0.0,0.0,1.25,0.0,2.0,0.25,0.0,0.0,0.0,1.0,0.0,0.5,0.25,0.25,0.0,7.62,-0.88,1.0,1.0,8.06,42.25,36.25,-8.0,-1.25,-5.75,4.5
75,vsLIV,WB,2,9.88,0.0,1.5,0.5,0.5,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,7.25,-0.88,1.0,1.0,0.0,39.0,36.0,-11.0,0.5,-7.0,7.5
76,vsLUT,CB,20,9.74,0.11,0.24,0.0,0.26,0.95,0.11,0.0,0.03,0.92,4.42,0.76,0.0,0.0,0.0,0.79,0.37,0.11,0.97,0.0,0.0,7.79,-1.0,0.58,1.0,18.06,382.0,321.5,-63.5,-12.0,-25.5,25.5
47,vsCRY,LB,8,9.72,0.0,0.75,0.12,0.12,1.5,0.25,0.12,0.88,1.25,1.38,0.62,0.0,0.0,0.0,0.62,0.5,0.12,3.38,0.0,0.0,8.5,-2.41,0.5,1.0,14.09,151.0,138.0,-49.0,4.5,-2.0,10.5
119,vsSHU,LB,9,9.66,0.12,1.0,0.12,0.25,1.38,0.0,0.0,0.31,1.19,2.25,0.0,0.0,0.0,0.12,0.75,0.38,0.25,0.81,0.12,0.0,7.31,-1.66,0.38,1.0,19.83,158.5,128.0,-39.5,-4.0,-11.0,13.0
40,vsBurnley Player Stats,RB,10,9.43,0.0,1.2,0.2,0.0,1.4,0.5,0.0,0.5,0.7,1.5,0.0,0.0,0.0,0.0,0.6,0.5,0.2,2.3,0.1,0.0,6.5,-1.27,0.4,1.0,18.85,91.75,69.75,-22.0,2.5,-4.75,9.25
27,vsBournemouth Player Stats,CB,24,9.34,0.08,0.42,0.04,0.21,0.79,0.17,0.0,0.04,1.12,4.0,0.88,0.0,0.0,0.0,0.79,0.38,0.12,1.12,0.0,0.0,7.08,-0.7,0.46,1.0,17.95,209.5,177.0,-48.5,14.75,-7.0,31.75
78,vsLUT,RB,10,9.33,0.0,0.84,0.32,0.0,1.32,0.16,0.0,0.53,0.74,1.95,0.53,0.0,0.0,0.0,0.63,0.47,0.32,1.05,0.0,0.0,6.03,-1.01,0.58,1.0,14.17,173.75,120.25,-32.5,3.5,-5.75,13.25
86,vsLuton Town Player Stats,RB,11,9.3,0.0,1.36,0.27,0.0,1.18,0.18,0.0,0.55,0.82,1.82,0.45,0.0,0.0,0.0,0.64,0.45,0.27,1.18,0.0,0.0,6.48,-1.18,0.55,1.0,15.75,105.0,78.5,-19.5,-2.75,-7.25,6.5
118,vsSHU,CB,21,9.2,0.05,0.4,0.0,0.3,1.05,0.2,0.0,0.05,1.1,2.98,0.75,0.0,0.0,0.0,0.75,0.35,0.05,1.58,0.0,0.0,7.98,-1.12,0.5,1.0,14.22,363.25,339.75,-80.5,4.75,-20.75,35.5
84,vsLuton Town Player Stats,CB,23,9.15,0.09,0.26,0.04,0.22,0.87,0.13,0.0,0.04,0.91,4.17,0.7,0.0,0.0,0.0,0.87,0.3,0.13,1.17,0.0,0.0,7.55,-1.05,0.52,1.0,19.73,215.25,191.25,-45.0,-4.75,-17.5,20.75
52,vsChelsea Player Stats,WB,4,9.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25,0.25,2.75,0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.25,0.25,0.0,4.44,-1.44,0.0,1.0,15.56,33.25,12.75,-3.5,2.75,5.0,-2.25
54,vsCrystal Palace Player Stats,LB,9,9.0,0.0,0.89,0.11,0.11,1.44,0.22,0.11,0.89,1.11,1.33,0.56,0.0,0.0,0.0,0.78,0.44,0.11,3.11,0.0,0.0,8.28,-2.28,0.56,1.0,13.92,77.75,76.25,-29.5,3.25,-1.75,9.0
17,vsBOU,CB,21,8.99,0.0,0.32,0.02,0.15,0.92,0.18,0.0,0.05,1.23,4.18,1.02,0.0,0.0,0.0,0.75,0.4,0.02,1.23,0.0,0.0,7.46,-0.74,0.4,1.0,18.37,334.75,310.75,-79.0,24.75,-12.5,49.25
102,vsManchester Utd Player Stats,RB,10,8.95,0.0,0.7,0.1,0.0,1.4,0.2,0.0,0.2,1.3,3.1,1.1,0.0,0.1,0.0,0.8,0.3,0.0,1.8,0.0,0.0,7.82,-1.18,0.6,1.0,9.85,88.75,83.75,-20.0,0.75,-5.5,8.25
137,vsWOL,LB,9,8.94,0.24,1.18,0.24,0.41,0.59,0.29,0.0,0.71,1.06,1.94,0.29,0.0,0.0,0.0,1.18,0.12,0.47,2.18,0.0,0.0,6.37,-1.31,0.47,1.0,10.96,138.75,116.25,-57.5,13.25,-8.0,35.25
122,vsSheffield Utd Player Stats,LB,9,8.83,0.11,0.89,0.11,0.22,1.44,0.0,0.0,0.22,1.0,2.11,0.0,0.0,0.0,0.11,0.78,0.33,0.22,1.0,0.11,0.0,6.92,-1.64,0.33,1.0,20.03,81.25,68.75,-22.5,-1.75,-6.5,7.75
121,vsSheffield Utd Player Stats,CB,23,8.8,0.04,0.39,0.0,0.26,0.96,0.22,0.0,0.04,1.04,3.22,0.7,0.0,0.0,0.0,0.83,0.35,0.04,1.65,0.0,0.0,7.76,-1.09,0.48,1.0,15.14,197.0,189.5,-50.5,5.5,-11.0,25.5
23,vsBUR,CB,22,8.8,0.04,0.16,0.08,0.1,0.94,0.08,0.0,0.0,0.86,2.72,0.44,0.0,0.0,0.0,0.72,0.48,0.12,0.7,0.0,0.0,6.06,-0.66,0.4,1.0,10.94,441.0,332.0,-83.0,-1.25,-29.0,49.75
63,vsEverton Player Stats,WB,4,8.69,0.0,2.0,0.25,0.25,1.25,0.25,0.0,0.5,1.5,3.75,0.5,0.0,0.0,0.0,1.5,0.0,0.25,2.25,0.25,0.0,9.38,-1.44,0.5,1.0,18.81,36.75,44.75,-14.0,-2.0,-7.25,8.25
59,vsEVE,WB,4,8.69,0.0,2.0,0.25,0.25,1.25,0.25,0.0,0.5,1.5,3.75,0.5,0.0,0.0,0.0,1.5,0.0,0.25,2.25,0.25,0.0,9.38,-1.44,0.5,1.0,18.81,73.5,89.5,-28.0,-4.0,-14.5,16.5
144,vsWolves Player Stats,LB,9,8.58,0.22,1.11,0.22,0.44,0.56,0.33,0.0,0.67,1.11,2.11,0.33,0.0,0.0,0.0,1.22,0.11,0.44,2.44,0.0,0.0,6.42,-1.39,0.44,1.0,11.22,69.75,61.75,-32.0,7.5,-4.0,19.5
