,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
16,vsBUR,LW,7,18.35,0.46,2.15,0.77,1.23,1.62,0.15,0.0,0.08,0.31,0.23,0.0,0.0,0.31,0.0,0.0,0.46,0.77,1.46,0.08,0.0,0.0,0.0,0.54,1.0,25.77
15,vsBUR,FW,8,17.32,1.05,1.47,0.32,1.84,0.11,0.0,0.0,0.11,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.63,1.37,0.84,0.53,0.11,0.0,0.0,0.37,1.0,18.87
17,vsBUR,RW,7,16.12,0.69,1.85,0.31,1.62,0.69,0.15,0.0,0.23,0.92,0.77,0.0,0.0,0.0,0.0,0.0,0.46,1.0,0.62,0.46,0.15,0.0,0.0,0.54,1.0,31.13
34,vsLUT,LW,4,14.31,0.0,2.75,1.0,0.5,0.25,0.25,0.0,1.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.75,1.25,0.25,0.0,0.0,0.0,0.75,1.0,14.38
59,vsWOL,RW,7,12.96,0.31,1.85,0.31,1.38,1.38,0.0,0.0,0.46,0.92,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.62,1.08,0.31,0.0,0.0,0.0,0.46,1.0,20.79
49,vsSHU,LW,9,12.93,0.24,3.0,0.24,1.12,0.53,0.12,0.0,0.65,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.47,1.06,0.12,0.0,0.0,0.0,0.53,1.0,17.79
26,vsEVE,RW,7,12.92,0.46,1.46,0.31,0.77,0.46,0.15,0.0,0.92,0.23,0.77,0.08,0.0,0.0,0.0,0.0,0.62,0.77,1.69,0.31,0.15,0.0,0.0,0.54,1.0,23.46
11,vsBOU,RW,8,12.82,0.67,2.13,0.13,1.07,0.67,0.4,0.0,0.67,0.33,0.13,0.0,0.13,0.0,0.0,0.0,0.4,0.8,2.33,0.13,0.0,0.0,0.0,0.27,1.0,27.32
6,vsBHA,FW,13,12.28,0.56,1.28,0.24,1.36,0.24,0.0,0.0,0.0,0.08,0.56,0.08,0.0,0.0,0.0,0.0,0.08,0.72,0.4,0.4,0.08,0.0,0.0,0.48,1.0,18.53
27,vsFUL,FW,12,12.25,0.57,1.22,0.26,1.39,0.48,0.09,0.0,0.09,0.26,0.7,0.0,0.0,0.09,0.0,0.0,0.43,0.74,1.04,0.78,0.09,0.0,0.0,0.48,1.0,16.52
48,vsSHU,FW,11,12.0,0.62,1.24,0.1,1.95,0.29,0.1,0.0,0.0,0.0,0.33,0.0,0.1,0.0,0.0,0.0,0.33,0.71,0.95,0.81,0.0,0.0,0.0,0.43,1.0,19.14
29,vsFUL,RW,6,11.96,0.5,1.17,0.17,1.0,0.67,0.33,0.0,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.5,2.17,0.5,0.33,0.0,0.0,0.67,1.0,16.46
50,vsSHU,RW,9,11.88,0.47,1.59,0.18,0.94,0.53,0.0,0.0,0.82,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.59,0.76,0.35,0.0,0.0,0.0,0.53,1.0,17.0
32,vsLIV,RW,6,11.67,0.67,1.0,0.0,1.33,1.0,0.17,0.0,0.17,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,0.17,0.0,0.0,0.0,0.67,1.0,20.17
47,vsNOT,RW,6,11.66,0.45,2.36,0.0,1.0,1.27,0.0,0.0,0.36,0.36,0.55,0.0,0.0,0.0,0.0,0.0,0.27,0.45,0.55,0.0,0.0,0.0,0.0,0.64,1.0,21.36
31,vsLIV,LW,6,10.67,0.17,1.5,0.33,0.83,0.83,0.17,0.0,0.17,1.0,0.5,0.17,0.0,0.0,0.0,0.0,0.17,0.5,2.0,0.5,0.0,0.0,0.0,0.67,1.0,31.33
54,vsWHU,FW,14,10.67,0.5,1.15,0.15,1.46,0.5,0.08,0.0,0.08,0.04,0.62,0.15,0.0,0.0,0.0,0.0,0.08,0.65,0.73,0.27,0.0,0.0,0.0,0.54,1.0,29.9
53,vsTOT,RW,5,10.47,0.33,1.11,0.22,0.67,2.11,0.33,0.0,0.33,0.78,0.44,0.11,0.0,0.0,0.0,0.0,0.0,0.33,3.56,0.22,0.22,0.0,0.0,0.56,1.0,25.14
35,vsLUT,RW,5,10.25,0.4,1.6,0.0,1.2,0.4,0.2,0.0,0.8,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.4,1.4,1.4,0.0,0.0,0.0,0.6,1.0,17.45
41,vsMUN,RW,6,10.16,0.09,1.45,0.36,0.73,1.18,0.27,0.0,0.55,0.91,0.36,0.0,0.0,0.0,0.0,0.0,0.45,0.45,2.18,0.36,0.0,0.0,0.0,0.55,1.0,18.84
33,vsLUT,FW,11,10.15,0.45,0.95,0.15,1.35,0.1,0.0,0.0,0.1,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.45,0.65,0.3,0.0,0.0,0.0,0.7,1.0,25.72
