,team,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
12,MCI,16,10.26,0.24,1.26,0.19,0.7,0.76,0.12,0.01,0.21,0.55,0.87,0.16,0.01,0.02,0.01,0.61,0.45,0.41,1.15,0.07,0.02,6.56,-1.02,0.4,1.0,18.22,4630.75,3138.75,-547.0,-115.75,-250.75,96.0
17,TOT,17,9.38,0.18,1.25,0.17,0.6,1.13,0.22,0.01,0.17,0.79,1.57,0.29,0.0,0.0,0.01,0.9,0.39,0.32,1.7,0.15,0.0,7.34,-1.48,0.44,1.0,22.54,3927.75,3159.75,-696.0,-242.75,-275.25,115.5
14,NEW,17,9.31,0.22,0.89,0.17,0.52,0.87,0.26,0.0,0.3,0.54,1.27,0.37,0.0,0.03,0.0,0.87,0.47,0.35,1.88,0.08,0.03,6.61,-1.35,0.53,1.0,21.4,3889.75,2855.75,-729.0,-93.0,-157.0,178.0
10,LIV,18,9.0,0.17,1.24,0.18,0.44,0.9,0.13,0.01,0.21,0.79,1.73,0.28,0.01,0.03,0.01,0.82,0.28,0.28,1.41,0.16,0.03,6.99,-1.4,0.49,1.0,18.56,3784.25,3059.75,-598.5,-274.75,-332.25,52.5
0,ARS,19,8.87,0.16,0.98,0.16,0.44,0.9,0.12,0.01,0.24,0.76,0.89,0.33,0.0,0.03,0.0,0.74,0.49,0.24,1.24,0.18,0.05,6.46,-1.19,0.55,1.0,20.42,3548.25,2631.75,-518.5,-87.25,-111.75,55.5
1,AVL,12,8.58,0.19,1.1,0.22,0.5,0.81,0.18,0.0,0.31,0.6,1.21,0.28,0.0,0.03,0.01,1.31,0.22,0.34,1.5,0.09,0.03,6.42,-1.18,0.47,1.0,21.19,3379.0,2671.5,-747.5,26.25,-123.25,279.5
4,BRF,16,8.02,0.15,0.86,0.12,0.4,0.95,0.19,0.0,0.27,0.8,2.08,0.25,0.0,0.02,0.0,1.14,0.31,0.24,1.5,0.14,0.02,6.77,-1.29,0.54,1.0,17.41,3372.5,2913.0,-712.5,-85.0,-137.5,184.5
6,CHE,18,7.9,0.11,0.91,0.14,0.4,0.86,0.24,0.01,0.2,0.69,1.39,0.36,0.01,0.03,0.0,0.92,0.33,0.2,1.79,0.25,0.03,6.63,-1.37,0.58,1.0,18.01,3136.0,2790.0,-770.0,-9.0,-164.75,227.75
18,WHU,17,7.9,0.17,0.83,0.15,0.4,0.98,0.21,0.01,0.21,0.93,2.28,0.51,0.0,0.01,0.01,1.63,0.15,0.31,1.71,0.2,0.01,7.2,-1.49,0.46,1.0,18.27,3094.0,2900.5,-902.5,19.25,-64.5,313.75
8,EVE,18,7.58,0.09,0.94,0.07,0.49,1.21,0.13,0.0,0.25,0.86,1.7,0.36,0.0,0.0,0.01,1.25,0.22,0.15,1.46,0.17,0.0,7.45,-1.28,0.55,1.0,16.69,3030.5,3008.0,-689.5,-75.75,-102.25,189.5
2,BHA,21,7.57,0.15,1.11,0.18,0.48,0.84,0.2,0.0,0.25,0.81,1.27,0.32,0.0,0.01,0.0,1.55,0.11,0.31,1.51,0.21,0.01,6.66,-1.27,0.58,1.0,14.54,2962.5,2716.5,-755.0,-57.5,-159.5,269.0
7,CRY,16,7.5,0.09,0.83,0.06,0.4,1.03,0.18,0.0,0.22,0.8,2.2,0.39,0.0,0.0,0.01,1.15,0.43,0.14,1.61,0.09,0.0,7.06,-1.45,0.46,1.0,16.59,3153.75,2968.75,-795.0,-80.0,-72.75,200.75
13,MUN,22,6.86,0.09,1.14,0.1,0.44,0.83,0.18,0.0,0.21,0.67,1.68,0.34,0.0,0.01,0.01,1.34,0.24,0.18,1.47,0.23,0.01,6.55,-1.35,0.54,1.0,14.13,2852.0,2775.5,-753.5,-142.75,-189.0,220.25
19,WOL,19,6.69,0.08,0.84,0.12,0.32,1.07,0.28,0.02,0.28,0.88,1.82,0.45,0.0,0.0,0.0,1.56,0.11,0.18,2.09,0.16,0.0,6.97,-1.5,0.48,1.0,15.29,2580.25,2920.75,-1011.5,2.0,-229.25,432.25
15,NOT,21,6.66,0.08,0.68,0.09,0.28,1.03,0.22,0.02,0.17,0.84,2.21,0.43,0.0,0.0,0.0,1.26,0.26,0.16,1.74,0.22,0.0,6.49,-1.41,0.45,1.0,13.3,2714.25,2675.25,-761.0,-35.0,-67.0,194.0
9,FUL,19,5.43,0.06,0.65,0.03,0.26,0.93,0.18,0.02,0.2,0.87,1.6,0.22,0.0,0.0,0.01,1.42,0.31,0.07,1.57,0.13,0.0,5.95,-1.46,0.45,1.0,12.34,1999.75,2278.25,-899.5,163.0,91.25,319.75
11,LUT,19,5.25,0.06,0.8,0.05,0.2,0.98,0.14,0.0,0.31,0.73,1.8,0.33,0.0,0.0,0.01,1.68,0.01,0.1,1.47,0.16,0.02,6.26,-1.38,0.44,1.0,11.2,2180.0,2608.0,-800.0,-47.0,-68.25,239.25
3,BOU,19,4.48,0.07,0.62,0.05,0.31,0.86,0.1,0.01,0.23,0.76,1.68,0.39,0.0,0.0,0.01,2.06,0.1,0.11,1.48,0.14,0.0,5.99,-1.57,0.57,1.0,10.3,1786.5,2388.5,-1062.0,-2.0,-4.25,438.25
16,SHU,21,3.86,0.05,0.5,0.06,0.26,0.93,0.24,0.01,0.14,0.84,2.44,0.5,0.0,0.0,0.0,2.4,0.03,0.07,1.86,0.18,0.02,6.0,-1.63,0.54,1.0,7.78,1403.5,2389.5,-1340.0,140.25,10.75,689.5
5,BUR,19,3.68,0.05,0.59,0.06,0.21,0.71,0.16,0.02,0.09,0.69,1.82,0.48,0.0,0.0,0.0,2.21,0.03,0.12,1.54,0.16,0.0,5.39,-1.43,0.57,1.0,7.52,1436.25,2279.75,-1222.5,135.75,22.5,612.25
