,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
106,MCI,FW,1,473.25,30.0,39.0,3.0,68.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,20.0,11.0,33.0,8.0,4.0,3.0,213.5,-31.25,0.0,27.0,18.5,504.0,243.5,-27.5,-30.75,-30.0,-3.75
144,TOT,AM,1,452.0,8.0,66.0,23.0,32.0,8.0,4.0,0.0,15.0,12.0,11.0,0.0,0.0,0.0,0.0,20.0,11.0,28.0,43.0,3.0,0.0,242.75,-34.75,0.0,23.0,43.75,460.0,268.0,-29.0,-8.0,-25.25,-5.75
103,MCI,AM,1,337.75,4.0,98.0,16.0,31.0,8.0,4.0,0.0,19.0,4.0,8.0,0.0,0.0,0.0,0.0,16.0,15.0,20.0,24.0,0.0,0.0,219.25,-29.5,0.0,27.0,41.75,414.0,300.0,-18.0,-76.25,-80.75,-11.5
125,NEW,RB,1,288.75,0.0,54.0,16.0,0.0,19.0,3.0,0.0,41.0,12.0,19.0,20.0,0.0,0.0,0.0,30.0,4.0,16.0,35.0,4.0,0.0,201.5,-18.75,0.0,19.0,0.0,308.75,243.75,-71.0,-20.0,-42.25,52.25
7,ARS,RM,1,254.0,8.0,36.0,8.0,20.0,4.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,4.0,0.0,8.0,12.0,12.0,0.0,4.0,8.0,130.0,-16.0,0.0,16.0,44.25,272.0,152.0,-12.0,-18.0,-22.0,-4.0
105,MCI,DM,3,234.92,5.33,29.67,6.0,18.0,30.67,5.33,0.0,6.33,3.67,3.67,2.67,0.0,1.0,0.0,9.33,11.33,10.33,34.67,4.0,0.0,157.17,-23.58,0.0,23.0,15.75,707.0,483.0,-62.0,-2.25,-11.5,-8.75
37,BRF,FW,1,222.0,4.0,12.0,8.0,20.0,15.0,4.0,0.0,4.0,12.0,12.0,4.0,0.0,4.0,0.0,8.0,11.0,8.0,42.0,8.0,0.0,153.5,-23.5,0.0,19.0,34.0,233.0,163.0,-14.0,-11.0,-9.5,-9.5
8,ARS,RW,1,222.0,4.0,26.0,8.0,8.0,18.0,0.0,0.0,10.0,8.0,16.0,2.0,0.0,0.0,0.0,10.0,12.0,12.0,32.0,0.0,0.0,146.0,-28.0,0.0,18.0,58.75,220.0,141.0,-17.0,2.0,5.0,-11.0
42,BRF,RW,1,221.5,11.0,31.0,3.0,18.0,11.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,14.0,7.0,0.0,4.0,133.0,-31.5,0.0,19.0,0.0,268.5,159.5,-8.0,-47.0,-26.5,-23.5
109,MCI,RB,1,218.0,0.0,38.0,0.0,4.0,25.0,4.0,0.0,16.0,15.0,31.0,3.0,0.0,0.0,0.0,20.0,11.0,0.0,35.0,0.0,0.0,176.75,-16.75,0.0,27.0,25.25,205.75,191.75,-52.0,12.25,-15.0,35.25
158,WHU,RM,2,214.0,12.0,12.0,3.0,18.0,14.0,2.0,0.0,0.0,8.0,10.0,2.0,0.0,0.0,0.0,26.0,0.0,14.0,16.0,8.0,0.0,108.5,-23.5,0.0,22.0,37.25,468.0,244.0,-28.0,-40.0,-27.0,-19.0
72,CRY,RW,1,204.5,0.0,26.0,10.0,8.0,20.0,2.0,0.0,6.0,20.0,10.0,0.0,0.0,0.0,0.0,20.0,10.0,10.0,34.0,8.0,0.0,177.5,-43.0,0.0,18.0,32.0,214.0,194.0,-40.0,-9.5,-16.5,-3.0
13,AVL,FW,1,202.5,4.0,28.0,12.0,22.0,6.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,44.0,4.0,16.0,2.0,10.0,0.0,105.0,-22.5,0.0,22.0,25.25,221.0,124.0,-11.0,-18.5,-19.0,-11.5
9,AVL,AM,1,197.5,8.0,36.0,4.0,18.0,4.0,0.0,0.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0,40.0,4.0,12.0,2.0,4.0,0.0,118.0,-20.5,0.0,22.0,15.25,223.0,144.0,-17.0,-25.5,-26.0,-3.5
147,TOT,LB,1,195.0,0.0,12.0,8.0,0.0,44.0,4.0,0.0,0.0,20.0,60.0,8.0,0.0,0.0,0.0,24.0,8.0,8.0,56.0,0.0,0.0,150.0,-35.0,0.0,20.0,23.25,181.0,143.0,-66.0,14.0,7.0,31.0
17,AVL,WB,1,181.5,0.0,52.0,4.0,4.0,18.0,8.0,0.0,24.0,54.0,26.0,0.0,0.0,0.0,0.0,44.0,4.0,4.0,50.0,0.0,0.0,206.5,-25.0,0.0,22.0,28.75,189.5,244.5,-107.0,-8.0,-38.0,82.0
60,CHE,RM,1,180.0,0.0,22.0,6.0,8.0,28.0,0.0,0.0,4.0,32.0,12.0,4.0,0.0,0.0,0.0,14.0,8.0,6.0,42.0,0.0,0.0,153.5,-23.5,0.0,18.0,23.5,182.0,146.0,-8.0,-2.0,7.5,-15.5
