Team,Position,Player,FPTS,G,KP,AT,SOT,TKW,YC,RC,PEN,ACNC,INT,CLR,BS,PKM,PKD,OG,GAO,CS,MIN,Ghost Points,Negative Fpts,Default FPTS,Default Ghosts,Default Negative FPTS,Delta,Delta Ghosts,Delta Negative FPTS
MCI,F,3,19.08,1,9,4,1,2,0,0,0,2,0,0,0,0,0,0,1,1,205,6.92,-0.17,63.0,31.0,-1.0,-5.75,-10.25,0.5
CHE,F,3,15.75,3,2,1,6,1,2,0,0,0,0,0,0,0,0,0,2,0,179,6.75,-2.33,51.0,24.5,-6.5,-3.75,-4.25,-0.5
NOT,D,5,13.9,1,3,2,1,9,0,0,0,0,3,15,2,0,0,0,0,3,266,6.2,-0.5,72.75,31.75,-1.0,-3.25,-0.75,-1.5
CHE,M,5,12.15,1,9,3,1,4,1,0,0,0,5,0,1,0,1,0,4,0,358,7.5,-1.35,64.0,40.0,-3.0,-3.25,-2.5,-3.75
MUN,D,5,10.3,0,2,0,0,4,1,0,0,2,1,21,6,0,0,0,0,4,361,6.35,-0.85,56.75,35.25,-2.5,-5.25,-3.5,-1.75
MCI,M,7,10.07,3,8,2,5,2,0,0,0,1,3,2,1,0,0,0,5,1,329,4.5,-0.43,74.5,36.0,-1.5,-4.0,-4.5,-1.5
LUT,D,4,9.44,0,2,1,1,4,0,0,0,0,6,33,4,0,0,0,4,0,360,8.25,-0.56,33.75,35.25,-8.5,4.0,-2.25,6.25
CRY,D,6,9.17,1,0,0,2,5,2,0,0,0,4,24,2,0,0,0,0,4,361,4.58,-0.92,57.0,27.0,-4.0,-2.0,0.5,-1.5
MUN,M,6,8.38,1,5,1,5,4,1,0,0,1,4,4,2,0,0,0,0,4,382,6.46,-1.42,53.0,38.5,-4.5,-2.75,0.25,-4.0
MCI,D,5,7.75,2,3,0,2,0,0,0,0,1,1,7,0,0,0,0,4,1,358,3.25,-0.3,33.75,15.75,-8.0,5.0,0.5,6.5
BRF,M,5,7.55,0,7,2,1,1,0,0,0,2,3,8,0,0,0,0,8,0,356,5.65,-0.9,37.5,27.5,-2.0,0.25,0.75,-2.5
CRY,F,2,7.5,0,2,1,0,3,2,0,0,1,0,7,0,0,0,0,0,2,175,6.88,-2.88,14.5,13.5,-5.0,0.5,0.25,-0.75
LIV,D,5,7.4,0,9,0,0,3,0,0,0,3,4,11,1,0,0,0,4,1,358,7.45,-1.25,41.75,44.75,-9.0,-4.75,-7.5,2.75
WHU,M,6,7.29,2,6,1,2,5,1,0,0,1,3,4,0,0,0,0,15,0,448,4.62,-1.5,49.0,29.0,-4.0,-5.25,-1.25,-5.0
BRF,F,4,7.12,1,2,1,2,2,0,0,0,0,1,1,0,0,0,0,6,0,269,4.19,-1.06,29.0,15.0,-1.0,-0.5,1.75,-3.25
NEW,D,6,7.04,0,1,0,0,3,2,0,0,1,4,19,7,0,0,0,0,3,370,5.17,-1.12,46.25,32.75,-4.5,-4.0,-1.75,-2.25
NEW,M,7,6.82,1,8,1,2,7,3,0,0,1,3,6,1,0,0,0,0,5,464,5.11,-1.29,49.5,39.0,-9.5,-1.75,-3.25,0.5
SHU,M,5,6.65,1,5,1,1,5,1,0,0,1,1,2,0,0,0,0,4,0,314,4.7,-1.25,33.5,22.5,-4.0,-0.25,1.0,-2.25
LUT,M,5,6.55,1,1,0,2,6,1,0,0,2,2,10,1,0,0,0,4,1,358,5.75,-1.2,31.0,25.0,-4.0,1.75,3.75,-2.0
BUR,M,4,6.5,0,9,0,1,1,0,0,0,2,4,0,1,0,0,0,6,0,279,7.31,-0.81,33.5,33.5,0.0,-7.5,-4.25,-3.25
WHU,F,2,6.25,0,2,1,0,1,1,0,0,1,0,1,0,0,0,0,3,0,88,4.0,-1.25,12.5,8.5,-2.0,0.0,-0.5,-0.5
LIV,F,5,6.15,1,5,0,5,1,0,0,0,2,1,1,0,0,0,0,3,1,274,5.1,-0.75,36.5,29.0,-1.5,-5.75,-3.5,-2.25
WOL,M,4,5.94,1,1,0,2,1,1,0,0,1,2,5,0,0,0,0,6,1,206,4.19,-0.75,20.5,14.0,-3.5,3.25,2.75,0.5
TOT,M,7,5.89,1,4,1,2,7,1,0,0,0,4,6,1,0,0,0,16,0,356,4.61,-1.0,40.5,29.5,-4.0,0.75,2.75,-3.0
SHU,D,5,5.6,0,1,1,0,6,1,0,0,2,4,11,2,0,1,0,5,0,450,5.5,-1.3,19.25,25.75,-13.5,8.75,1.75,7.0
