,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
5,BRF,RW,1,14.83,0.62,2.0,0.23,1.46,0.62,0.15,0.0,1.23,0.08,0.62,0.0,0.0,0.0,0.0,1.23,0.31,0.77,1.46,0.15,0.15,9.56,-1.88,0.69,1.0,30.83,425.0,273.0,-28.0,-39.5,-24.5,-21.0
19,WOL,LW,2,14.75,0.5,2.0,0.5,0.5,1.0,0.5,0.0,0.25,1.0,0.25,0.5,0.0,0.0,0.0,1.5,0.0,1.0,2.75,0.25,0.0,8.0,-1.25,0.75,1.0,39.88,272.0,174.0,-22.0,-36.0,-46.0,2.0
16,NOT,LW,3,10.04,0.15,1.85,0.31,0.62,0.54,0.0,0.0,0.77,0.31,0.54,0.08,0.0,0.0,0.0,0.92,0.23,0.46,1.0,0.46,0.0,7.83,-1.33,0.69,1.0,9.92,323.0,244.0,-5.0,-62.0,-40.5,-29.5
20,WOL,RW,2,9.81,0.25,1.5,0.75,0.25,0.0,0.5,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.75,2.25,0.25,0.0,3.88,-1.56,0.75,1.0,28.62,172.0,84.0,-20.0,-15.0,-22.0,-5.0
3,BRF,FW,3,9.36,0.3,0.73,0.27,0.93,0.68,0.07,0.0,0.12,0.5,0.29,0.14,0.0,0.07,0.0,1.14,0.32,0.5,1.41,0.36,0.07,6.23,-1.48,0.46,1.0,19.35,583.5,368.5,-28.0,-59.5,-19.5,-55.0
8,CRY,RW,2,9.21,0.08,1.03,0.27,0.59,1.38,0.35,0.0,0.35,0.73,0.7,0.08,0.0,0.0,0.0,1.35,0.38,0.35,3.08,0.22,0.0,9.26,-2.67,0.41,1.0,17.7,333.0,327.5,-81.5,7.75,15.0,-17.25
15,NOT,FW,4,8.51,0.39,1.07,0.2,0.66,0.41,0.1,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,1.39,0.24,0.59,1.02,0.98,0.0,5.11,-1.48,0.44,1.0,19.53,394.0,232.0,-30.0,-45.25,-22.5,-30.75
9,EVE,FW,5,8.46,0.31,1.13,0.06,1.35,0.44,0.1,0.0,0.06,0.18,0.71,0.0,0.0,0.0,0.0,0.84,0.42,0.31,1.34,0.47,0.0,6.97,-1.83,0.58,1.0,19.6,646.0,501.5,-57.5,-121.5,-69.25,-56.25
4,BRF,LW,3,8.42,0.31,1.0,0.15,0.62,0.46,0.0,0.0,0.31,0.46,0.85,0.0,0.0,0.0,0.0,1.08,0.31,0.31,1.62,0.31,0.0,6.06,-1.63,0.69,1.0,16.1,243.0,155.0,-12.0,-24.0,2.5,-30.5
13,FUL,LW,2,7.53,0.11,1.32,0.22,0.84,0.32,0.11,0.0,0.22,0.43,0.3,0.0,0.0,0.0,0.0,1.49,0.27,0.11,0.86,0.0,0.0,6.2,-1.15,0.49,1.0,19.71,294.5,241.5,-31.0,-15.75,-12.25,-11.5
0,BOU,FW,1,7.05,0.39,0.88,0.1,0.95,0.1,0.1,0.0,0.1,0.2,1.17,0.1,0.0,0.0,0.0,2.17,0.1,0.49,1.37,0.39,0.0,5.22,-2.37,0.56,1.0,16.39,336.0,232.5,-64.5,-47.0,-18.5,-32.5
18,WOL,FW,5,6.78,0.18,1.03,0.06,0.81,0.58,0.06,0.0,0.0,0.37,0.4,0.19,0.0,0.0,0.0,1.42,0.23,0.24,1.21,0.34,0.0,6.14,-1.47,0.42,1.0,16.27,506.0,442.0,-63.0,-85.5,-61.5,-28.0
6,CRY,FW,2,6.29,0.27,0.73,0.09,0.87,0.44,0.13,0.0,0.07,0.27,0.98,0.0,0.0,0.0,0.0,0.93,0.49,0.36,1.6,0.44,0.0,5.26,-1.98,0.51,1.0,15.48,322.0,250.0,-60.0,-38.75,-13.5,-29.25
2,BOU,RW,3,6.21,0.18,0.87,0.0,0.9,0.59,0.1,0.0,0.28,0.46,0.21,0.1,0.0,0.0,0.0,1.72,0.1,0.18,1.23,0.0,0.0,6.0,-1.51,0.59,1.0,11.58,314.0,282.5,-35.5,-72.0,-48.5,-23.5
7,CRY,LW,3,5.59,0.05,1.16,0.0,0.81,0.84,0.22,0.0,0.11,0.3,0.38,0.0,0.0,0.0,0.0,1.16,0.38,0.05,1.95,0.0,0.0,6.51,-1.79,0.41,1.0,14.86,271.0,282.0,-43.0,-64.25,-41.0,-23.25
17,NOT,RW,4,5.0,0.0,1.38,0.0,0.31,0.62,0.15,0.0,0.62,0.15,0.31,0.0,0.0,0.0,0.0,1.08,0.23,0.0,0.77,0.31,0.0,5.88,-1.12,0.69,1.0,12.29,167.0,178.0,-17.0,-37.0,-25.0,-12.0
14,FUL,RW,2,4.27,0.1,0.54,0.0,0.44,0.73,0.05,0.0,0.29,0.1,0.37,0.0,0.0,0.0,0.0,1.34,0.34,0.1,0.98,0.1,0.0,4.12,-0.96,0.44,1.0,10.85,169.5,143.5,-20.0,5.75,25.25,-19.5
11,EVE,RW,1,2.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.25,1.0,1.0,24.5,16.0,16.0,0.0,-5.0,-4.0,-1.0
1,BOU,LW,4,2.69,0.0,0.41,0.0,0.26,0.85,0.1,0.0,0.18,0.31,0.79,0.0,0.0,0.0,0.0,1.51,0.1,0.0,1.82,0.69,0.0,4.37,-1.67,0.59,1.0,6.54,128.5,156.0,-27.5,-23.5,14.25,-37.75
12,FUL,FW,3,2.5,0.0,0.81,0.0,0.32,0.54,0.11,0.0,0.0,0.0,0.65,0.22,0.0,0.0,0.0,1.27,0.27,0.0,0.81,1.03,0.0,4.24,-1.74,0.49,1.0,6.53,123.5,169.5,-46.0,-31.0,-12.5,-18.5
10,EVE,LW,1,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.75,-1.5,1.0,1.0,0.0,-4.0,0.0,-4.0,1.0,3.0,-2.0
