,team,position,player,fpts,g,kp,at,sot,tkw,dis,yc,rc,acnc,int,clr,cos,bs,aer,pkm,pkd,og,gao,cs,pts,dpt,off,pkg,ghost points,negative fpts,home,gp
0,ARS,CB,1,17.92,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,1.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,5,0.0,2.33,0.0,0.0,7.92,-0.67,0,7
1,ARS,CM,1,11.75,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2.5,1.5,1.5,1.5,0.5,0.0,0.0,0.0,0.0,3,0.0,0.5,0.0,0.0,10.25,0.0,0,5
2,ARS,FW,1,26.5,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,3.0,0.0,2.0,0.0,0.0,3,0.0,5.0,2.0,0.0,14.5,-2.0,0,3
3,ARS,LB,1,14.5,0.0,1.5,0.0,0.5,1.5,1.0,0.0,0.5,0.0,1.0,2.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,4.5,0.5,0.0,5.5,-4.0,0,6
4,ARS,LM,1,8.0,0.5,0.5,0.0,1.5,1.0,2.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2,0.5,5.5,0.0,0.5,3.5,-3.0,0,4
5,ARS,LW,1,10.62,0.25,1.5,0.25,0.25,1.0,2.25,0.0,0.0,0.0,1.25,0.25,1.25,0.0,1.0,0.0,0.0,0.0,0.0,3,0.25,0.75,0.5,0.0,6.38,-1.12,0,6
6,ARS,RB,1,32.88,0.5,1.0,0.0,1.5,4.0,1.0,0.0,0.0,2.0,1.5,5.0,1.0,1.5,3.0,0.0,0.0,0.0,0.0,4,0.5,1.0,0.0,0.0,18.38,-0.5,0,4
7,ARS,RM,1,62.0,2.0,7.0,2.0,5.0,1.0,6.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3,3.0,0.0,1.0,2.0,29.0,-3.0,0,3
8,ARS,RW,1,22.0,0.5,2.0,0.5,1.0,1.5,2.0,0.0,0.0,1.5,1.5,2.0,2.5,0.0,1.0,0.0,0.0,0.0,0.0,4,1.0,3.5,0.0,0.0,12.5,-1.0,0,5
9,AVL,AM,1,50.0,2.0,7.0,1.0,4.0,1.0,8.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,1,3.0,0.0,1.0,0.0,26.0,-4.0,0,5
10,AVL,CB,1,12.19,0.25,1.25,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.5,8.75,2.25,1.75,3.0,0.0,0.0,0.0,6.25,2,0.25,2.0,0.25,0.0,6.69,-12.5,0,15
11,AVL,CM,1,1.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.5,0,0.0,0.0,0.0,0.0,1.5,-0.5,0,6
12,AVL,DM,1,28.75,0.0,6.5,0.0,0.5,8.0,3.5,2.0,0.0,1.0,4.0,3.0,4.0,1.0,3.0,0.0,0.0,0.0,10.0,2,0.0,12.5,0.0,0.0,27.75,-5.75,0,10
13,AVL,FW,1,18.0,0.33,2.33,1.0,1.67,0.33,2.67,0.0,0.0,0.0,0.0,1.0,1.0,0.33,1.33,0.0,0.0,0.0,3.67,1,1.33,0.67,0.67,0.0,9.0,-1.33,0,9
14,AVL,LM,1,3.5,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.5,-0.5,0,1
15,AVL,LW,1,20.25,0.0,4.5,0.0,1.0,1.5,3.0,0.5,0.0,2.0,2.0,1.5,5.0,0.0,0.5,0.0,0.0,0.0,4.0,2,0.0,8.5,0.0,0.0,19.25,-2.5,0,9
16,AVL,RW,1,4.75,0.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.0,2.5,0,0.0,1.0,0.0,0.0,4.75,-1.0,0,5
17,AVL,WB,1,23.58,0.67,3.67,0.33,3.0,3.0,1.33,1.0,0.0,1.33,5.67,5.0,1.0,0.33,1.67,0.0,0.0,0.33,6.33,2,1.0,8.0,0.0,0.0,10.58,-17.0,0,11
18,BHA,AM,1,19.0,0.5,2.75,0.75,1.0,1.25,2.25,0.75,0.0,0.0,0.75,1.5,2.75,0.0,0.25,0.0,0.0,0.0,2.25,2,1.25,3.25,1.0,0.0,9.75,-2.62,0,9
19,BHA,CB,1,-1.08,0.0,0.0,0.0,0.0,1.67,0.33,1.0,0.0,0.0,2.33,5.67,0.67,2.67,3.0,0.0,0.0,0.0,5.33,0,0.0,3.67,0.0,0.0,-1.08,-12.83,0,6
20,BHA,CM,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0,1
21,BHA,DM,1,9.88,0.25,2.25,0.0,0.5,0.75,1.0,0.25,0.0,0.0,1.0,1.0,0.75,0.5,0.25,0.0,0.0,0.0,3.75,0,0.25,2.25,0.0,0.0,7.62,-1.0,0,8
22,BHA,FW,1,15.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0,1.0,5.0,0.0,0.0,6.0,-2.5,0,2
23,BHA,LB,1,10.83,0.33,1.67,1.0,0.67,2.33,1.0,1.0,0.0,0.0,1.33,1.33,1.33,0.0,0.33,0.0,0.0,0.33,2.67,0,1.33,5.67,0.0,0.0,0.5,-9.5,0,6
24,BHA,LM,1,36.0,1.0,6.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0,2.0,6.0,2.0,0.0,21.0,-3.0,0,3
25,BHA,RB,1,7.5,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,10.0,1.0,5.0,1.0,0.0,0.0,0.0,8.0,0,0.0,3.0,0.0,0.0,7.5,-16.0,0,3
26,BHA,RW,1,20.17,0.67,0.67,0.33,2.0,2.67,2.0,0.0,0.0,1.0,2.0,1.67,1.33,0.33,1.0,0.0,0.0,0.0,3.67,0,1.0,3.67,2.67,0.0,12.17,-1.0,0,7
27,BOU,AM,1,21.5,0.0,3.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,3.0,9.0,2.0,2.0,7.0,0.0,0.0,0.0,11.0,0,0.0,3.0,0.0,0.0,21.5,-3.0,0,4
28,BOU,CB,1,6.19,0.0,1.0,0.25,0.25,2.5,0.25,0.5,0.0,0.0,2.5,11.25,1.0,2.5,3.25,0.0,0.0,0.0,5.75,0,0.25,3.75,0.0,0.0,4.44,-12.62,0,11
29,BOU,CM,1,5.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,3.0,0.0,0.0,5.5,-0.5,0,2
30,BOU,DM,1,13.0,0.0,1.67,0.33,1.0,1.0,3.0,0.0,0.0,0.0,1.67,1.67,3.0,1.0,1.0,0.0,0.0,0.0,5.67,0,0.33,2.0,0.0,0.0,11.0,-1.5,0,9
31,BOU,FW,1,22.0,1.0,2.5,0.5,3.0,0.0,7.0,0.5,0.0,0.5,0.0,3.5,1.5,0.5,2.0,0.0,0.0,0.0,5.5,0,1.5,4.5,0.5,0.0,10.0,-4.5,0,6
32,BOU,LB,1,0.75,0.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,3.0,6.0,11.0,3.0,1.0,6.0,0.0,0.0,1.0,11.0,0,0.0,8.0,0.0,0.0,0.75,-29.0,0,4
33,BOU,LM,1,6.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,6.5,0.0,0,1
34,BOU,LW,1,15.0,0.25,1.5,0.25,1.75,0.75,4.5,0.5,0.0,0.5,1.0,1.0,5.0,0.25,1.0,0.0,0.0,0.0,4.25,0,0.5,4.5,0.75,0.0,11.25,-3.25,0,10
35,BOU,RB,1,-1.5,0.0,0.5,0.0,0.0,3.5,1.0,0.5,0.0,1.5,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,5.5,0,0.0,3.0,0.5,0.0,-1.5,-12.5,0,5
36,BOU,RW,1,13.5,0.5,2.5,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,2.0,1.5,0.0,1.5,0.0,0.0,0.0,2.0,0,0.5,4.5,0.0,0.0,9.0,-1.25,0,6
