,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
8,ARS,RW,1,103.5,3.0,16.0,2.0,7.0,9.0,4.0,1.0,0.0,3.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,4.0,7.0,1.0,2.0,64.5,-4.0,4.0,4.0,64.0
24,BHA,LW,1,67.0,2.0,10.0,2.0,3.0,1.0,4.0,2.0,0.0,2.0,2.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,4.0,11.0,2.0,0.0,37.0,-6.0,5.0,5.0,42.0
115,MCI,FW,1,61.0,4.0,3.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,5.0,4.0,0.0,1.0,19.0,-1.0,4.0,3.0,65.0
100,LIV,RW,1,56.5,3.0,6.0,0.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,29.5,-6.0,4.0,3.0,50.0
107,LUT,RB,1,50.0,0.0,15.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,3.0,3.0,3.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,50.0,-0.5,4.0,4.0,27.0
22,BHA,LB,1,48.75,0.0,11.0,2.0,2.0,1.0,1.0,1.0,0.0,6.0,6.0,5.0,2.0,1.0,6.0,0.0,0.0,0.0,6.0,0.0,2.0,8.0,1.0,0.0,34.75,-14.5,4.0,4.0,22.75
164,TOT,RW,1,47.0,1.0,11.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,37.0,-0.5,3.0,3.0,53.0
12,AVL,DM,1,47.0,3.0,3.0,0.0,3.0,6.0,2.0,2.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,10.0,0.0,2.0,19.0,-5.0,4.0,3.0,30.0
62,CHE,RW,1,46.5,2.0,5.0,1.0,4.0,3.0,12.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,22.5,-6.0,5.0,4.0,15.0
44,BRF,RW,1,45.0,2.0,5.0,0.0,4.0,3.0,7.0,1.0,0.0,6.0,1.0,4.0,2.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,2.0,12.0,0.0,1.0,27.0,-5.5,5.0,4.0,51.0
165,WHU,AM,2,44.5,1.0,7.0,1.0,2.5,4.0,8.0,1.5,0.0,1.5,4.5,4.5,2.5,1.5,5.0,0.0,0.0,0.0,6.0,1.0,2.0,8.0,0.5,0.5,28.5,-7.0,4.0,4.0,35.25
181,WOL,RM,1,43.5,0.0,8.0,3.0,0.0,1.0,5.0,1.0,0.0,0.0,2.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,9.0,1.0,0.0,25.5,-4.5,4.0,4.0,31.0
1,ARS,CM,1,43.0,1.0,2.0,0.0,4.0,10.0,3.0,0.0,0.0,0.0,8.0,7.0,0.0,1.0,7.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,0.0,0.0,33.0,-1.5,5.0,5.0,24.5
13,AVL,FW,2,42.0,1.5,4.5,2.0,2.5,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,2.0,0.5,0.0,0.0,16.5,-1.0,2.5,3.0,85.0
134,NEW,LW,2,41.5,1.0,3.0,2.0,2.5,2.5,5.5,1.5,0.0,1.5,0.5,0.5,6.0,0.0,1.5,0.0,1.0,0.0,1.5,2.0,2.0,8.0,0.0,0.0,18.5,-5.75,4.0,4.0,26.5
74,EVE,CM,1,38.0,0.0,6.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,13.0,0.0,0.0,0.0,5.0,1.0,0.0,9.0,1.0,0.0,37.0,-0.5,5.0,5.0,19.0
