Player,Team,Position,GW,FPTS,Ghost Points,Overperformance,HeatStreak,Negative Fpts,Ros Rank,LiveRkOv,LiveRkOvByPos,Ros RankByPos,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,ROS %,MIN
Raheem Sterling,CHE,F,8,32.0,11.0,7,35.5,0.0,33,21,7,14,1,1,1,1,2,2,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,100%,82
Mohamed Salah,LIV,F,8,27.0,9.0,-1,51.5,-1.0,3,6,3,2,1,1,2,1,0,2,1,2,0,0,0,0,0,2,1,0,0,0,0,2,0,100%,90
Alexander Isak,NEW,F,8,26.5,8.5,2,59.0,0.0,26,22,8,10,1,1,2,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,100%,85
Willian,FUL,F,8,26.0,17.0,-7,35.0,-0.5,63,98,29,22,1,1,1,3,0,3,0,1,0,0,0,1,0,3,0,3,0,0,0,1,0,58%,90
Jack Harrison,EVE,M,8,23.5,7.5,-44,0.0,-0.5,55,186,63,19,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,1,38%,77
Abdoulaye Doucoure,EVE,M,8,23.0,13.0,11,53.0,-1.5,40,16,6,17,1,1,1,2,0,3,2,3,0,0,0,0,0,2,0,1,0,0,0,0,1,91%,88
Micky van de Ven,TOT,D,8,22.25,6.25,6,22.5,0.0,144,96,22,28,1,1,1,0,0,1,2,0,0,0,0,0,1,0,1,1,0,0,0,0,1,67%,90
Scott McTominay,MUN,M,8,22.0,4.0,-3,31.0,0.0,200,162,54,51,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2%,2
Cristian Romero,TOT,D,8,21.0,15.0,8,27.75,0.0,59,28,3,11,1,1,0,1,0,0,2,0,0,0,0,3,12,0,0,5,0,0,0,0,1,91%,90
Simon Adingra,BHA,F,8,21.0,12.0,6,31.0,0.0,84,71,21,27,1,1,1,0,0,2,3,0,0,0,0,2,0,3,0,0,0,0,0,2,0,33%,90
James Tarkowski,EVE,D,8,21.0,15.0,3,63.25,-1.0,50,31,5,8,1,1,0,1,0,0,3,2,0,0,0,1,8,0,2,6,0,0,0,0,1,93%,90
Kieran Trippier,NEW,D,8,20.0,13.0,0,93.5,-4.0,6,1,1,1,1,1,0,5,1,0,1,0,0,0,3,0,0,0,0,3,0,0,0,2,0,100%,90
Cole Palmer,CHE,M,8,19.5,4.5,-19,32.5,-1.5,69,133,43,24,1,1,1,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,58%,85
Mathias Jensen,BRF,M,8,19.0,9.0,13,42.0,0.0,41,14,5,18,1,1,1,2,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,97%,82
Hwang Hee-Chan,WOL,F,8,18.5,9.5,23,33.0,-0.5,131,49,15,38,1,1,1,1,0,1,2,1,0,0,1,1,0,1,1,0,0,0,0,1,0,51%,85
Dwight McNeil,EVE,M,8,18.5,17.5,-31,41.0,-1.5,32,141,45,14,1,1,0,6,0,1,1,3,0,0,1,0,0,2,1,0,0,0,0,0,1,82%,90
Wilson Odobert,BUR,F,8,18.0,9.0,-9,0.0,-2.0,200,239,51,42,1,1,1,1,0,2,2,0,1,0,0,0,0,3,0,0,0,0,0,4,0,0%,78
Solly March,BHA,M,8,18.0,12.0,-5,28.5,-1.0,16,26,12,7,1,1,0,1,1,0,5,2,0,0,1,3,2,2,0,0,0,0,0,2,0,100%,90
Tyrick Mitchell,CRY,D,8,17.75,11.75,10,37.0,-0.5,200,85,19,29,1,1,0,2,0,0,3,1,0,0,2,1,1,1,0,1,0,0,0,0,1,43%,90
Nicolas Jackson,CHE,F,8,17.5,8.5,-9,21.5,0.0,52,87,26,17,0,1,1,1,0,1,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,92%,45
Dominik Szoboszlai,LIV,M,8,17.5,11.5,-1,37.0,-2.5,20,24,11,10,1,1,0,4,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,2,0,100%,90
Joachim Andersen,CRY,D,8,17.25,11.25,7,58.75,-0.5,54,7,2,9,1,1,0,1,0,0,1,1,0,0,1,0,3,1,2,4,0,0,0,0,1,94%,90
Willy Boly,NOT,D,8,17.0,11.0,9,32.75,0.0,78,29,4,13,1,1,0,0,0,0,2,0,0,0,0,2,8,0,0,5,0,0,0,0,1,74%,90
Diogo Dalot,MUN,D,8,16.75,16.75,-20,35.75,-2.5,58,135,30,10,1,1,0,4,0,1,0,1,0,0,4,2,1,1,0,2,0,0,0,1,0,84%,90
James Maddison,TOT,M,8,16.5,9.5,1,49.0,-0.5,5,2,1,2,1,1,0,4,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,100%,75
Gabriel Martinelli,ARS,M,8,16.0,7.0,-34,29.5,-0.5,17,132,42,8,0,1,1,1,0,2,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,100%,45
Lewis Dunk,BHA,D,8,15.75,5.75,-29,12.25,-4.0,200,229,58,29,1,1,1,1,0,1,0,0,0,0,1,0,3,1,1,2,0,0,0,2,0,44%,90
Pape Sarr,TOT,M,8,15.0,14.0,30,23.0,0.0,137,47,17,47,1,1,0,3,0,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,1,78%,90
James Garner,EVE,M,8,15.0,5.0,13,44.5,-1.0,96,56,20,33,1,1,1,0,0,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,1,48%,90
Bobby De Cordova-Reid,FUL,F,8,15.0,6.0,9,20.0,-1.5,200,122,33,42,1,1,1,1,0,1,2,3,0,0,0,0,0,1,0,1,0,0,0,1,0,18%,77
Murillo,NOT,M,8,14.5,13.5,-28,0.0,0.0,200,260,79,51,1,1,0,2,0,2,2,0,0,0,0,0,3,2,1,1,0,0,0,0,1,2%,90
Harry Toffolo,NOT,D,8,14.5,8.5,-24,0.0,0.0,200,213,53,29,1,1,0,1,0,1,0,0,0,0,1,2,2,0,1,0,0,0,0,0,1,3%,90
Ben White,ARS,D,8,14.5,8.5,9,51.5,0.0,83,35,6,15,1,1,0,2,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,1,99%,90
Marc Guehi,CRY,D,8,14.25,8.25,13,40.75,0.0,200,76,16,29,1,1,0,1,0,0,2,0,0,0,0,0,9,1,1,0,0,0,0,0,1,69%,90
Pau Torres,AVL,D,8,14.25,4.25,-10,26.75,-2.0,200,158,39,29,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,59%,90
Morgan Gibbs-White,NOT,M,8,14.0,13.0,-4,17.0,-0.5,21,37,15,11,1,1,0,4,0,0,2,1,0,0,1,0,0,2,0,1,0,0,0,0,1,99%,90
Tomas Soucek,WHU,M,8,13.5,4.5,13,40.5,0.0,77,33,14,27,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,87%,75
Mohammed Kudus,WHU,M,8,13.5,4.5,-55,20.5,-0.5,37,226,71,16,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,64%,13
Conor Gallagher,CHE,M,8,13.0,7.0,11,30.5,-0.5,100,65,24,35,1,1,0,1,1,0,2,1,0,0,1,2,0,0,0,1,0,0,0,1,0,82%,90
Yoane Wissa,BRF,F,8,13.0,7.0,12,21.0,0.0,71,34,12,24,1,1,0,1,1,0,1,0,0,0,0,2,2,2,0,0,0,0,0,0,1,92%,69
Pedro Porro,TOT,D,8,13.0,7.0,-6,34.75,0.0,35,42,9,3,1,1,0,0,0,0,2,0,0,0,0,1,4,0,1,2,0,0,0,0,1,100%,90
