Team,Position,Player Count,FPTS,Ghost Points,Negative Fpts,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,MIN
WHU,F,1,30.5,19.0,-0.5,0,4,2,2,1,1,0,0,0,1,1,3,0,0,0,1,0,1,0,88
LIV,F,3,22.5,10.0,-1.5,4,4,1,6,4,5,1,0,1,1,0,1,1,4,0,0,0,0,1,241
LIV,D,4,19.56,11.06,-1.0,0,3,2,1,4,4,1,0,2,2,21,4,5,14,0,0,0,0,1,352
ARS,D,4,18.88,8.75,-0.12,1,2,1,2,4,1,0,0,0,6,12,0,2,12,0,0,0,0,1,350
NOT,F,2,16.75,10.5,-1.25,1,6,1,1,1,5,0,0,2,0,1,4,0,0,0,0,0,6,0,180
SHU,F,1,16.5,8.0,-0.5,1,1,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,66
MUN,F,2,15.75,5.75,-2.0,2,1,1,2,1,4,1,0,0,0,1,4,0,1,0,0,0,4,0,177
NEW,F,1,15.0,6.0,0.0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,90
BHA,D,3,14.25,8.25,0.0,0,2,0,1,4,0,0,0,2,2,3,2,0,8,0,0,0,0,1,251
EVE,D,4,14.06,8.56,-0.5,0,0,0,0,8,0,1,0,0,5,21,0,3,13,0,0,0,0,1,360
MCI,M,4,12.25,10.75,-2.25,1,9,1,6,1,10,2,0,0,2,2,8,1,2,0,0,0,8,0,338
LUT,F,2,12.25,13.0,-0.75,0,6,0,3,1,3,0,0,0,0,3,5,0,4,0,0,0,2,0,180
CHE,D,4,12.19,7.69,-1.5,0,4,0,0,2,0,3,0,1,4,23,2,1,7,0,0,0,0,1,358
TOT,F,3,11.83,7.33,-0.5,1,3,1,3,4,3,0,0,3,1,1,1,0,2,0,0,0,6,0,259
ARS,M,4,11.62,7.5,-0.62,1,8,1,2,2,5,0,0,2,3,2,2,0,2,0,0,0,0,1,320
BRF,F,3,11.5,6.5,-1.0,2,2,0,3,4,2,1,0,2,2,5,0,0,3,0,0,0,6,0,251
BUR,F,3,11.33,9.33,-1.0,1,4,0,4,2,6,0,0,1,1,1,5,0,6,0,0,0,1,1,255
