,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
7,CRY,CB,3,9.6,0.1,0.57,0.04,0.22,0.87,0.1,0.09,0.0,0.24,0.87,5.34,0.54,1.05,1.91,0.0,0.0,0.0,1.22,0.44,0.13,1.0,0.04,0.0,8.4,-2.66,0.46,1.0,30.29
3,BRF,CB,4,8.03,0.05,0.31,0.0,0.09,0.87,0.3,0.08,0.0,0.0,1.39,5.33,0.49,0.56,3.39,0.0,0.0,0.0,1.28,0.26,0.05,0.54,0.0,0.0,8.84,-2.87,0.49,1.0,24.51
11,EVE,LB,2,7.73,0.05,1.15,0.0,0.29,2.34,0.56,0.0,0.0,0.51,1.17,2.59,0.54,0.29,0.76,0.0,0.0,0.0,1.32,0.17,0.05,0.95,0.0,0.0,9.13,-2.91,0.54,1.0,23.25
10,EVE,CB,3,7.64,0.05,0.46,0.05,0.22,0.93,0.2,0.29,0.0,0.1,1.62,3.93,0.21,1.18,2.91,0.0,0.0,0.0,1.41,0.17,0.1,2.12,0.05,0.0,9.3,-3.51,0.54,1.0,26.52
17,NOT,LB,3,7.0,0.0,0.76,0.19,0.38,0.9,0.0,0.0,0.19,0.38,1.14,2.86,0.19,0.62,0.76,0.0,0.0,0.0,0.86,0.29,0.19,2.38,0.14,0.0,7.0,-3.05,0.67,1.0,13.1
16,NOT,CB,6,6.96,0.04,0.37,0.0,0.27,0.99,0.15,0.08,0.04,0.0,1.06,4.89,0.33,0.92,2.55,0.0,0.0,0.0,1.3,0.27,0.04,1.35,0.04,0.0,7.95,-2.69,0.38,1.0,21.31
8,CRY,LB,1,6.26,0.05,0.59,0.1,0.05,1.1,0.59,0.2,0.0,0.59,0.73,2.78,0.46,0.44,0.29,0.0,0.0,0.0,1.22,0.44,0.15,1.24,0.0,0.0,5.57,-3.12,0.46,1.0,17.64
14,FUL,LB,2,6.15,0.0,0.66,0.0,0.0,1.63,0.71,0.32,0.0,0.61,2.22,2.1,1.15,0.17,1.41,0.0,0.0,0.1,1.59,0.29,0.0,2.22,0.1,0.0,9.04,-4.65,0.44,1.0,15.84
21,WOL,LB,3,4.94,0.0,0.6,0.12,0.0,1.72,1.24,0.32,0.0,0.16,0.84,1.76,1.16,0.88,1.2,0.0,0.0,0.0,1.6,0.16,0.12,1.88,0.0,0.0,7.6,-4.46,0.44,1.0,9.88
18,NOT,RB,3,4.82,0.08,0.56,0.0,0.08,1.56,0.4,0.32,0.0,0.32,0.88,1.68,0.24,0.28,1.72,0.0,0.0,0.0,1.16,0.08,0.08,1.72,0.16,0.0,6.7,-3.16,0.56,1.0,11.27
