,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
5,BRF,RW,1,16.83,0.67,2.17,0.17,1.5,0.67,1.67,0.17,0.0,1.33,0.0,0.67,1.17,0.0,1.0,0.0,0.0,0.0,1.17,0.33,0.83,1.5,0.17,0.17,11.0,-1.17,0.67,1.0,39.3
19,WOL,LW,3,10.29,0.29,1.14,0.29,0.29,0.57,0.43,0.29,0.0,0.29,0.57,0.29,2.14,0.29,0.14,0.0,0.0,0.0,1.0,0.0,0.57,1.86,0.29,0.0,6.79,-0.79,0.57,1.0,33.33
16,NOT,LW,4,8.89,0.11,1.33,0.22,0.44,0.33,0.22,0.0,0.0,0.56,0.11,0.33,1.67,0.0,0.89,0.0,0.0,0.0,0.67,0.11,0.33,0.67,0.44,0.0,6.67,-0.11,0.67,1.0,17.25
20,WOL,RW,3,8.5,0.2,1.4,0.6,0.2,0.0,0.4,0.4,0.0,0.4,0.0,0.6,1.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.6,1.8,0.2,0.0,4.1,-1.8,0.8,1.0,31.88
4,BRF,LW,3,8.43,0.29,0.86,0.14,0.57,0.43,0.86,0.0,0.0,0.29,0.43,0.71,0.57,0.0,1.43,0.0,0.0,0.0,0.86,0.29,0.29,1.43,0.29,0.0,5.29,-0.43,0.71,1.0,21.0
8,CRY,RW,4,7.42,0.05,0.9,0.2,0.5,1.15,2.6,0.25,0.0,0.25,0.7,0.6,1.9,0.05,1.4,0.0,0.0,0.0,1.25,0.3,0.25,2.55,0.2,0.0,7.58,-1.8,0.4,1.0,21.0
6,CRY,FW,3,6.85,0.2,0.87,0.2,0.7,0.27,1.7,0.07,0.0,0.03,0.2,0.6,0.63,0.0,1.13,0.0,0.0,0.0,0.73,0.33,0.4,1.13,0.4,0.0,4.83,-0.98,0.53,1.0,21.25
9,EVE,FW,7,6.69,0.2,0.76,0.04,0.8,0.31,1.02,0.07,0.0,0.04,0.13,0.4,0.64,0.04,2.0,0.0,0.0,0.0,0.8,0.22,0.2,0.85,0.35,0.0,5.27,-0.65,0.55,1.0,22.9
18,WOL,FW,6,6.61,0.18,0.78,0.08,0.67,0.51,1.14,0.12,0.0,0.04,0.27,0.31,1.18,0.16,0.51,0.0,0.0,0.0,0.9,0.12,0.25,1.12,0.29,0.0,5.31,-0.8,0.41,1.0,18.41
15,NOT,FW,5,6.61,0.32,0.74,0.11,0.45,0.18,0.74,0.05,0.0,0.0,0.05,0.53,0.34,0.0,1.32,0.0,0.0,0.0,0.74,0.11,0.42,0.66,0.42,0.0,3.61,-0.47,0.37,1.0,18.79
13,FUL,LW,4,6.52,0.15,0.96,0.15,0.65,0.31,0.85,0.15,0.0,0.15,0.31,0.27,0.62,0.08,0.5,0.0,0.0,0.0,1.12,0.15,0.15,1.12,0.0,0.0,4.94,-0.73,0.38,1.0,17.55
0,BOU,FW,2,6.48,0.3,0.74,0.07,0.78,0.07,2.11,0.07,0.0,0.07,0.15,0.81,0.67,0.07,1.0,0.0,0.0,0.0,1.52,0.07,0.37,1.11,0.22,0.0,4.57,-1.2,0.56,1.0,18.57
3,BRF,FW,7,6.47,0.16,0.49,0.19,0.65,0.37,0.53,0.12,0.0,0.09,0.35,0.28,0.53,0.09,1.14,0.0,0.05,0.0,0.84,0.19,0.3,1.21,0.28,0.05,4.38,-0.5,0.47,1.0,18.92
2,BOU,RW,6,5.82,0.13,0.68,0.05,0.55,0.45,0.82,0.13,0.0,0.18,0.29,0.21,1.34,0.05,0.29,0.0,0.0,0.0,1.08,0.05,0.13,1.13,0.0,0.0,4.93,-0.67,0.58,1.0,16.54
17,NOT,RW,6,5.39,0.0,1.21,0.11,0.21,0.63,0.68,0.11,0.0,0.47,0.11,0.21,1.05,0.0,0.63,0.0,0.0,0.0,0.84,0.11,0.11,0.53,0.11,0.0,5.21,-0.76,0.63,1.0,18.89
7,CRY,LW,6,5.08,0.0,0.84,0.0,0.56,0.68,1.12,0.16,0.0,0.08,0.36,0.24,1.4,0.0,0.8,0.0,0.0,0.0,1.0,0.24,0.0,1.44,0.0,0.0,5.72,-0.88,0.44,1.0,19.35
