,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
20,BRF,RW,1,16.83,0.67,2.17,0.17,1.5,0.67,1.67,0.17,0.0,1.33,0.0,0.67,1.17,0.0,1.0,0.0,0.0,0.0,1.17,0.33,0.83,1.5,0.17,0.17,11.0,-1.17,0.67,1,39.3
75,WOL,RM,5,11.14,0.22,1.78,0.11,0.56,0.56,0.89,0.22,0.0,1.11,0.67,0.89,1.56,0.11,1.22,0.0,0.0,0.0,1.33,0.11,0.33,1.56,0.22,0.0,9.36,-1.56,0.33,1,27.21
73,WOL,LW,3,10.29,0.29,1.14,0.29,0.29,0.57,0.43,0.29,0.0,0.29,0.57,0.29,2.14,0.29,0.14,0.0,0.0,0.0,1.0,0.0,0.57,1.86,0.29,0.0,6.79,-0.79,0.57,1,33.33
23,CRY,CB,4,9.36,0.11,0.58,0.0,0.21,0.84,0.11,0.0,0.0,0.26,0.79,5.0,0.58,0.95,1.89,0.0,0.0,0.0,1.16,0.42,0.11,0.68,0.0,0.0,5.83,-2.37,0.42,1,33.15
22,CRY,AM,5,9.0,0.14,1.86,0.0,0.43,0.43,1.71,0.0,0.0,0.57,0.29,0.14,1.71,0.14,1.14,0.0,0.0,0.0,0.57,0.29,0.14,0.86,0.0,0.0,8.29,-0.86,0.43,1,33.17
61,NOT,LW,4,8.89,0.11,1.33,0.22,0.44,0.33,0.22,0.0,0.0,0.56,0.11,0.33,1.67,0.0,0.89,0.0,0.0,0.0,0.67,0.11,0.33,0.67,0.44,0.0,6.67,-0.11,0.67,1,17.25
31,CRY,RM,5,8.86,0.14,1.14,0.14,0.57,0.71,0.71,0.0,0.0,0.29,0.71,0.43,1.29,0.14,0.43,0.0,0.0,0.0,1.0,0.29,0.14,0.57,0.14,0.0,6.79,-0.36,0.43,1,22.86
76,WOL,RW,3,8.5,0.2,1.4,0.6,0.2,0.0,0.4,0.4,0.0,0.4,0.0,0.6,1.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.6,1.8,0.2,0.0,4.1,-1.8,0.8,1,31.88
16,BRF,LW,3,8.43,0.29,0.86,0.14,0.57,0.43,0.86,0.0,0.0,0.29,0.43,0.71,0.57,0.0,1.43,0.0,0.0,0.0,0.86,0.29,0.29,1.43,0.29,0.0,5.29,-0.43,0.71,1,21.0
38,EVE,LM,4,7.67,0.08,1.25,0.08,0.67,0.25,1.0,0.0,0.0,0.58,0.42,0.17,1.42,0.17,0.33,0.0,0.0,0.0,0.92,0.17,0.17,0.33,0.33,0.0,6.83,-0.5,0.5,1,18.88
19,BRF,RM,5,7.61,0.33,0.89,0.11,0.44,0.89,0.67,0.33,0.0,0.22,0.44,0.56,0.11,0.11,0.33,0.0,0.0,0.0,0.78,0.33,0.44,1.67,0.0,0.0,4.61,-1.0,0.67,1,29.83
41,EVE,RM,5,7.4,0.1,1.2,0.2,0.2,0.9,0.6,0.1,0.0,0.4,0.4,0.2,0.9,0.1,0.4,0.0,0.0,0.0,0.7,0.1,0.3,1.0,0.1,0.0,5.7,-0.5,0.5,1,19.4
32,CRY,RW,3,7.36,0.0,1.0,0.22,0.44,1.22,2.56,0.22,0.0,0.22,0.67,0.67,2.0,0.0,1.44,0.0,0.0,0.0,1.22,0.33,0.22,2.33,0.22,0.0,7.75,-1.72,0.33,1,21.58
25,CRY,DM,4,6.95,0.0,0.82,0.0,0.27,1.36,0.91,0.27,0.0,0.0,1.45,1.82,1.18,0.64,1.55,0.0,0.0,0.0,0.91,0.36,0.0,2.0,0.0,0.0,7.59,-1.0,0.36,1,22.4
54,NOT,AM,6,6.94,0.11,0.78,0.22,0.44,0.56,0.89,0.33,0.0,0.22,0.56,0.11,1.33,0.22,0.56,0.0,0.0,0.0,0.78,0.11,0.22,1.22,0.22,0.0,5.61,-1.11,0.22,1,21.06
26,CRY,FW,3,6.93,0.21,0.86,0.21,0.71,0.21,1.79,0.07,0.0,0.0,0.21,0.64,0.57,0.0,1.21,0.0,0.0,0.0,0.71,0.36,0.43,1.07,0.43,0.0,4.75,-1.04,0.5,1,22.56
50,FUL,LW,3,6.88,0.17,1.0,0.17,0.67,0.33,0.92,0.17,0.0,0.17,0.33,0.25,0.67,0.08,0.5,0.0,0.0,0.0,1.17,0.17,0.17,1.17,0.0,0.0,5.17,-0.79,0.42,1,16.94
58,NOT,FW,4,6.86,0.33,0.78,0.11,0.44,0.17,0.78,0.06,0.0,0.0,0.06,0.56,0.33,0.0,1.39,0.0,0.0,0.0,0.67,0.11,0.44,0.67,0.39,0.0,3.69,-0.5,0.39,1,18.81
33,EVE,CB,4,6.76,0.05,0.45,0.05,0.2,0.9,0.2,0.25,0.0,0.1,1.55,3.45,0.15,1.25,2.8,0.0,0.0,0.0,1.5,0.1,0.1,1.95,0.05,0.0,5.91,-3.6,0.5,1,23.65
36,EVE,FW,7,6.63,0.19,0.77,0.04,0.81,0.31,1.0,0.08,0.0,0.04,0.12,0.38,0.65,0.04,1.96,0.0,0.0,0.0,0.85,0.19,0.19,0.88,0.31,0.0,5.29,-0.65,0.58,1,22.91
