,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
21,MCI,WB,2,26.12,0.5,2.5,2.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.5,2.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,2.5,1.0,0.0,0.0,11.12,-1.5,1.0,1.0,45.88
6,AVL,WB,2,21.25,1.0,1.0,0.5,1.5,1.5,0.5,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.5,1.5,0.0,0.0,10.0,-2.25,0.0,1.0,34.5
27,NEW,RB,1,16.54,0.0,3.12,0.61,0.0,0.9,0.47,0.29,0.0,1.88,0.61,0.8,0.8,0.51,1.63,0.0,0.0,0.0,1.08,0.41,0.61,1.84,0.1,0.0,12.77,-2.97,0.51,1.0,55.22
8,BHA,LB,4,12.75,0.11,2.14,0.7,0.39,1.05,0.57,0.48,0.0,0.86,1.25,1.02,0.59,0.11,0.91,0.0,0.0,0.0,1.45,0.0,0.82,2.61,0.11,0.0,9.9,-3.1,0.59,1.0,29.73
2,ARS,RB,2,11.05,0.09,1.04,0.09,0.45,1.4,0.55,0.09,0.0,0.62,1.0,1.47,0.92,0.74,0.83,0.0,0.0,0.0,0.74,0.45,0.09,0.85,0.09,0.0,8.72,-1.52,0.57,1.0,34.56
16,LIV,LB,3,10.21,0.1,2.12,0.0,0.19,1.33,0.23,0.1,0.0,0.75,0.77,1.98,0.1,0.29,0.98,0.0,0.0,0.0,0.87,0.33,0.1,1.29,0.19,0.0,9.32,-2.04,0.46,1.0,30.01
30,TOT,RB,2,10.11,0.1,1.02,0.19,0.15,2.27,0.19,0.1,0.0,0.4,0.58,2.37,0.73,0.54,0.48,0.0,0.0,0.0,1.08,0.38,0.19,1.31,0.0,0.0,7.94,-2.44,0.44,1.0,30.89
24,MUN,RB,2,9.27,0.1,1.25,0.1,0.19,1.44,0.54,0.29,0.0,1.04,1.19,2.17,1.35,0.4,0.9,0.0,0.0,0.0,1.38,0.25,0.19,1.83,0.0,0.0,9.75,-3.62,0.56,1.0,22.93
15,LIV,CB,5,9.02,0.0,0.41,0.1,0.05,0.64,0.17,0.1,0.0,0.0,1.41,4.94,0.12,0.91,3.65,0.0,0.0,0.05,0.83,0.27,0.1,0.97,0.05,0.0,8.91,-2.17,0.46,1.0,24.07
12,CHE,LB,2,8.93,0.0,0.41,0.15,0.41,1.59,0.15,0.15,0.0,0.0,0.53,2.15,0.15,0.74,1.85,0.0,0.0,0.0,0.71,0.44,0.15,1.32,0.15,0.0,7.04,-1.78,0.56,1.0,24.7
4,AVL,LB,1,8.9,0.0,1.89,0.21,0.11,0.89,0.81,0.43,0.0,1.57,1.45,2.17,0.23,0.0,1.68,0.0,0.0,0.0,1.49,0.21,0.11,2.4,0.11,0.0,10.37,-4.23,0.51,1.0,28.52
33,WHU,RB,1,8.02,0.0,1.3,0.38,0.0,1.72,0.28,0.0,0.0,0.75,1.32,2.3,0.19,0.34,1.0,0.0,0.0,0.0,1.77,0.09,0.38,0.77,0.09,0.0,8.5,-3.69,0.45,1.0,26.61
17,LIV,RB,2,7.82,0.0,1.48,0.1,0.19,1.15,0.38,0.27,0.0,0.54,0.96,1.96,1.04,0.0,0.38,0.0,0.0,0.0,0.83,0.27,0.1,1.23,0.0,0.0,7.91,-2.38,0.46,1.0,22.95
19,MCI,LB,3,7.72,0.09,0.52,0.0,0.46,0.46,0.65,0.09,0.0,0.09,1.24,1.0,0.63,0.28,1.02,0.0,0.0,0.0,0.65,0.44,0.09,0.93,0.0,0.0,5.94,-1.81,0.37,1.0,20.41
26,NEW,LB,3,7.71,0.1,0.44,0.0,0.27,0.87,0.37,0.17,0.0,0.25,0.98,2.63,0.1,0.62,1.77,0.0,0.0,0.0,1.02,0.44,0.1,1.19,0.1,0.0,6.66,-2.57,0.54,1.0,29.32
25,NEW,CB,4,7.64,0.05,0.19,0.09,0.1,0.84,0.18,0.21,0.0,0.0,0.69,3.09,0.19,0.8,2.41,0.0,0.04,0.0,0.97,0.44,0.1,1.8,0.05,0.0,6.36,-2.46,0.54,1.0,21.07
20,MCI,RB,1,7.39,0.0,1.07,0.09,0.09,0.59,0.28,0.09,0.0,0.37,0.54,1.09,0.63,0.07,0.89,0.0,0.0,0.0,0.65,0.44,0.09,1.0,0.09,0.0,5.7,-1.62,0.37,1.0,19.56
14,CHE,WB,3,7.39,0.0,1.57,0.14,0.14,0.86,0.86,0.14,0.0,1.14,0.43,0.43,1.0,0.14,1.43,0.0,0.0,0.0,1.14,0.14,0.14,1.29,0.14,0.0,8.54,-3.0,0.71,1.0,30.67
28,TOT,CB,4,7.34,0.1,0.2,0.0,0.1,1.27,0.1,0.2,0.0,0.0,0.96,3.62,0.34,0.63,1.95,0.0,0.0,0.05,0.99,0.4,0.1,1.09,0.06,0.0,6.65,-2.67,0.43,1.0,25.26
13,CHE,RB,4,6.75,0.0,0.7,0.27,0.0,1.24,0.41,0.27,0.14,0.0,0.76,1.65,0.86,0.08,0.54,0.0,0.0,0.0,0.59,0.41,0.27,2.7,0.22,0.0,5.3,-2.88,0.51,1.0,17.95
18,MCI,CB,4,6.62,0.05,0.41,0.0,0.23,0.94,0.21,0.04,0.04,0.04,1.02,1.95,0.04,0.4,1.12,0.0,0.0,0.04,0.63,0.46,0.05,0.96,0.0,0.0,5.34,-2.0,0.39,1.0,13.66
29,TOT,LB,1,6.59,0.0,0.73,0.21,0.1,1.48,0.83,0.31,0.06,0.0,1.1,2.46,0.73,0.21,0.73,0.0,0.0,0.0,0.9,0.31,0.21,3.48,0.21,0.0,6.53,-3.27,0.48,1.0,22.59
10,BHA,WB,2,6.25,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,1.0,2.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,1.0,1.0,25.75
11,CHE,CB,3,5.92,0.04,0.34,0.0,0.13,0.45,0.26,0.17,0.0,0.0,0.85,3.39,0.25,0.71,2.73,0.0,0.0,0.0,1.15,0.25,0.04,1.12,0.21,0.0,6.75,-2.77,0.57,1.0,19.96
0,ARS,CB,4,5.85,0.0,0.2,0.06,0.0,0.31,0.08,0.1,0.0,0.05,1.02,1.87,0.09,0.81,1.5,0.0,0.0,0.0,0.83,0.45,0.06,0.79,0.0,0.0,4.65,-1.91,0.57,1.0,17.2
22,MUN,CB,5,5.48,0.05,0.53,0.16,0.11,0.69,0.27,0.16,0.0,0.05,0.53,3.24,0.16,0.57,1.74,0.0,0.0,0.05,1.32,0.22,0.21,1.21,0.14,0.0,5.84,-3.36,0.51,1.0,10.85
1,ARS,LB,4,5.28,0.0,0.6,0.0,0.21,1.29,0.46,0.12,0.1,0.0,0.56,0.77,0.38,0.1,0.5,0.0,0.0,0.0,0.58,0.5,0.0,1.65,0.12,0.0,4.65,-2.38,0.62,1.0,16.88
23,MUN,LB,5,5.02,0.0,1.08,0.1,0.0,0.6,0.58,0.35,0.0,0.12,1.31,3.44,0.29,0.52,0.67,0.0,0.0,0.0,1.4,0.25,0.1,2.6,0.27,0.0,6.44,-3.6,0.56,1.0,9.67
31,WHU,CB,4,4.72,0.09,0.09,0.0,0.23,0.4,0.05,0.08,0.05,0.0,1.32,5.17,0.05,1.18,2.53,0.0,0.0,0.03,1.77,0.09,0.09,1.13,0.0,0.0,7.41,-4.19,0.45,1.0,16.58
5,AVL,RB,2,4.53,0.0,0.55,0.11,0.53,1.04,0.19,0.3,0.0,0.28,0.7,1.89,0.3,0.64,0.21,0.0,0.0,0.11,1.3,0.3,0.11,1.83,0.0,0.0,5.81,-3.82,0.51,1.0,19.91
32,WHU,LB,3,4.41,0.05,0.81,0.16,0.05,1.16,0.32,0.51,0.0,0.57,1.24,2.59,0.62,0.19,0.68,0.0,0.08,0.0,1.78,0.08,0.14,2.62,0.0,0.0,7.0,-4.76,0.43,1.0,11.72
3,AVL,CB,3,3.95,0.05,0.17,0.05,0.14,0.72,0.04,0.05,0.0,0.04,0.67,2.3,0.67,0.59,0.87,0.0,0.05,0.0,1.33,0.18,0.05,0.72,0.09,0.0,4.84,-2.77,0.44,1.0,12.85
7,BHA,CB,4,2.72,0.05,0.26,0.0,0.21,0.72,0.05,0.25,0.0,0.05,0.89,2.87,0.16,0.96,1.99,0.0,0.0,0.0,1.82,0.0,0.05,1.39,0.03,0.0,6.44,-4.17,0.58,1.0,8.01
9,BHA,RB,2,1.9,0.0,0.23,0.0,0.0,2.16,0.34,0.23,0.0,0.0,0.91,2.25,0.11,0.34,0.73,0.0,0.0,0.0,1.66,0.14,0.0,1.89,0.0,0.0,5.03,-3.26,0.59,1.0,9.99
