,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
14,LIV,RW,1,19.3,0.94,2.3,0.36,1.67,0.61,1.7,0.0,0.0,0.3,0.0,0.0,0.55,0.12,0.48,0.12,0.12,0.0,0.79,0.33,1.3,0.24,0.42,0.36,10.0,-1.33,0.58,1.0,58.22
15,MCI,FW,1,18.6,1.16,1.19,0.16,2.33,0.0,0.81,0.0,0.0,0.0,0.09,0.56,0.28,0.0,1.09,0.09,0.0,0.0,0.65,0.44,1.33,0.56,0.09,0.16,7.94,-0.78,0.37,1.0,51.27
2,ARS,RW,2,16.54,0.39,2.27,0.46,0.88,1.68,1.59,0.2,0.0,0.54,0.39,0.49,1.85,0.05,0.51,0.0,0.0,0.0,0.83,0.46,0.68,2.22,0.1,0.2,11.06,-1.18,0.56,1.0,53.03
10,CHE,LW,2,14.45,0.38,1.1,0.67,0.67,0.76,0.81,0.19,0.0,0.0,0.48,0.19,2.1,0.0,0.0,0.0,0.19,0.0,0.57,0.57,0.48,1.52,0.1,0.0,7.24,-0.79,0.52,1.0,26.21
3,AVL,FW,2,14.27,0.4,1.88,0.6,1.05,0.1,0.76,0.0,0.0,0.17,0.1,0.41,0.57,0.14,0.47,0.0,0.14,0.0,1.48,0.14,0.74,0.36,0.17,0.0,7.46,-0.38,0.45,1.0,45.93
21,NEW,FW,2,13.63,0.93,0.29,0.0,1.88,0.12,1.51,0.1,0.0,0.0,0.0,0.2,1.59,0.0,0.39,0.0,0.0,0.0,0.73,0.54,0.93,1.32,0.2,0.27,6.24,-0.95,0.54,1.0,33.0
8,BHA,RW,2,13.5,0.47,0.82,0.12,0.94,1.59,0.94,0.0,0.0,0.47,1.53,0.76,1.29,0.0,0.76,0.0,0.0,0.0,1.47,0.24,0.59,1.65,1.06,0.0,8.79,-0.47,0.47,1.0,32.69
24,TOT,FW,2,13.27,0.76,1.15,0.1,1.54,0.1,1.27,0.1,0.0,0.1,0.05,0.1,0.85,0.1,0.29,0.0,0.0,0.0,0.95,0.29,0.85,0.83,0.51,0.0,6.71,-0.83,0.44,1.0,46.36
16,MCI,LW,3,13.23,0.11,2.26,0.34,0.54,0.89,0.94,0.11,0.0,0.34,0.31,0.34,3.11,0.11,0.54,0.0,0.0,0.0,0.8,0.2,0.46,0.91,0.23,0.0,10.64,-0.7,0.46,1.0,37.67
29,WHU,RW,1,12.23,0.57,0.54,0.0,1.26,0.91,1.6,0.11,0.0,0.0,0.71,0.34,1.83,0.2,1.49,0.0,0.0,0.0,1.8,0.11,0.57,0.91,0.8,0.0,8.0,-1.03,0.54,1.0,38.72
12,LIV,FW,4,12.06,0.33,1.36,0.51,1.04,0.31,1.16,0.18,0.0,0.0,0.27,0.49,0.98,0.09,0.96,0.0,0.0,0.0,0.84,0.24,0.6,1.73,0.09,0.0,6.92,-0.93,0.42,1.0,30.84
7,BHA,LW,2,11.62,0.12,2.0,0.38,0.62,0.12,0.62,0.25,0.0,0.38,0.75,0.12,2.38,0.0,0.38,0.0,0.0,0.0,1.5,0.0,0.5,1.62,0.5,0.0,9.06,-0.81,0.62,1.0,33.58
1,ARS,LW,3,11.59,0.11,1.7,0.32,0.68,1.0,2.24,0.0,0.0,0.51,0.76,0.22,2.14,0.0,0.68,0.0,0.0,0.0,0.92,0.41,0.32,0.86,0.49,0.0,9.5,-1.12,0.51,1.0,26.45
25,TOT,LW,4,11.54,0.0,2.37,0.46,0.69,0.66,1.26,0.11,0.0,0.11,0.89,0.86,1.6,0.09,0.4,0.0,0.0,0.0,0.8,0.43,0.46,1.2,0.11,0.0,9.66,-0.86,0.46,1.0,28.61
17,MCI,RW,4,11.14,0.2,2.29,0.11,0.51,0.89,1.14,0.09,0.0,0.57,0.63,0.57,1.34,0.0,0.11,0.0,0.0,0.0,0.69,0.43,0.31,1.03,0.11,0.0,9.09,-0.74,0.46,1.0,30.28
26,TOT,RW,1,10.78,0.24,2.2,0.0,0.63,0.63,1.66,0.1,0.0,0.56,0.59,0.1,1.59,0.07,0.1,0.0,0.0,0.0,0.73,0.46,0.24,1.59,0.49,0.0,9.15,-1.02,0.44,1.0,34.7
22,NEW,LW,3,10.66,0.34,0.93,0.29,0.83,0.68,1.41,0.44,0.0,0.2,0.29,0.2,1.71,0.0,0.59,0.0,0.1,0.0,0.83,0.54,0.54,2.34,0.05,0.0,6.88,-1.59,0.54,1.0,34.7
5,AVL,RW,2,10.25,0.25,1.25,0.5,0.25,0.5,1.0,0.25,0.0,0.25,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.75,2.5,0.0,0.0,5.75,-1.0,0.75,1.0,13.5
11,CHE,RW,3,10.16,0.24,1.44,0.4,0.56,0.4,1.52,0.32,0.0,0.32,0.64,0.28,1.4,0.0,0.16,0.0,0.0,0.0,0.68,0.32,0.48,1.84,0.48,0.24,6.84,-1.4,0.44,1.0,27.8
9,CHE,FW,3,9.36,0.49,0.81,0.0,1.35,0.54,1.89,0.7,0.0,0.0,0.22,0.62,1.73,0.11,0.84,0.0,0.0,0.0,0.86,0.43,0.49,3.14,1.03,0.11,7.34,-2.35,0.62,1.0,28.48
6,BHA,FW,2,9.17,0.58,0.42,0.0,1.52,0.45,2.21,0.0,0.0,0.0,0.24,0.85,0.36,0.0,0.3,0.0,0.0,0.0,0.88,0.36,0.58,1.03,0.24,0.0,5.09,-1.11,0.58,1.0,18.3
13,LIV,LW,2,9.08,0.33,0.76,0.12,0.48,0.97,1.21,0.0,0.0,0.0,0.18,0.0,1.91,0.0,0.82,0.0,0.0,0.0,0.73,0.3,0.33,1.45,0.48,0.0,5.95,-0.61,0.58,1.0,17.4
23,NEW,RW,3,8.77,0.29,0.63,0.29,0.59,0.83,1.29,0.2,0.0,0.2,0.54,0.56,0.78,0.0,0.0,0.0,0.1,0.0,0.73,0.44,0.49,1.17,0.2,0.0,4.98,-1.04,0.54,1.0,21.08
0,ARS,FW,2,8.7,0.35,0.59,0.22,0.46,0.43,1.03,0.11,0.0,0.0,0.43,0.24,0.84,0.0,1.46,0.0,0.22,0.0,0.59,0.62,0.35,1.35,0.62,0.0,4.97,-0.73,0.51,1.0,22.74
19,MUN,LW,2,8.35,0.12,1.15,0.24,0.55,0.24,1.33,0.18,0.0,0.0,0.24,0.67,1.91,0.12,1.24,0.0,0.12,0.0,1.36,0.18,0.24,1.03,0.06,0.0,6.77,-1.03,0.45,1.0,23.38
20,MUN,RW,3,8.06,0.12,1.15,0.0,1.06,0.73,0.7,0.21,0.0,0.24,1.27,0.42,0.79,0.0,0.33,0.0,0.0,0.0,1.12,0.18,0.12,1.33,0.45,0.0,7.62,-0.77,0.45,1.0,23.69
27,WHU,FW,2,6.65,0.23,0.56,0.14,0.42,0.3,1.37,0.19,0.0,0.05,0.09,0.14,1.51,0.28,1.19,0.0,0.0,0.0,1.23,0.37,0.37,1.81,0.47,0.0,4.78,-1.06,0.44,1.0,20.03
4,AVL,LW,2,6.0,0.2,0.8,0.0,0.6,0.2,2.2,0.2,0.0,0.2,0.0,0.6,1.8,0.0,0.6,0.0,0.0,0.0,1.0,0.4,0.2,2.0,0.0,0.0,5.3,-1.5,0.6,1.0,11.67
18,MUN,FW,3,4.82,0.0,1.07,0.0,0.8,0.07,1.69,0.0,0.0,0.04,0.0,0.56,1.51,0.0,0.62,0.0,0.0,0.0,1.29,0.22,0.0,0.47,0.6,0.0,5.67,-0.84,0.6,1.0,14.81
28,WHU,LW,2,4.7,0.0,0.74,0.0,0.23,0.69,2.06,0.31,0.0,0.31,0.46,0.34,2.17,0.0,1.11,0.0,0.0,0.0,1.57,0.23,0.0,2.2,0.46,0.0,6.13,-1.66,0.54,1.0,18.98
