,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
64,MCI,WB,2,26.12,0.5,2.5,2.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.5,2.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,2.5,1.0,0.0,0.0,11.12,-1.5,1.0,1,45.88
20,AVL,WB,2,21.25,1.0,1.0,0.5,1.5,1.5,0.5,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.5,1.5,0.0,0.0,10.0,-2.25,0.0,1,34.5
57,MCI,FW,2,17.83,0.93,1.13,0.4,2.07,0.13,0.67,0.07,0.0,0.0,0.07,0.8,0.4,0.07,1.13,0.07,0.07,0.0,1.13,0.27,1.27,0.87,0.07,0.2,7.77,-0.73,0.4,1,52.27
52,LIV,RW,1,17.82,0.79,2.29,0.43,1.43,0.5,1.79,0.0,0.0,0.29,0.07,0.0,0.71,0.07,0.29,0.07,0.07,0.0,0.86,0.36,1.21,0.14,0.29,0.21,9.36,-1.18,0.5,1,53.25
85,TOT,AM,3,16.85,0.23,3.23,0.46,1.46,0.69,1.69,0.15,0.0,0.54,0.31,0.23,1.77,0.0,0.15,0.0,0.0,0.0,0.85,0.38,0.62,1.46,0.15,0.0,12.77,-1.15,0.54,1,49.64
8,ARS,RW,2,16.19,0.31,2.44,0.5,0.88,1.38,1.88,0.12,0.0,0.56,0.44,0.44,1.69,0.12,0.88,0.0,0.0,0.0,0.94,0.38,0.69,1.62,0.19,0.12,11.25,-1.19,0.5,1,50.46
53,MCI,AM,3,15.9,0.5,2.4,0.4,1.4,0.4,0.4,0.2,0.0,0.4,0.2,0.1,0.8,0.0,0.0,0.0,0.1,0.0,0.7,0.3,0.7,1.3,0.0,0.0,9.6,-0.6,0.5,1,44.72
105,WHU,RM,3,15.75,0.5,1.0,0.5,0.75,1.5,1.75,0.0,0.0,0.0,1.5,1.75,1.5,0.0,2.25,0.0,0.0,0.0,2.25,0.0,0.75,0.75,0.25,0.0,9.12,-0.88,0.0,1,34.5
39,CHE,LW,2,13.77,0.36,1.36,0.55,0.64,0.45,0.91,0.36,0.0,0.09,0.73,0.27,2.45,0.0,0.09,0.0,0.18,0.0,1.55,0.27,0.55,2.82,0.18,0.0,8.14,-1.18,0.45,1,29.18
82,NEW,RB,1,13.73,0.0,2.93,0.47,0.07,0.93,0.6,0.33,0.0,1.53,0.87,1.47,0.87,0.4,1.27,0.0,0.0,0.0,1.4,0.33,0.47,2.07,0.07,0.0,12.23,-3.77,0.47,1,45.38
28,BHA,LW,3,13.65,0.31,2.0,0.31,0.77,0.23,1.15,0.23,0.0,0.46,0.77,0.69,2.38,0.08,0.92,0.0,0.08,0.0,1.46,0.0,0.62,1.62,0.46,0.08,10.08,-1.04,0.62,1,31.64
106,WHU,RW,2,13.54,0.54,0.85,0.15,1.0,1.15,2.31,0.15,0.0,0.46,0.69,0.23,2.23,0.23,1.38,0.0,0.0,0.0,1.62,0.08,0.62,1.46,0.69,0.0,9.15,-1.46,0.54,1,39.32
92,TOT,LW,5,13.32,0.14,2.14,0.5,0.93,0.64,0.93,0.07,0.0,0.21,0.71,0.79,1.57,0.07,0.29,0.0,0.07,0.0,1.0,0.43,0.64,1.0,0.21,0.07,9.64,-0.61,0.5,1,30.23
9,AVL,AM,3,13.22,0.33,1.56,0.44,1.11,0.33,1.33,0.0,0.0,0.33,0.33,0.11,1.78,0.0,0.22,0.0,0.0,0.0,1.11,0.22,0.67,0.44,0.22,0.0,8.22,-0.67,0.56,1,30.64
30,BHA,RW,3,12.92,0.46,1.15,0.08,1.0,1.23,1.0,0.08,0.0,0.38,1.08,0.77,1.46,0.0,0.69,0.0,0.0,0.0,1.46,0.15,0.54,1.46,0.92,0.0,8.81,-0.65,0.46,1,30.68
89,TOT,FW,2,12.91,0.69,1.25,0.12,1.44,0.31,1.0,0.06,0.0,0.06,0.12,0.19,0.81,0.06,0.31,0.0,0.0,0.06,1.31,0.25,0.81,0.56,0.56,0.0,6.91,-0.94,0.5,1,39.11
13,AVL,FW,3,12.4,0.38,1.54,0.5,0.96,0.17,1.21,0.12,0.0,0.17,0.21,0.42,0.62,0.08,0.83,0.0,0.08,0.0,1.17,0.25,0.67,1.0,0.33,0.0,6.83,-0.85,0.54,1,40.48
65,MUN,AM,3,12.21,0.14,3.0,0.21,0.71,1.14,0.86,0.29,0.0,0.5,0.43,0.93,0.71,0.07,0.71,0.07,0.0,0.0,1.29,0.29,0.36,2.29,0.29,0.07,10.64,-1.29,0.5,1,38.29
60,MCI,LW,3,11.89,0.14,1.86,0.21,0.57,0.93,1.14,0.14,0.0,0.29,0.21,0.29,3.43,0.07,0.36,0.0,0.0,0.0,0.86,0.21,0.36,1.07,0.36,0.0,9.96,-0.86,0.43,1,40.32
63,MCI,RW,4,11.79,0.29,1.86,0.07,0.86,0.93,1.0,0.07,0.0,0.5,0.86,0.64,1.43,0.0,0.14,0.0,0.0,0.0,1.07,0.29,0.36,0.71,0.14,0.0,9.21,-0.64,0.43,1,32.95
