id,player_id,player_name,season,position,games,goals,shots,time,xG,assists,xA,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,XGBuildup,minutes_per_game,npxG+xA,key_passes+shots,90s,goals_per_90,assists_per_90,xA_per_90,npxG_per_90,npxG+xA_per_90,shots_per_90,key_passes_per_90,xGChain_per_90,key_passes+shots_per_90,goal_conversion_rate,assist_to_key_pass_ratio,cards_per_game
2350,6818,James Maddison,2023,AMC,10.0,3.0,27.0,864.0,2.944616189226508,5.0,3.4641558043658733,31.0,2.0,0.0,3.0,2.944616189226508,9.602094113826752,5.147578027099371,86.4,6.41,58.0,9.6,0.31,0.52,0.36,0.31,0.67,2.81,3.23,1.0,6.04,0.1111111111111111,0.16129032258064516,0.2
4905,10846,Julian Alvarez,2023,AMC,8.0,4.0,25.0,692.0,3.256906360387802,3.0,1.5498470813035965,19.0,2.0,0.0,4.0,3.256906360387802,6.981321796774864,3.7843271121382713,86.5,4.81,44.0,7.69,0.52,0.39,0.2,0.42,0.63,3.25,2.47,0.91,5.72,0.16,0.15789473684210525,0.25
4121,6556,Moussa Diaby,2023,AMC,6.0,2.0,17.0,496.0,1.6256945207715034,3.0,2.9085094332695007,10.0,0.0,0.0,2.0,1.6256945207715034,5.869189083576202,3.205176016315818,82.67,4.53,27.0,5.51,0.36,0.54,0.53,0.3,0.82,3.09,1.81,1.07,4.9,0.11764705882352941,0.3,0.0
3441,618,Raheem Sterling,2023,AMC,4.0,2.0,9.0,358.0,1.5475750043988228,0.0,0.9067768380045892,6.0,0.0,0.0,2.0,1.5475750043988228,4.516494452953339,2.3512800857424736,89.5,2.45,15.0,3.98,0.5,0.0,0.23,0.39,0.62,2.26,1.51,1.13,3.77,0.2222222222222222,0.0,0.0
2518,1726,Abdoulaye Doucoure,2023,AMC,6.0,3.0,14.0,516.0,4.387184500694275,0.0,1.3837726525962353,11.0,1.0,0.0,3.0,4.387184500694275,4.392727646976709,1.2097949013113976,86.0,5.77,25.0,5.73,0.52,0.0,0.24,0.77,1.01,2.44,1.92,0.77,4.36,0.21428571428571427,0.0,0.16666666666666666
1784,1228,Bruno Fernandes,2023,AMC,6.0,1.0,18.0,540.0,2.37372675165534,2.0,3.29564106464386,21.0,3.0,0.0,0.0,1.6125578545033932,4.020044893026352,1.8860626071691513,90.0,4.91,39.0,6.0,0.17,0.33,0.55,0.27,0.82,3.0,3.5,0.67,6.5,0.05555555555555555,0.09523809523809523,0.5
5055,8706,Eberechi Eze,2023,AMC,6.0,1.0,24.0,540.0,2.129279777407646,0.0,1.820303738117218,15.0,1.0,0.0,1.0,2.129279777407646,3.970580533146858,1.9483898915350435,90.0,3.95,39.0,6.0,0.17,0.0,0.3,0.35,0.66,4.0,2.5,0.66,6.5,0.041666666666666664,0.0,0.16666666666666666
360,11356,Enzo Fernandez,2023,AMC,4.0,0.0,10.0,332.0,0.9408065136522056,0.0,0.8932776153087616,5.0,1.0,0.0,0.0,0.9408065136522056,3.6173731088638306,2.61775803565979,83.0,1.83,15.0,3.69,0.0,0.0,0.24,0.25,0.5,2.71,1.36,0.98,4.07,0.0,0.0,0.25
871,6034,Philip Billing,2023,AMC,6.0,0.0,11.0,530.0,0.9304697904735804,1.0,0.9647104777395724,8.0,0.0,0.0,0.0,0.9304697904735804,2.7126380652189255,1.8284527771174908,88.33,1.9,19.0,5.89,0.0,0.17,0.16,0.16,0.32,1.87,1.36,0.46,3.23,0.0,0.125,0.0
5605,8272,Joao Pedro,2023,AMC,3.0,1.0,8.0,258.0,2.143157258629799,0.0,0.2536056535318494,5.0,0.0,0.0,0.0,1.3819884210824966,2.3986102044582367,1.0302693396806717,86.0,1.64,13.0,2.87,0.35,0.0,0.09,0.48,0.57,2.79,1.74,0.84,4.53,0.125,0.0,0.0
5195,843,James Ward-Prowse,2023,AMC,3.0,1.0,4.0,270.0,0.6224973797798157,0.0,1.5999023839831352,11.0,0.0,0.0,1.0,0.6224973797798157,1.8364758044481275,1.1277594901621342,90.0,2.22,15.0,3.0,0.33,0.0,0.53,0.21,0.74,1.33,3.67,0.61,5.0,0.25,0.0,0.0
1377,11058,Julio Enciso,2023,AMC,1.0,0.0,4.0,69.0,0.4382677674293518,2.0,1.22417414188385,2.0,1.0,0.0,0.0,0.4382677674293518,1.779298186302185,0.17649975419044495,69.0,1.66,6.0,0.77,0.0,2.6,1.59,0.57,2.16,5.19,2.6,2.31,7.79,0.0,1.0,1.0
2635,7723,John McGinn,2023,AMC,1.0,0.0,0.0,90.0,0.0,0.0,0.3587552011013031,2.0,0.0,0.0,0.0,0.0,1.526829957962036,1.2407634258270264,90.0,0.36,2.0,1.0,0.0,0.0,0.36,0.0,0.36,0.0,2.0,1.53,2.0,,0.0,0.0
3177,7080,Matheus Cunha,2023,AMC,3.0,1.0,5.0,267.0,1.233930453658104,0.0,0.517451286315918,3.0,0.0,0.0,1.0,1.233930453658104,1.26025128364563,0.19899493549019096,89.0,1.75,8.0,2.97,0.34,0.0,0.17,0.42,0.59,1.68,1.01,0.42,2.69,0.2,0.0,0.0
556,501,Danny Welbeck,2023,AMC,4.0,0.0,1.0,196.0,0.03083823435008526,0.0,0.1709466092288494,3.0,1.0,0.0,0.0,0.03083823435008526,1.1895534694194794,1.0274254083633425,49.0,0.2,4.0,2.18,0.0,0.0,0.08,0.01,0.09,0.46,1.38,0.55,1.83,0.0,0.0,0.25
4285,6857,Morgan Gibbs-White,2023,AMC,3.0,0.0,6.0,270.0,0.391294002532959,1.0,0.679468423128128,5.0,1.0,0.0,0.0,0.391294002532959,1.127482807263732,0.171744579449296,90.0,1.07,11.0,3.0,0.0,0.33,0.23,0.13,0.36,2.0,1.67,0.38,3.67,0.0,0.2,0.3333333333333333
2652,8288,Tomas Soucek,2023,AMC,2.0,1.0,3.0,147.0,0.7691281512379646,0.0,0.0,0.0,0.0,0.0,1.0,0.7691281512379646,0.7837454527616501,0.01461730059236288,73.5,0.77,3.0,1.63,0.61,0.0,0.0,0.47,0.47,1.84,0.0,0.48,1.84,0.3333333333333333,,0.0
2862,11720,Jacob Brown,2023,AMC,2.0,0.0,3.0,163.0,0.7323935627937317,0.0,0.11956580728292464,2.0,1.0,0.0,0.0,0.7323935627937317,0.7822201251983643,0.0,81.5,0.85,5.0,1.81,0.0,0.0,0.07,0.4,0.47,1.66,1.1,0.43,2.76,0.0,0.0,0.5
1724,3635,Bernardo Silva,2023,AMC,1.0,0.0,0.0,90.0,0.0,0.0,0.11390833556652068,2.0,0.0,0.0,0.0,0.0,0.6763463616371155,0.5624380111694336,90.0,0.11,2.0,1.0,0.0,0.0,0.11,0.0,0.11,0.0,2.0,0.68,2.0,,0.0,0.0
3876,7365,Lucas Paqueta,2023,AMC,2.0,1.0,2.0,180.0,0.7962145805358887,1.0,0.5693005248904228,3.0,1.0,0.0,0.0,0.035045742988586426,0.6310734301805496,0.5757629312574863,90.0,0.6,5.0,2.0,0.5,0.5,0.28,0.02,0.3,1.0,1.5,0.32,2.5,0.5,0.3333333333333333,0.5
2603,10760,Brennan Johnson,2023,AMC,1.0,0.0,0.0,73.0,0.0,0.0,0.09796891361474992,1.0,0.0,0.0,0.0,0.0,0.613303542137146,0.613303542137146,73.0,0.1,1.0,0.81,0.0,0.0,0.12,0.0,0.12,0.0,1.23,0.76,1.23,,0.0,0.0
1218,9558,Hannibal Mejbri,2023,AMC,1.0,0.0,0.0,90.0,0.0,0.0,0.2175336331129074,2.0,0.0,0.0,0.0,0.0,0.5998452305793762,0.3823116421699524,90.0,0.22,2.0,1.0,0.0,0.0,0.22,0.0,0.22,0.0,2.0,0.6,2.0,,0.0,0.0
1553,10744,Ryan Christie,2023,AMC,3.0,0.0,3.0,243.0,0.10033535957336426,1.0,0.94168365560472,5.0,0.0,0.0,0.0,0.10033535957336426,0.5101654231548309,0.05132528021931648,81.0,1.04,8.0,2.7,0.0,0.37,0.35,0.04,0.39,1.11,1.85,0.19,2.96,0.0,0.2,0.0
3584,11719,Chiedozie Ogbene,2023,AMC,2.0,0.0,3.0,180.0,0.29999613761901855,0.0,0.025231242179870605,1.0,0.0,0.0,0.0,0.29999613761901855,0.4676469713449478,0.14241959154605863,90.0,0.33,4.0,2.0,0.0,0.0,0.01,0.15,0.16,1.5,0.5,0.23,2.0,0.0,0.0,0.0
3707,9040,Conor Gallagher,2023,AMC,1.0,0.0,1.0,90.0,0.10837998241186142,1.0,0.1781790852546692,4.0,0.0,0.0,0.0,0.10837998241186142,0.39743366837501526,0.11087459325790404,90.0,0.29,5.0,1.0,0.0,1.0,0.18,0.11,0.29,1.0,4.0,0.4,5.0,0.0,0.25,0.0
2789,2335,Pablo Fornals,2023,AMC,1.0,0.0,2.0,87.0,0.06927099078893661,0.0,0.13321448862552643,1.0,0.0,0.0,0.0,0.06927099078893661,0.3875324428081513,0.1850469559431076,87.0,0.2,3.0,0.97,0.0,0.0,0.14,0.07,0.21,2.06,1.03,0.4,3.09,0.0,0.0,0.0
3240,11729,Benie Traore,2023,AMC,1.0,0.0,1.0,84.0,0.3212226927280426,0.0,0.0,0.0,0.0,0.0,0.0,0.3212226927280426,0.3212226927280426,0.0,84.0,0.32,1.0,0.93,0.0,0.0,0.0,0.35,0.34,1.08,0.0,0.35,1.08,0.0,,0.0
3136,9356,Carney Chukwuemeka,2023,AMC,2.0,1.0,1.0,143.0,0.06899454444646835,0.0,0.1046014130115509,2.0,2.0,0.0,1.0,0.06899454444646835,0.2478587105870247,0.07426274567842484,71.5,0.17,3.0,1.59,0.63,0.0,0.07,0.04,0.11,0.63,1.26,0.16,1.89,1.0,0.0,1.0
4721,11701,Zeki Amdouni,2023,AMC,2.0,1.0,5.0,146.0,0.19633060693740845,0.0,0.0,0.0,0.0,0.0,1.0,0.19633060693740845,0.23927778750658035,0.0710967555642128,73.0,0.2,5.0,1.62,0.62,0.0,0.0,0.12,0.12,3.09,0.0,0.15,3.09,0.2,,0.0
2500,10126,James McAtee,2023,AMC,1.0,0.0,0.0,81.0,0.0,0.0,0.16076116263866425,2.0,0.0,0.0,0.0,0.0,0.21556855738162992,0.13378433883190155,81.0,0.16,2.0,0.9,0.0,0.0,0.18,0.0,0.18,0.0,2.22,0.24,2.22,,0.0,0.0
1495,7768,Mason Mount,2023,AMC,1.0,0.0,1.0,65.0,0.0845000147819519,0.0,0.0429479107260704,1.0,0.0,0.0,0.0,0.0845000147819519,0.21413423120975497,0.08668630570173264,65.0,0.13,2.0,0.72,0.0,0.0,0.06,0.12,0.18,1.39,1.39,0.3,2.78,0.0,0.0,0.0
269,11839,Gustavo Hamer,2023,AMC,2.0,1.0,3.0,162.0,0.1454847063869238,0.0,0.07169865630567074,2.0,1.0,0.0,1.0,0.1454847063869238,0.15553414821624756,0.0548073947429657,81.0,0.22,5.0,1.8,0.56,0.0,0.04,0.08,0.12,1.67,1.11,0.09,2.78,0.3333333333333333,0.0,0.5
6278,7762,Jean-Ricner Bellegarde,2023,AMC,2.0,0.0,1.0,117.0,0.09115087240934372,0.0,0.04417712241411209,1.0,0.0,1.0,0.0,0.09115087240934372,0.1353279948234558,0.0,58.5,0.14,2.0,1.3,0.0,0.0,0.03,0.07,0.11,0.77,0.77,0.1,1.54,0.0,0.0,0.5
2620,8323,Josh Brownhill,2023,AMC,1.0,0.0,0.0,90.0,0.0,0.0,0.04644422605633736,1.0,0.0,0.0,0.0,0.0,0.05940830707550049,0.05940830707550049,90.0,0.05,1.0,1.0,0.0,0.0,0.05,0.0,0.05,0.0,1.0,0.06,1.0,,0.0,0.0
5652,757,Jeffrey Schlupp,2023,AMC,1.0,0.0,0.0,74.0,0.0,0.0,0.05125844106078148,1.0,0.0,0.0,0.0,0.0,0.05125844106078148,0.0,74.0,0.05,1.0,0.82,0.0,0.0,0.06,0.0,0.06,0.0,1.22,0.06,1.22,,0.0,0.0
3536,6104,Will Hughes,2023,AMC,1.0,0.0,1.0,72.0,0.011841592378914356,0.0,0.21968363225460052,4.0,0.0,0.0,0.0,0.011841592378914356,0.04050102084875107,0.04050102084875107,72.0,0.23,5.0,0.8,0.0,0.0,0.27,0.01,0.29,1.25,5.0,0.05,6.25,0.0,0.0,0.0
2414,486,Adam Lallana,2023,AMC,1.0,0.0,0.0,67.0,0.0,0.0,0.01694534160196781,1.0,0.0,0.0,0.0,0.0,0.01694534160196781,0.01694534160196781,67.0,0.02,1.0,0.74,0.0,0.0,0.02,0.0,0.03,0.0,1.35,0.02,1.35,,0.0,0.0
2709,922,Andreas Pereira,2023,AMC,1.0,0.0,0.0,48.0,0.0,0.0,0.06213410571217537,2.0,0.0,0.0,0.0,0.0,0.011218092404305937,0.011218092404305937,48.0,0.06,2.0,0.53,0.0,0.0,0.12,0.0,0.11,0.0,3.77,0.02,3.77,,0.0,0.0
5704,11317,Danilo,2023,AMC,1.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
