id,player_id,player_name,season,shotZone,goals,shots,xG,assists,key_passes,xA,npg,npxG,npxG+xA,key_passes+shots,goal_conversion_rate,assist_to_key_pass_ratio
4435,8260,Erling Haaland,2023,shotPenaltyArea,8.0,31.0,8.321937780827284,1.0,8.0,1.621829316020012,6.0,6.038431268185377,7.66,39.0,0.25806451612903225,0.125
725,8865,Ollie Watkins,2023,shotPenaltyArea,5.0,29.0,5.413539581000805,2.0,10.0,1.3914941772818563,5.0,5.413539581000805,6.81,39.0,0.1724137931034483,0.2
3778,453,Son Heung-Min,2023,shotPenaltyArea,8.0,22.0,4.538247294723988,1.0,14.0,2.495484497398138,8.0,4.538247294723988,7.03,36.0,0.36363636363636365,0.07142857142857142
2327,10048,Nicolas Jackson,2023,shotPenaltyArea,3.0,21.0,4.44874956831336,0.0,2.0,0.420162670314312,3.0,4.44874956831336,4.87,23.0,0.14285714285714285,0.0
1829,10720,Darwin Nunez,2023,shotPenaltyArea,3.0,19.0,4.003031367436051,2.0,4.0,1.1304380297660828,3.0,4.003031367436051,5.13,23.0,0.15789473684210525,0.5
5121,5232,Alexander Isak,2023,shotPenaltyArea,4.0,13.0,4.7524000480771065,0.0,4.0,0.43385306745767593,3.0,3.991231210529804,4.43,17.0,0.3076923076923077,0.0
4057,468,Callum Wilson,2023,shotPenaltyArea,5.0,16.0,5.18851600959897,0.0,0.0,0.0,3.0,3.666178334504366,3.67,16.0,0.3125,
1555,556,Marcus Rashford,2023,shotPenaltyArea,1.0,26.0,3.514574598520994,0.0,7.0,0.7549239322543144,1.0,3.514574598520994,4.27,33.0,0.038461538461538464,0.0
1583,6552,Bryan Mbeumo,2023,shotPenaltyArea,4.0,22.0,4.635004656389356,0.0,9.0,0.6473701279610395,2.0,3.112666981294751,3.76,31.0,0.18181818181818182,0.0
829,10846,Julian Alvarez,2023,shotPenaltyArea,3.0,15.0,2.8391019962728024,2.0,16.0,1.2409303756430743,3.0,2.8391019962728024,4.08,31.0,0.2,0.125
2460,8845,Hee-Chan Hwang,2023,shotPenaltyArea,5.0,15.0,2.6299664080142975,2.0,8.0,1.375854194164276,5.0,2.6299664080142975,4.01,23.0,0.3333333333333333,0.25
3729,6818,James Maddison,2023,shotPenaltyArea,2.0,16.0,2.586429249495268,3.0,19.0,2.5743966456502676,2.0,2.586429249495268,5.16,35.0,0.125,0.15789473684210525
4139,618,Raheem Sterling,2023,shotPenaltyArea,3.0,15.0,2.570831447839737,1.0,11.0,1.439446896314621,3.0,2.570831447839737,4.01,26.0,0.2,0.09090909090909091
2806,6049,Solly March,2023,shotPenaltyArea,3.0,8.0,2.485191322863102,0.0,2.0,0.06101534143090248,3.0,2.485191322863102,2.55,10.0,0.375,0.0
312,6482,Eddie Nketiah,2023,shotPenaltyArea,3.0,17.0,2.4589824192225933,0.0,4.0,0.29484973102808,3.0,2.4589824192225933,2.75,21.0,0.17647058823529413,0.0
1203,1250,Mohamed Salah,2023,shotPenaltyArea,5.0,23.0,5.470457199960947,3.0,16.0,4.17830909602344,2.0,2.4258560575544834,6.6,39.0,0.21739130434782608,0.1875
3144,7967,Anssumane Fati,2023,shotPenaltyArea,1.0,13.0,2.393518280237913,0.0,1.0,0.06219629943370819,1.0,2.393518280237913,2.46,14.0,0.07692307692307693,0.0
4355,1776,Jarrod Bowen,2023,shotPenaltyArea,3.0,19.0,2.369619809091091,1.0,3.0,0.6431285850703716,3.0,2.369619809091091,3.01,22.0,0.15789473684210525,0.3333333333333333
4631,5786,Yoane Wissa,2023,shotPenaltyArea,2.0,19.0,2.2454169299453497,1.0,7.0,0.5522005315870047,2.0,2.2454169299453497,2.8,26.0,0.10526315789473684,0.14285714285714285
