,opponent,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
16,vsSHU,110,11.52,0.21,1.41,0.19,0.69,0.93,0.99,0.12,0.0,0.34,0.65,1.29,0.87,0.24,1.78,0.01,0.0,0.01,0.77,0.38,0.38,1.12,0.18,0.0,8.85,-1.5,0.45,1,26.7
3,vsBOU,106,10.9,0.22,1.17,0.21,0.56,1.08,0.82,0.23,0.01,0.22,0.74,1.64,0.92,0.32,1.42,0.01,0.03,0.0,0.74,0.4,0.36,1.78,0.07,0.02,8.2,-1.68,0.44,1,25.15
5,vsBUR,109,10.83,0.21,1.1,0.19,0.59,1.12,0.69,0.22,0.0,0.25,0.67,1.52,0.72,0.23,1.5,0.0,0.02,0.0,0.66,0.45,0.38,1.61,0.15,0.02,7.83,-1.37,0.46,1,26.28
11,vsLUT,103,10.33,0.15,1.23,0.17,0.51,0.82,0.69,0.16,0.0,0.31,0.66,1.79,0.7,0.35,1.89,0.0,0.01,0.0,0.69,0.45,0.26,1.4,0.17,0.01,8.12,-1.26,0.56,1,25.86
9,vsFUL,108,8.59,0.13,0.76,0.1,0.48,0.96,0.81,0.13,0.0,0.24,0.77,1.77,0.83,0.29,1.12,0.0,0.02,0.0,0.72,0.45,0.19,1.41,0.22,0.03,6.86,-1.31,0.55,1,20.75
13,vsMUN,110,8.5,0.12,0.99,0.12,0.42,0.83,0.69,0.23,0.01,0.19,1.1,2.02,0.93,0.49,1.15,0.0,0.01,0.0,0.93,0.37,0.2,1.56,0.13,0.02,7.65,-1.79,0.45,1,18.83
18,vsWHU,109,8.31,0.15,1.22,0.13,0.5,0.79,0.8,0.1,0.0,0.37,0.57,1.67,0.72,0.24,1.57,0.01,0.03,0.0,1.51,0.09,0.26,1.22,0.15,0.02,7.79,-1.89,0.55,1,27.75
15,vsNOT,106,7.63,0.13,0.83,0.12,0.42,0.77,0.92,0.17,0.01,0.25,0.73,1.57,0.67,0.2,1.45,0.0,0.01,0.0,0.99,0.25,0.24,1.39,0.1,0.01,6.55,-1.62,0.55,1,24.18
19,vsWOL,106,7.62,0.17,1.0,0.12,0.56,1.07,1.0,0.23,0.01,0.31,0.86,1.39,0.68,0.27,0.78,0.0,0.02,0.01,1.17,0.09,0.26,1.78,0.09,0.03,7.18,-2.12,0.55,1,19.08
8,vsEVE,105,7.46,0.1,0.8,0.1,0.29,0.73,1.01,0.17,0.0,0.32,0.59,1.82,0.79,0.3,1.3,0.0,0.01,0.0,0.95,0.44,0.15,1.29,0.19,0.02,6.3,-1.65,0.48,1,17.53
7,vsCRY,108,7.23,0.08,0.84,0.1,0.31,0.96,1.05,0.15,0.01,0.31,0.66,1.44,0.68,0.34,1.25,0.0,0.02,0.0,0.78,0.41,0.16,1.52,0.14,0.02,6.52,-1.59,0.56,1,20.57
6,vsCHE,104,6.61,0.1,0.66,0.09,0.28,0.95,0.72,0.17,0.02,0.18,0.9,1.85,0.63,0.34,0.77,0.0,0.01,0.0,1.3,0.38,0.17,1.68,0.18,0.01,5.86,-1.84,0.44,1,20.21
4,vsBRF,107,6.28,0.07,0.91,0.1,0.29,0.79,0.89,0.16,0.03,0.24,0.71,1.94,0.87,0.36,1.52,0.0,0.01,0.01,1.52,0.09,0.16,1.75,0.11,0.01,6.91,-2.24,0.46,1,17.86
10,vsLIV,106,6.13,0.08,0.78,0.08,0.35,1.15,0.7,0.19,0.0,0.27,0.99,2.2,1.06,0.48,0.92,0.0,0.0,0.01,1.9,0.07,0.14,1.49,0.14,0.0,7.33,-2.42,0.57,1,20.71
17,vsTOT,100,5.92,0.1,0.92,0.13,0.39,0.99,0.91,0.2,0.01,0.16,0.83,1.78,0.81,0.49,0.92,0.0,0.02,0.03,1.87,0.03,0.19,1.95,0.27,0.03,6.99,-2.88,0.55,1,18.8
2,vsBHA,109,5.7,0.14,0.74,0.12,0.39,1.05,0.77,0.2,0.02,0.13,0.85,1.48,0.99,0.34,0.71,0.0,0.01,0.02,1.98,0.01,0.23,1.82,0.09,0.02,6.38,-2.66,0.46,1,21.46
1,vsAVL,104,5.11,0.11,0.71,0.1,0.3,0.88,0.63,0.18,0.02,0.13,0.69,1.62,0.68,0.44,0.85,0.0,0.0,0.01,2.06,0.22,0.19,1.68,0.37,0.0,5.75,-2.71,0.56,1,18.19
14,vsNEW,107,5.0,0.07,0.79,0.09,0.3,0.87,0.7,0.21,0.0,0.13,0.79,1.61,0.95,0.32,0.97,0.0,0.0,0.0,2.18,0.14,0.16,1.82,0.15,0.0,6.23,-2.78,0.46,1,19.62
0,vsARS,108,4.08,0.07,0.58,0.06,0.18,1.0,0.74,0.23,0.01,0.07,0.64,1.78,0.52,0.45,1.05,0.0,0.0,0.01,1.79,0.14,0.12,1.76,0.1,0.01,5.33,-2.54,0.45,1,18.44
12,vsMCI,105,2.33,0.03,0.45,0.05,0.15,0.7,0.62,0.28,0.0,0.05,0.77,1.76,0.46,0.5,0.62,0.0,0.0,0.0,2.28,0.09,0.06,1.77,0.17,0.0,4.46,-2.96,0.55,1,15.69
