Team,G,SOT,YC,RC,TKW,INT,BS,COS,KP,CLR,DIS,PKD,OG,AER
ARS,0.13,0.34,0.12,0.01,1.22,0.56,0.93,0.63,0.78,0.78,0.73,0.04,0.0,0.73
AVL,0.16,0.4,0.18,0.0,1.12,0.49,0.78,0.6,0.78,0.97,0.62,0.02,0.01,0.47
BHA,0.17,0.45,0.2,0.0,1.17,0.62,0.79,0.61,0.94,1.0,0.6,0.01,0.01,0.59
BOU,0.04,0.25,0.09,0.0,1.26,0.61,0.94,0.84,0.57,1.29,0.8,0.0,0.01,0.69
BRF,0.1,0.26,0.15,0.0,1.23,0.62,0.84,0.42,0.69,1.56,0.54,0.02,0.0,1.2
BUR,0.06,0.19,0.14,0.02,1.05,0.47,0.78,0.53,0.53,1.31,0.48,0.0,0.01,0.78
CHE,0.09,0.32,0.23,0.01,1.21,0.46,0.78,0.73,0.7,1.19,0.74,0.02,0.0,0.92
CRY,0.07,0.36,0.11,0.0,1.67,0.68,0.94,0.96,0.78,2.07,1.14,0.0,0.0,1.21
EVE,0.09,0.41,0.12,0.0,1.56,0.61,1.08,0.59,0.86,1.14,0.66,0.0,0.0,1.36
FUL,0.06,0.24,0.18,0.02,1.17,0.54,0.68,0.41,0.54,1.32,0.8,0.0,0.01,0.89
LIV,0.14,0.31,0.14,0.03,1.19,0.62,0.89,0.6,0.84,1.41,0.61,0.03,0.01,0.79
LUT,0.05,0.13,0.12,0.0,1.32,0.6,0.79,0.44,0.68,1.41,0.59,0.0,0.0,1.31
MCI,0.16,0.48,0.12,0.01,1.08,0.4,0.61,0.7,1.01,0.83,0.55,0.01,0.01,0.56
MUN,0.08,0.32,0.15,0.0,1.18,0.49,0.89,0.68,0.95,1.25,0.72,0.01,0.01,0.64
NEW,0.18,0.42,0.19,0.0,1.09,0.37,0.83,0.65,0.8,0.94,0.66,0.02,0.0,0.81
NOT,0.07,0.22,0.2,0.02,1.25,0.63,0.78,0.51,0.53,1.77,0.48,0.0,0.0,1.14
SHU,0.04,0.2,0.21,0.01,1.29,0.7,1.22,0.42,0.41,2.12,0.75,0.0,0.0,1.06
TOT,0.14,0.48,0.24,0.01,1.38,0.62,0.82,0.83,1.01,1.33,0.67,0.0,0.01,0.62
WHU,0.14,0.33,0.2,0.01,1.38,0.84,1.14,0.61,0.66,2.11,0.62,0.01,0.0,1.17
WOL,0.07,0.23,0.23,0.03,1.3,0.61,0.89,0.91,0.59,1.52,0.74,0.0,0.01,0.71
