FPTS,Ghost Points,Negative Fpts,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,MIN
918.25,587.25,-170.0,119,16,118,16,56,102,80,26,1,17,72,141,98,31,77,0,0,1,85,26,7326
859.5,486.5,-151.5,113,20,90,16,52,77,75,21,0,28,42,99,74,30,92,0,2,0,90,33,7139
846.5,506.5,-116.5,114,15,89,16,46,80,83,12,1,22,64,85,72,31,84,0,4,0,60,40,7122
840.25,499.25,-130.0,105,17,109,16,54,69,62,13,2,23,48,80,84,16,61,1,1,1,65,30,7282
780.0,477.0,-206.0,117,20,110,18,54,83,70,23,0,23,72,110,71,32,69,0,1,1,160,11,7138
757.25,486.25,-174.5,116,16,97,16,40,87,71,14,4,15,72,155,70,27,93,1,3,1,87,10,6952
734.25,476.25,-176.0,106,15,70,14,38,96,66,19,1,15,89,206,65,49,125,0,1,0,120,15,7128
724.25,398.25,-182.0,112,18,88,17,47,73,70,19,0,26,55,101,68,22,54,0,2,1,120,20,7138
721.0,502.0,-132.5,96,7,75,7,36,83,109,11,0,20,65,178,92,35,118,0,0,0,70,40,7173
687.75,442.75,-163.5,111,10,77,10,37,77,81,25,1,24,51,120,80,31,104,1,2,0,69,32,7126
667.5,474.5,-172.0,116,11,81,10,38,91,64,17,0,31,71,171,48,24,139,0,2,0,122,15,7247
647.25,463.25,-174.0,114,9,110,8,40,80,82,17,0,18,56,136,77,28,73,0,1,1,120,19,7139
628.75,479.75,-152.5,100,9,84,6,38,97,65,12,0,21,62,112,58,27,143,0,0,0,115,12,6912
583.5,409.5,-175.5,115,8,62,8,26,85,55,22,2,13,74,193,58,38,135,0,0,0,93,18,6837
518.25,430.25,-166.5,116,6,80,5,18,91,69,14,0,30,71,153,51,27,153,0,0,0,150,0,7130
514.5,361.5,-227.0,112,8,64,9,26,86,80,23,2,25,63,159,93,44,79,0,0,1,134,10,6907
496.75,313.75,-199.0,116,7,65,6,29,74,92,17,2,20,62,141,50,16,104,0,0,1,131,28,7240
464.75,360.75,-218.0,117,5,67,5,31,70,94,10,0,22,71,142,98,37,82,0,0,1,180,10,7131
357.75,251.75,-249.5,118,7,62,7,23,71,57,16,2,9,54,147,60,42,94,0,0,1,200,3,7133
305.0,234.0,-309.0,114,4,47,4,24,80,84,23,1,15,78,220,47,48,122,0,0,0,220,3,7143
