Team,Player,FPTS,LiveRkOv,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,GP,MIN,Ghost Points,Negative Fpts,90s,FPts/90
vsARS,16,386.25,186.66,5,38,8,23,58,38,11,1,7,50,122,49,31,62,0,0,0,75,10,63,4289,245.25,-152.0,47.66,8.1
vsAVL,21,478.5,190.71,5,69,7,22,58,52,13,0,20,63,84,69,18,49,0,1,1,90,13,73,5290,361.5,-91.0,58.78,8.14
vsBHA,15,316.0,242.9,6,28,6,13,46,27,7,0,3,28,83,21,11,62,0,0,0,61,10,52,2717,189.0,-59.5,30.19,10.47
vsBOU,21,352.5,268.85,7,47,6,30,47,59,18,1,11,39,78,47,20,64,0,0,1,79,8,79,4710,218.5,-165.5,52.33,6.74
vsBRF,19,465.5,299.22,13,47,5,27,66,40,9,0,7,43,128,42,24,67,0,0,0,88,8,74,5096,289.5,-124.0,56.62,8.22
vsBUR,17,554.5,160.43,16,61,9,42,45,42,11,1,13,30,37,56,10,48,0,2,0,58,12,62,4297,329.5,-74.0,47.74,11.61
vsCHE,14,391.5,182.74,9,41,8,26,49,55,11,0,7,31,61,38,20,76,0,0,0,89,7,69,4282,252.5,-77.5,47.58,8.23
vsCRY,16,206.75,300.4,3,32,1,15,41,27,10,1,3,26,88,26,23,59,0,0,0,60,7,60,3220,159.75,-116.5,35.78,5.78
vsEVE,20,706.5,132.03,12,89,17,36,83,53,13,0,33,68,102,59,24,54,0,1,0,83,13,89,5258,446.5,-136.5,58.42,12.09
vsFUL,19,342.0,194.71,6,34,2,20,50,62,11,1,9,47,152,36,43,87,0,0,1,88,15,75,5200,241.0,-159.0,57.78,5.92
vsLIV,15,209.25,332.36,1,35,5,11,33,30,14,0,16,38,154,18,31,77,0,0,0,86,6,63,4547,142.25,-177.0,50.52,4.14
vsLUT,18,578.25,171.26,7,82,5,31,75,65,12,0,18,45,86,71,24,83,0,0,0,94,19,82,6016,435.25,-86.5,66.84,8.65
vsMCI,22,387.25,210.51,6,61,7,19,51,52,14,1,13,45,89,72,24,72,0,0,0,99,4,82,4887,288.25,-143.0,54.3,7.13
vsMUN,18,475.75,250.47,7,41,7,27,52,45,10,1,8,40,131,44,33,91,0,0,0,69,19,77,4842,291.75,-115.5,53.8,8.84
vsNEW,22,488.25,249.79,6,67,15,34,70,73,15,3,15,31,67,67,13,58,0,3,0,89,15,91,5295,327.25,-119.5,58.83,8.3
vsNOT,18,785.75,104.9,27,99,15,56,50,58,8,0,18,23,61,49,9,52,1,5,0,76,13,68,4925,441.75,-71.0,54.72,14.36
vsSHU,15,253.25,267.5,3,38,3,11,47,44,13,0,6,36,87,44,21,48,0,0,0,76,10,68,4138,184.25,-124.0,45.98,5.51
vsTOT,16,269.5,191.57,3,49,6,17,29,63,10,0,20,34,45,47,6,33,0,1,1,64,6,60,3255,199.5,-102.5,36.17,7.45
vsWHU,18,496.0,180.67,10,67,10,40,37,49,15,0,18,46,71,36,16,43,0,0,0,61,17,66,4438,294.0,-118.5,49.31,10.06
vsWOL,18,196.5,310.01,0,26,2,4,31,32,5,2,9,35,85,27,15,80,0,0,0,65,7,65,3144,163.5,-98.0,34.93,5.63
